

# -70dBm from generator, preamp inserted
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
10000.000000	14.353697	12.473708	4046822.605556
9990.000000	14.240455	12.615590	4063464.964705
9980.000000	14.446657	12.644433	4043018.039013
9970.000000	14.311041	12.389200	3977047.916317
9960.000000	14.728146	12.852948	3894694.400893
9950.000000	13.908823	11.931056	3842664.811234
9940.000000	13.354960	12.124255	3806293.329712
9930.000000	13.311611	12.251986	3850218.634280
9920.000000	14.323624	12.496243	4000005.176507
9910.000000	15.153728	13.013914	4190881.053079
9900.000000	16.349516	14.329065	4387357.390260
9890.000000	16.320047	13.990281	4556803.857128
9880.000000	16.891109	15.307588	4598972.326006
9870.000000	17.028888	14.810482	4617540.202366
9860.000000	16.243222	14.552157	4603384.588808
9850.000000	16.771880	15.007040	4673998.600730
9840.000000	17.650631	15.907199	4794615.311979
9830.000000	17.512047	16.328527	4975349.385740
9820.000000	19.142539	16.876869	5090506.300004
9810.000000	19.539236	16.934905	5176481.500186
9800.000000	19.188439	16.927567	5248671.448713
9790.000000	18.938188	16.953497	5307924.567804
9780.000000	19.877342	17.215805	5434047.662605
9770.000000	20.530753	17.827078	5581539.051394
9760.000000	20.808073	18.271266	5793238.551304
9750.000000	21.432480	18.718453	6049520.363770
9740.000000	22.393231	20.341266	6216720.433785
9730.000000	22.356085	19.903648	6384658.099885
9720.000000	23.631962	20.782874	6581249.483779
9710.000000	24.592259	21.221041	6754483.313161
9700.000000	25.365203	22.532896	7017037.793451
9690.000000	25.835802	23.024459	7319089.628525
9680.000000	27.952434	24.222197	7643382.053209
9670.000000	27.816382	24.901053	7844405.690601
9660.000000	29.442860	25.451594	8066561.575445
9650.000000	30.394286	26.974671	8167988.115749
9640.000000	31.077807	27.385591	8384816.909506
9630.000000	30.922798	27.638604	8647430.250001
9620.000000	33.761101	28.994244	9023602.159472
9610.000000	33.456698	28.954617	9428346.276252
9600.000000	35.727129	31.501124	9818482.879085
9590.000000	36.383941	32.332123	10109792.662339
9580.000000	36.130183	31.870241	10227792.518437
9570.000000	37.602663	32.738938	10265226.763994
9560.000000	37.939312	33.721743	10340675.082725
9550.000000	31.196866	32.512832	10201180.121761
9540.000000	38.382110	33.609418	10587953.048888
9530.000000	37.895023	32.727190	10721417.573090
9520.000000	38.485826	33.620177	10892903.963451
9510.000000	37.905747	33.112283	11069185.943881
9500.000000	41.391150	36.017089	11237849.358116
9490.000000	40.392557	35.927821	11486160.866164
9480.000000	42.957316	37.448808	11769888.597584
9470.000000	43.886704	38.543193	12059672.176961
9460.000000	42.883044	38.386060	11977133.843236
9450.000000	43.699741	39.014908	11846096.129640
9440.000000	42.518032	37.853345	11637804.678176
9430.000000	40.244904	36.123765	11531659.820264
9420.000000	43.294959	39.109126	11531743.474244
9410.000000	43.471124	38.714886	11822574.347108
9400.000000	43.748920	39.637084	12149158.707082
9390.000000	45.129407	39.700502	12578623.129713
9380.000000	47.430406	41.974555	12737388.888925
9370.000000	45.777391	40.704996	12698830.052459
9360.000000	44.297369	38.591237	12388520.112185
9350.000000	43.147941	38.429948	12024076.533160
9340.000000	43.402810	37.329798	11717025.846593
9330.000000	41.874465	38.116733	11473550.527490
9320.000000	39.378184	35.123445	11261698.590785
9310.000000	39.721551	35.226522	11163222.061562
9300.000000	41.418216	36.625252	11151481.821658
9290.000000	41.354284	36.969799	11327248.215218
9280.000000	41.987005	38.197384	11524179.665883
9270.000000	42.530078	39.334443	11954202.333956
9260.000000	45.519576	39.783605	12380029.281364
9250.000000	45.350015	39.794572	12581487.942493
9240.000000	44.404414	39.323865	12250533.206925
9230.000000	42.942185	37.632477	11782247.478560
9220.000000	40.445644	35.483321	11402159.966770
9210.000000	39.011328	34.414893	11072068.864025
9200.000000	39.885252	34.725706	10880088.362320
9190.000000	41.120996	35.040092	10900109.071265
9180.000000	40.019012	36.209345	11181203.565234
9170.000000	42.202010	38.356547	11501375.140498
9160.000000	43.250461	38.048518	11899228.768972
9150.000000	44.244091	38.988618	12207054.072868
9140.000000	45.290968	39.804033	12384173.131762
9130.000000	44.095982	38.365005	12419693.908522
9120.000000	43.258833	38.561071	12232483.516877
9110.000000	41.794534	36.174356	11838952.996868
9100.000000	41.244585	36.512539	11509637.557833
9090.000000	41.149182	36.790357	11171261.537092
9080.000000	40.559975	35.847412	11067044.331545
9070.000000	41.259958	36.061838	11154838.884685
9060.000000	40.639068	36.040341	11372925.004706
9050.000000	43.007565	39.011383	11818420.114263
9040.000000	43.941442	39.150608	12185170.116292
9030.000000	44.205036	39.567554	12431175.455525
9020.000000	44.845066	39.173790	12370046.121787
9010.000000	42.663312	38.488549	12088478.625977
9000.000000	42.929150	37.179150	11740401.260407
8990.000000	42.384797	36.931052	11420808.144525
8980.000000	39.689692	35.298290	11206703.358513
8970.000000	40.665460	34.792911	11120512.675597
8960.000000	40.902023	35.752930	11147450.129930
8950.000000	41.778446	36.905982	11375388.029476
8940.000000	41.613771	37.602746	11641051.909517
8930.000000	43.367855	39.763845	12219313.279933
8920.000000	47.453704	41.110393	12605972.090051
8910.000000	46.603720	40.405707	12932724.826751
8900.000000	46.773362	39.502548	13049941.657466
8890.000000	44.882682	38.954081	12928499.925745
8880.000000	45.478278	39.821303	12550047.904925
8870.000000	43.494909	39.204777	12096004.490050
8860.000000	44.514850	39.626171	11839790.183029
8850.000000	42.383257	38.740626	11745536.003668
8840.000000	44.659270	38.825376	11920453.360208
8830.000000	43.511175	38.574376	12231254.669430
8820.000000	46.319739	40.273653	12709365.583973
8810.000000	48.633756	41.658883	13185025.513213
8800.000000	47.725576	42.182392	13538847.348450
8790.000000	48.065076	42.013799	13676845.426834
8780.000000	49.364861	43.717547	13549014.260228
8770.000000	46.659434	42.952999	13195128.239402
8760.000000	46.496935	40.813537	12618812.339776
8750.000000	42.586263	37.636829	12079014.208105
8740.000000	42.813814	37.240216	11720690.834980
8730.000000	42.269375	36.722223	11572208.542105
8720.000000	42.055021	38.033732	11745901.888832
8710.000000	44.426063	38.715467	12277178.581450
8700.000000	45.008499	40.268331	12835212.655516
8690.000000	50.204432	44.657188	13230505.677740
8680.000000	49.568791	42.911251	13595814.599994
8670.000000	48.141185	44.275523	13714213.333005
8660.000000	50.192285	44.809561	13458256.283048
8650.000000	47.278602	42.231899	13127568.144445
8640.000000	45.218498	38.370236	12868448.484409
8630.000000	45.585020	40.256589	12626796.405009
8620.000000	46.209607	40.322624	12528164.397860
8610.000000	44.338910	39.464146	12711009.279025
8600.000000	46.154471	40.621650	12900120.944317
8590.000000	47.192710	41.714500	13213827.174680
8580.000000	49.318799	43.739579	13515848.351405
8570.000000	51.403865	46.074268	13991797.319337
8560.000000	51.332210	48.319962	14360282.125780
8550.000000	51.390700	45.543654	14404257.165505
8540.000000	51.987632	44.849378	14087009.596141
8530.000000	48.939031	41.122083	13533999.362209
8520.000000	47.845705	41.150588	13064049.889045
8510.000000	47.017159	41.119837	12757492.567097
8500.000000	44.813183	40.551049	12794191.414336
8490.000000	46.545768	42.256716	13071217.568445
8480.000000	49.744738	44.792020	13581154.938320
8470.000000	52.268708	46.970594	14123616.605401
8460.000000	52.130265	46.791070	14757134.030429
8450.000000	54.384229	48.292727	15126968.418512
8440.000000	54.350152	48.219472	15280317.048370
8430.000000	55.196359	48.664098	15401135.647717
8420.000000	56.755462	49.927996	15320020.667786
8410.000000	55.446760	48.143956	15266006.239720
8400.000000	53.067595	47.753929	15086709.366021
8390.000000	53.486594	48.626388	14946744.676580
8380.000000	55.614546	49.750262	15001436.902248
8370.000000	56.373471	50.771915	15296110.536253
8360.000000	57.003097	49.397642	15797029.978633
8350.000000	60.536471	52.739280	16454328.738233
8340.000000	59.255218	53.104836	17002158.570217
8330.000000	59.594542	52.512887	17252256.725377
8320.000000	64.021324	55.970592	17247810.284552
8310.000000	62.915853	55.946012	17185933.822343
8300.000000	63.337484	56.103590	17046449.103025
8290.000000	63.428650	56.594700	16997669.608756
8280.000000	60.427582	55.210638	17033166.908005
8270.000000	63.898410	57.057832	17298690.379205
8260.000000	61.795385	54.582435	17651954.248196
8250.000000	65.870982	58.415373	17987806.667321
8240.000000	64.467310	57.279712	18436377.144520
8230.000000	67.340307	58.638862	18651260.074532
8220.000000	66.238032	59.130933	19054592.128105
8210.000000	69.948136	61.776841	19248970.488703
8200.000000	70.113685	63.395180	19312171.967808
8190.000000	68.150403	61.006582	19426535.213189
8180.000000	70.491042	61.335525	19201868.688125
8170.000000	70.907290	61.115611	19222976.601316
8160.000000	68.035140	60.011532	19336679.378166
