

# -70dBm from generator, no preamp
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
10000.000000	0.041472	0.035790	10495.577256
9990.000000	0.040051	0.035291	10665.028634
9980.000000	0.042666	0.040612	10470.722229
9970.000000	0.040436	0.035990	10117.090850
9960.000000	0.039074	0.036488	9756.204387
9950.000000	0.036633	0.030818	9232.469122
9940.000000	0.035589	0.032382	8765.676411
9930.000000	0.035533	0.031715	8537.100735
9920.000000	0.033531	0.031757	8639.442775
9910.000000	0.035691	0.032327	8927.086036
9900.000000	0.035102	0.032374	9457.262933
9890.000000	0.038351	0.035497	9658.837172
9880.000000	0.037071	0.031600	9835.152946
9870.000000	0.039281	0.032491	9610.350539
9860.000000	0.035786	0.031531	9212.226439
9850.000000	0.036981	0.034074	9014.869956
9840.000000	0.035856	0.031625	9049.342294
9830.000000	0.036793	0.033234	9248.818346
9820.000000	0.038821	0.036205	9477.310726
9810.000000	0.035243	0.032280	9488.818366
9800.000000	0.036644	0.029944	9299.991450
9790.000000	0.034266	0.032688	9195.302862
9780.000000	0.035663	0.032014	9068.998885
9770.000000	0.035962	0.032141	9131.909967
9760.000000	0.036935	0.032881	9273.110857
9750.000000	0.040765	0.037991	9363.718289
9740.000000	0.038119	0.036437	9225.045332
9730.000000	0.036176	0.031507	9147.504744
9720.000000	0.035507	0.032571	9041.117291
9710.000000	0.037615	0.036245	9060.498279
9700.000000	0.037462	0.031500	9422.506760
9690.000000	0.038917	0.035087	9887.170695
9680.000000	0.044300	0.037652	10305.266453
9670.000000	0.040798	0.038087	10466.450235
9660.000000	0.040809	0.036968	10473.757949
9650.000000	0.043573	0.039849	10347.032396
9640.000000	0.040847	0.037929	10528.911326
9630.000000	0.041416	0.039458	10715.464076
9620.000000	0.044309	0.038207	11056.817574
9610.000000	0.045269	0.039994	11398.204435
9600.000000	0.042870	0.038239	11668.020615
9590.000000	0.045574	0.040296	11541.869507
9580.000000	0.043354	0.038789	11496.583937
9570.000000	0.043241	0.037999	11264.658400
9560.000000	0.046556	0.040293	11358.658871
9550.000000	0.045754	0.039229	11545.840662
9540.000000	0.046999	0.043010	11755.606657
9530.000000	0.048205	0.043214	11972.605185
9520.000000	0.050789	0.044668	12385.374118
9510.000000	0.045874	0.042256	12595.162281
9500.000000	0.050871	0.044263	13139.565090
9490.000000	0.053300	0.048660	13637.662860
9480.000000	0.056624	0.052763	14155.363700
9470.000000	0.056800	0.051748	14562.008190
9460.000000	0.054646	0.048374	14689.469786
9450.000000	0.055278	0.052032	14671.440412
9440.000000	0.057409	0.052627	14798.910226
9430.000000	0.057060	0.052299	15182.066569
9420.000000	0.060616	0.055312	15517.315191
9410.000000	0.058973	0.054858	16391.163585
9400.000000	0.063814	0.054242	17081.120979
9390.000000	0.065853	0.062439	17476.216440
9380.000000	0.070013	0.064370	17872.545959
9370.000000	0.071800	0.065969	17843.624656
9360.000000	0.069325	0.064447	17847.138363
9350.000000	0.066605	0.060184	18117.067035
9340.000000	0.074756	0.070106	18233.805405
9330.000000	0.073087	0.065204	18595.363467
9320.000000	0.067350	0.058276	18893.421166
9310.000000	0.070537	0.065857	19566.779261
9300.000000	0.073033	0.066921	20177.423749
9290.000000	0.078905	0.069053	21012.706089
9280.000000	0.085963	0.074401	21883.238420
9270.000000	0.086911	0.075756	22616.990540
9260.000000	0.086150	0.079224	23150.860117
9250.000000	0.086605	0.078756	23307.306514
9240.000000	0.090997	0.082844	23303.180532
9230.000000	0.085920	0.074490	23237.635944
9220.000000	0.083019	0.072110	23224.563859
9210.000000	0.085865	0.075803	23569.196629
9200.000000	0.087725	0.080651	23625.384135
9190.000000	0.090538	0.084205	24064.956812
9180.000000	0.092398	0.080249	24194.191340
9170.000000	0.093916	0.085501	24523.330224
9160.000000	0.092923	0.083618	24622.028447
9150.000000	0.088019	0.077779	24760.076096
9140.000000	0.093853	0.080739	25129.318610
9130.000000	0.098395	0.084378	25444.090462
9120.000000	0.094345	0.083527	25946.628442
9110.000000	0.096267	0.084595	26316.711447
9100.000000	0.098335	0.089073	26666.742189
9090.000000	0.095442	0.088931	26789.726445
9080.000000	0.099949	0.086035	26631.959980
9070.000000	0.093150	0.087631	26394.458410
9060.000000	0.098034	0.087810	26205.608355
9050.000000	0.103321	0.091335	26046.803398
9040.000000	0.098108	0.087264	26278.998883
9030.000000	0.099170	0.090787	26572.737592
9020.000000	0.098443	0.089996	26705.061848
9010.000000	0.100217	0.088016	26792.145891
9000.000000	0.095935	0.082555	26720.072365
8990.000000	0.093927	0.086470	26330.806453
8980.000000	0.098387	0.087503	25648.993437
8970.000000	0.092325	0.079779	24854.590411
8960.000000	0.088476	0.076486	24028.763815
8950.000000	0.087863	0.081919	23658.492259
8940.000000	0.091720	0.080997	23435.702219
8930.000000	0.088333	0.081981	23971.335727
8920.000000	0.091156	0.080883	24463.106067
8910.000000	0.098082	0.092381	25344.696372
8900.000000	0.093339	0.083469	26111.533416
8890.000000	0.099268	0.085638	26319.504885
8880.000000	0.098520	0.085852	25979.196937
8870.000000	0.093308	0.082078	24830.316955
8860.000000	0.086780	0.082116	23620.657150
8850.000000	0.087062	0.077194	22607.863975
8840.000000	0.081329	0.072000	21928.523086
8830.000000	0.082267	0.073304	21627.191095
8820.000000	0.081199	0.073020	21588.767758
8810.000000	0.083111	0.072372	22103.524181
8800.000000	0.082217	0.074308	22833.013972
8790.000000	0.088270	0.078608	23525.355197
8780.000000	0.092745	0.080871	24088.555036
8770.000000	0.089080	0.081777	24124.851162
8760.000000	0.085594	0.075078	23433.545900
8750.000000	0.082614	0.073399	22079.196385
8740.000000	0.079102	0.069505	20797.426967
8730.000000	0.071850	0.062591	19780.743453
8720.000000	0.069046	0.062575	19345.511558
8710.000000	0.073394	0.068870	19655.264510
8700.000000	0.073082	0.065666	20394.435663
8690.000000	0.080504	0.070672	21325.036118
8680.000000	0.081678	0.078224	22358.804008
8670.000000	0.084950	0.078271	23068.335563
8660.000000	0.084394	0.072908	22926.133087
8650.000000	0.079516	0.073224	22137.927801
8640.000000	0.079432	0.070244	21499.539415
8630.000000	0.079463	0.072442	20720.899546
8620.000000	0.077870	0.067421	20236.903549
8610.000000	0.072402	0.064209	19857.049629
8600.000000	0.075035	0.068871	19541.419292
8590.000000	0.072508	0.063502	19545.081969
8580.000000	0.075362	0.065365	19997.475155
8570.000000	0.077063	0.067824	20574.807993
8560.000000	0.080768	0.074485	21563.783645
8550.000000	0.081909	0.069694	22170.825947
8540.000000	0.080160	0.071079	21953.145474
8530.000000	0.078742	0.067800	21103.468618
8520.000000	0.076154	0.069214	19860.896847
8510.000000	0.070921	0.061237	18912.870438
8500.000000	0.072975	0.070463	18539.069830
8490.000000	0.069174	0.061501	18602.032555
8480.000000	0.072237	0.068107	19195.022396
8470.000000	0.074068	0.067724	19997.821735
8460.000000	0.080035	0.068625	21002.850504
8450.000000	0.082857	0.074139	21713.279858
8440.000000	0.079145	0.070697	21944.821472
8430.000000	0.080207	0.072549	22007.481341
8420.000000	0.081765	0.072116	21547.327835
8410.000000	0.077717	0.066341	21195.749740
8400.000000	0.080629	0.070033	20717.408228
8390.000000	0.074356	0.064460	20434.961961
8380.000000	0.079647	0.067014	20139.117224
8370.000000	0.086080	0.080323	20216.039547
8360.000000	0.084739	0.073137	20914.105534
8350.000000	0.084159	0.072418	21694.515165
8340.000000	0.083896	0.074790	22568.997139
8330.000000	0.082148	0.075266	23190.757843
8320.000000	0.085834	0.078827	23149.553245
8310.000000	0.084457	0.073363	22493.708770
8300.000000	0.084700	0.075244	21962.849081
8290.000000	0.081735	0.074612	21665.214160
8280.000000	0.100046	0.089396	21511.791980
8270.000000	0.092617	0.080571	21669.479851
8260.000000	0.084275	0.076979	21913.846626
8250.000000	0.088225	0.082001	22516.282696
8240.000000	0.088995	0.075587	22852.941799
8230.000000	0.088363	0.075696	23258.223365
8220.000000	0.089002	0.080653	23952.433564
8210.000000	0.077093	0.072503	23804.503650
8200.000000	0.093579	0.079087	24606.382820
8190.000000	0.102761	0.099633	24518.602432
8180.000000	0.092720	0.084524	24052.867803
8170.000000	0.087552	0.076436	23472.048480
8160.000000	0.065343	0.038597	23038.601843
8150.000000	0.092825	0.078520	23350.365001
8140.000000	0.090767	0.080021	24154.978746
8130.000000	0.097414	0.081620	24850.472038
8120.000000	0.092902	0.081412	25508.621251
8110.000000	0.096375	0.085507	25967.977376
8100.000000	0.097610	0.088778	25758.811234
8090.000000	0.100025	0.088580	25616.456339
8080.000000	0.091917	0.084890	25327.941854
8070.000000	0.096049	0.085536	25011.283378
8060.000000	0.100623	0.087471	25168.045041
8050.000000	0.099415	0.090956	25586.713264
8040.000000	0.107238	0.099071	26045.815497
8030.000000	0.096583	0.089459	26198.531438
8020.000000	0.099597	0.091772	26342.304958
8010.000000	0.096017	0.088364	26224.485209
8000.000000	0.098575	0.088868	26516.542616
7990.000000	0.100862	0.089720	26397.486443
7980.000000	0.098941	0.091213	26494.013864
7970.000000	0.100425	0.088745	26229.448890
7960.000000	0.094998	0.088587	26447.456576
7950.000000	0.099184	0.086592	26363.249751
7940.000000	0.100615	0.090311	26573.036505
7930.000000	0.101841	0.084381	26794.161406
7920.000000	0.097685	0.087734	27355.247773
7910.000000	0.098525	0.089092	27568.460554
7900.000000	0.104925	0.092891	27984.211044
7890.000000	0.101552	0.092480	27795.479234
7880.000000	0.099339	0.087845	27289.756108
7870.000000	0.100696	0.090785	26542.137757
7860.000000	0.101818	0.091099	26460.828725
7850.000000	0.102512	0.090105	26372.748363
7840.000000	0.099484	0.088008	26820.600996
7830.000000	0.100355	0.087900	27267.902360
7820.000000	0.104109	0.093452	27950.706587
7810.000000	0.104411	0.089831	27984.627371
7800.000000	0.106948	0.094259	27559.890204
7790.000000	0.101005	0.089604	27395.451917
7780.000000	0.104621	0.090991	27425.340833
7770.000000	0.103614	0.092030	27209.384537
7760.000000	0.107718	0.095587	27160.239028
7750.000000	0.102574	0.091190	27250.660023
7740.000000	0.098765	0.083052	27083.254742
7730.000000	0.098842	0.089137	27154.945513
7720.000000	0.103078	0.088402	27162.164428
7710.000000	0.103493	0.089398	27597.028792
7700.000000	0.104414	0.091466	28112.221046
7690.000000	0.102613	0.093568	28418.648898
7680.000000	0.107313	0.096407	28670.742163
7670.000000	0.105398	0.091420	28388.256981
7660.000000	0.104583	0.091890	27757.893540
7650.000000	0.101435	0.087826	26836.838259
7640.000000	0.095179	0.084902	26473.249751
7630.000000	0.101897	0.095749	26864.735024
7620.000000	0.101644	0.090927	27372.318261
7610.000000	0.106942	0.092911	27731.142747
7600.000000	0.099296	0.090796	28017.712766
7590.000000	0.102306	0.089740	28058.509783
7580.000000	0.103115	0.094384	28297.668128
7570.000000	0.104150	0.097314	28591.327889
7560.000000	0.107028	0.097193	28565.846862
7550.000000	0.106067	0.096676	28390.485419
7540.000000	0.104802	0.096261	28041.180664
7530.000000	0.105625	0.096342	27686.922738
7520.000000	0.102321	0.094557	27405.923479
7510.000000	0.102148	0.090236	27452.180723
7500.000000	0.104524	0.093960	27865.919113
7490.000000	0.102026	0.091880	28249.417535
7480.000000	0.107390	0.095193	28874.795149
7470.000000	0.106048	0.094744	29130.351258
7460.000000	0.107763	0.096337	28814.890028
7450.000000	0.108338	0.093241	28028.695760
7440.000000	0.100358	0.095056	27589.239131
7430.000000	0.101015	0.090741	27446.444937
7420.000000	0.105121	0.090828	27713.270235
7410.000000	0.104135	0.095517	28044.330494
7400.000000	0.106430	0.092836	28160.026099
7390.000000	0.101211	0.089984	28384.932876
7380.000000	0.103728	0.094071	28263.487608
7370.000000	0.109323	0.094466	28268.324156
7360.000000	0.106031	0.096506	28221.464229
7350.000000	0.108677	0.095700	27683.025061
7340.000000	0.101469	0.089811	27035.492910
7330.000000	0.100379	0.089477	26590.747190
7320.000000	0.096565	0.086204	26315.117595
7310.000000	0.096632	0.084037	26256.053099
7300.000000	0.099590	0.091138	26567.747333
7290.000000	0.105271	0.090252	27248.501978
7280.000000	0.102202	0.089893	27690.174976
7270.000000	0.105015	0.093688	27989.204055
7260.000000	0.099869	0.090283	27438.002908
7250.000000	0.096576	0.085650	26684.361876
7240.000000	0.096285	0.084672	25945.209961
7230.000000	0.095111	0.085535	25934.157330
7220.000000	0.097279	0.086931	26065.766268
7210.000000	0.096455	0.088272	26094.583473
7200.000000	0.100499	0.089604	26480.059806
7190.000000	0.102675	0.092220	26660.841613
7180.000000	0.101060	0.091767	26587.496810
7170.000000	0.101604	0.088205	26914.766794
7160.000000	0.100859	0.090442	27154.100842
7150.000000	0.096361	0.087779	26696.893431
7140.000000	0.099208	0.087045	26185.025207
7130.000000	0.092890	0.080355	25052.336735
7120.000000	0.085756	0.076903	23404.042076
7110.000000	0.083509	0.074989	22754.340557
7100.000000	0.085728	0.077444	22221.423271
7090.000000	0.080890	0.072630	22472.896913
7080.000000	0.090095	0.073844	23360.644887
7070.000000	0.086721	0.077618	23909.730947
7060.000000	0.091067	0.083974	23939.919813
7050.000000	0.090377	0.081879	23316.869757
7040.000000	0.081005	0.069173	22581.581980
7030.000000	0.080187	0.070758	21910.541733
7020.000000	0.079234	0.070970	21205.598988
7010.000000	0.076035	0.070814	20767.953202
7000.000000	0.079042	0.068331	20263.768101
6990.000000	0.074793	0.066384	20029.401632
6980.000000	0.075979	0.064925	20095.389019
6970.000000	0.075042	0.066772	20193.583883
6960.000000	0.081485	0.068802	20898.603133
6950.000000	0.083646	0.073048	21803.752778
6940.000000	0.081358	0.072991	22208.406496
6930.000000	0.077628	0.069938	21753.245402
6920.000000	0.076503	0.071033	20174.694835
6910.000000	0.072054	0.064177	18697.429976
6900.000000	0.066351	0.058932	17340.514651
6890.000000	0.067381	0.063529	16902.253358
6880.000000	0.067084	0.060124	17323.733667
6870.000000	0.067115	0.059985	18213.889917
6860.000000	0.070648	0.061783	19203.595213
6850.000000	0.077694	0.069364	19561.520164
6840.000000	0.071997	0.065782	19500.368762
6830.000000	0.071891	0.061060	19028.530305
6820.000000	0.069704	0.061375	18378.942711
6810.000000	0.065253	0.058258	17764.606003
6800.000000	0.067534	0.058295	16983.138094
6790.000000	0.064278	0.055408	16312.395700
6780.000000	0.061675	0.056908	15963.178865
6770.000000	0.061953	0.054450	15850.655204
6760.000000	0.058725	0.052511	16225.842816
6750.000000	0.067315	0.057041	16901.037319
6740.000000	0.065920	0.058411	17842.433696
6730.000000	0.070169	0.063671	18832.315532
6720.000000	0.071477	0.065895	19197.018580
6710.000000	0.068437	0.062642	18433.934566
6700.000000	0.065860	0.058092	17253.031567
6690.000000	0.061102	0.053766	15882.361177
6680.000000	0.055771	0.052831	15412.429016
6670.000000	0.055699	0.052867	15238.967328
6660.000000	0.058636	0.053838	15661.243022
6650.000000	0.061212	0.054436	16238.622393
6640.000000	0.062961	0.055383	16671.625390
6630.000000	0.064420	0.057369	16906.211874
6620.000000	0.063519	0.058496	16946.173003
6610.000000	0.064397	0.054471	17180.784786
6600.000000	0.064432	0.057706	17207.743593
6590.000000	0.064648	0.056160	16893.742444
6580.000000	0.058984	0.052726	16131.874743
6570.000000	0.057807	0.054148	15464.246358
6560.000000	0.059039	0.049826	15074.399175
6550.000000	0.055160	0.050256	14963.319924
6540.000000	0.060749	0.051607	15235.691708
6530.000000	0.056628	0.051395	16051.968699
6520.000000	0.065402	0.058743	17356.411019
6510.000000	0.068020	0.066545	18158.936019
6500.000000	0.071646	0.063265	18352.527811
6490.000000	0.069504	0.061718	17931.195651
6480.000000	0.059716	0.056654	17093.299586
6470.000000	0.061714	0.058509	16744.425382
6460.000000	0.063247	0.057679	16587.697045
6450.000000	0.062624	0.054952	17117.333917
6440.000000	0.063017	0.057530	17424.892658
6430.000000	0.065778	0.061151	17802.442287
6420.000000	0.066329	0.062150	18220.046012
6410.000000	0.072340	0.063414	18546.329777
6400.000000	0.068516	0.061805	18915.325295
6390.000000	0.072155	0.066287	19532.509190
6380.000000	0.076348	0.067273	19742.288973
6370.000000	0.080104	0.071345	19652.220246
6360.000000	0.072057	0.061335	19202.837271
6350.000000	0.073432	0.065918	18921.369173
6340.000000	0.071225	0.064101	18936.388766
6330.000000	0.074147	0.064084	19072.335329
6320.000000	0.073946	0.065812	19985.974178
6310.000000	0.080004	0.071349	20896.380645
6300.000000	0.080931	0.068583	21468.266955
6290.000000	0.082802	0.072300	21973.381029
6280.000000	0.077354	0.067687	22010.668849
6270.000000	0.085122	0.072982	22224.904728
6260.000000	0.082682	0.074159	22272.165309
6250.000000	0.083333	0.073176	22759.535886
6240.000000	0.089899	0.077487	23182.725835
6230.000000	0.088777	0.074726	23186.701529
6220.000000	0.082409	0.077858	23075.094975
6210.000000	0.088772	0.078924	23187.862937
6200.000000	0.085916	0.078355	23474.374345
6190.000000	0.089093	0.076953	24508.709845
6180.000000	0.093716	0.078298	24896.003210
6170.000000	0.093557	0.082348	24925.279645
6160.000000	0.096251	0.084987	24867.272489
6150.000000	0.090673	0.082020	24844.861008
6140.000000	0.091488	0.077658	25040.514000
6130.000000	0.098163	0.083274	25304.189305
6120.000000	0.093845	0.087428	25977.020697
6110.000000	0.104195	0.091907	26695.445557
6100.000000	0.100681	0.091746	27205.118334
6090.000000	0.096729	0.084316	26802.766446
6080.000000	0.101018	0.086785	26447.312432
6070.000000	0.094034	0.081651	26168.088066
6060.000000	0.097231	0.086445	26186.938245
6050.000000	0.096321	0.085099	26765.443592
6040.000000	0.100767	0.087789	27018.926849
6030.000000	0.099250	0.088757	27209.131042
6020.000000	0.099401	0.088093	27204.167206
6010.000000	0.100835	0.086811	27143.493762
6000.000000	0.100168	0.091906	27127.213916
5990.000000	0.100092	0.088400	27111.305845
5980.000000	0.098169	0.088347	27122.726251
5970.000000	0.100822	0.085976	26990.998725
5960.000000	0.102113	0.092704	26753.348849
5950.000000	0.098584	0.087585	26442.919434
5940.000000	0.098178	0.085170	26173.741881
5930.000000	0.098511	0.092059	25853.734354
5920.000000	0.093958	0.080090	25539.611296
5910.000000	0.092315	0.081003	25267.009208
5900.000000	0.092783	0.082307	24990.255654
5890.000000	0.089091	0.079389	24195.248390
5880.000000	0.087961	0.081299	23709.524616
5870.000000	0.087437	0.080667	23669.086353
5860.000000	0.090056	0.079048	23867.868442
5850.000000	0.094636	0.081256	24477.812606
5840.000000	0.088277	0.078550	24717.334792
5830.000000	0.094602	0.082192	24853.165742
5820.000000	0.084667	0.077850	24364.446150
5810.000000	0.091350	0.078067	23434.220065
5800.000000	0.083949	0.073254	22996.337474
5790.000000	0.086224	0.074106	22991.973676
5780.000000	0.083417	0.075277	22570.089598
5770.000000	0.083000	0.074664	22200.125085
5760.000000	0.078112	0.069563	21600.527075
5750.000000	0.080029	0.071988	21446.001286
5740.000000	0.080778	0.072378	21877.780409
5730.000000	0.081125	0.069827	22207.434351
5720.000000	0.086713	0.076302	22130.195585
5710.000000	0.080378	0.073590	21986.848278
5700.000000	0.083298	0.069937	21867.404987
5690.000000	0.063142	0.062871	20710.563880
5680.000000	0.141481	0.169808	19395.458081
5670.000000	0.074360	0.063360	19142.565900
5660.000000	0.068165	0.061113	18653.712057
5650.000000	0.072282	0.062918	18625.019068
5640.000000	0.074217	0.064966	19364.351588
5630.000000	0.076371	0.074185	20137.520729
5620.000000	0.072139	0.065579	20177.812197
5610.000000	0.074911	0.069454	19585.282726
5600.000000	0.071732	0.061450	19052.324936
5590.000000	0.071068	0.061420	18972.083801
5580.000000	0.069293	0.061831	19290.948130
5570.000000	0.073129	0.064332	19028.464956
5560.000000	0.065335	0.060556	17818.822310
5550.000000	0.067218	0.055583	16984.154747
