

# Not connected low level HP
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
10000.000000	317.937052	716.471172	10856.899287
9990.000000	281.493629	1014.093048	8763.008734
9980.000000	445.583580	1420.721534	9068.416404
9970.000000	879.600101	2946.658283	20590.657185
9960.000000	1047.040412	2441.996350	33614.705013
9950.000000	1000.173231	2399.986495	33501.253018
9940.000000	607.519700	1912.843384	23312.580762
9930.000000	703.040989	2374.433814	15380.673684
9920.000000	681.410969	2096.773531	9537.561347
9910.000000	784.813719	2142.812402	23102.277157
9900.000000	659.978082	2017.847920	22762.524493
9890.000000	1174.489743	1956.982320	19058.021593
9880.000000	525.652653	2081.226849	15074.706636
9870.000000	613.968791	1881.974578	10343.701947
9860.000000	607.609968	1739.697407	14598.129921
9850.000000	601.103230	1749.844584	14509.807013
9840.000000	450.158140	1733.674802	11021.451206
9830.000000	470.867584	1391.762888	16319.496966
9820.000000	456.734547	1616.278739	7861.764703
9810.000000	380.368072	1101.726331	8996.933596
9800.000000	393.540115	1055.632354	10294.748431
9790.000000	240.627905	629.325147	5443.240174
9780.000000	241.644328	641.777311	5241.615186
9770.000000	280.997457	823.676173	5191.054470
9760.000000	726.482118	1801.301985	17804.951650
9750.000000	861.174396	1950.419021	29289.716090
9740.000000	792.357694	2558.165658	21422.958412
9730.000000	608.099914	2076.776413	16044.476556
9720.000000	800.780289	2461.248785	16146.646385
9710.000000	738.675602	1661.654008	22056.854990
9700.000000	714.562885	2075.305337	18754.411481
9690.000000	520.349976	2035.382277	13956.220092
9680.000000	480.227851	1616.449741	16351.194937
9670.000000	760.993522	2140.572962	12698.231841
9660.000000	583.603888	1557.338528	17434.639701
9650.000000	625.705010	1647.403228	11051.349636
9640.000000	463.428311	1523.775719	9938.844352
9630.000000	406.671642	1424.214297	11052.050746
9620.000000	426.736037	1324.154845	7842.918962
9610.000000	410.508065	1310.506873	8622.117675
9600.000000	347.021052	1020.821471	9217.226733
9590.000000	282.872868	898.535425	8414.263408
9580.000000	222.191313	642.028177	5769.782168
9570.000000	206.458884	531.395339	4096.466056
9560.000000	163.259611	398.448411	4363.906671
9550.000000	268.372211	759.570834	9188.422933
9540.000000	429.160034	1162.954990	10512.505905
9530.000000	615.900606	1894.225249	16013.772277
9520.000000	1085.157098	3079.058558	21191.742512
9510.000000	737.129407	2141.366414	13642.589661
9500.000000	639.652579	1661.644124	17081.032282
9490.000000	504.121994	1817.915859	14150.444570
9480.000000	492.291515	1617.576508	12975.506541
9470.000000	796.568763	2059.907188	14456.112103
9460.000000	573.895698	1612.088223	15278.240601
9450.000000	615.679405	1531.246049	20389.874421
9440.000000	530.959419	1514.956020	10888.581763
9430.000000	490.022937	1274.081546	10978.594112
9420.000000	379.151500	1158.263710	8231.407733
9410.000000	547.700471	1348.252254	11776.961721
9400.000000	268.312792	786.196911	6996.761403
9390.000000	238.264627	757.355452	6850.034450
9380.000000	225.860000	720.389680	4461.633884
9370.000000	249.082348	716.362866	5554.680757
9360.000000	223.965575	625.411794	5737.486524
9350.000000	619.683481	749.582059	6540.100562
9340.000000	201.949545	498.318180	2328.878304
9330.000000	167.529393	451.679113	3112.458987
9320.000000	537.490726	1374.622221	5351.207651
9310.000000	385.987316	872.355578	8034.076026
9300.000000	563.543868	794.512138	6441.925155
9290.000000	350.155159	1198.332434	9834.730679
9280.000000	531.329593	1542.490531	10262.800443
9270.000000	503.632120	1391.272508	6209.387066
9260.000000	253.679508	484.275104	3876.918796
9250.000000	438.967006	1035.370514	11482.001096
9240.000000	387.643244	1419.284473	10165.630133
9230.000000	477.931434	1617.035249	8236.059457
9220.000000	416.289480	1337.327689	7876.469783
9210.000000	431.124821	1264.752921	9800.426442
9200.000000	447.086393	1266.284824	14738.574470
9190.000000	339.918184	1194.395874	9352.365940
9180.000000	444.419483	1149.379523	8439.257213
9170.000000	447.777900	1071.728471	5934.377671
9160.000000	339.728209	953.701227	9022.025654
9150.000000	501.912837	1408.186853	10446.550769
9140.000000	416.436987	1323.107597	13579.935684
9130.000000	407.557342	1335.341585	7935.127894
9120.000000	449.128830	1244.366860	9886.419178
9110.000000	476.297812	1382.330911	9326.547040
9100.000000	426.696991	1140.297846	13186.835862
9090.000000	328.450934	1097.602047	9204.310424
