

# Mixer powered on
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
10000.000000	1166.947645	3311.700616	41676.875432
9990.000000	1125.194559	3445.905641	26367.125155
9980.000000	1769.783463	4172.762338	27901.004821
9970.000000	1271.169670	3753.493092	28203.051934
9960.000000	1067.215525	2768.512980	29330.851775
9950.000000	1641.934828	3797.593786	44912.013382
9940.000000	966.392762	2908.521862	25438.451357
9930.000000	1169.141059	3715.237973	33291.648248
9920.000000	1070.068772	3331.287889	20244.317105
9910.000000	1024.413145	2981.395904	28987.042733
9900.000000	1081.755309	3151.058388	25861.533570
9890.000000	1560.510125	3428.886531	61576.348350
9880.000000	1217.274926	3291.945447	32901.958332
9870.000000	1732.261371	3407.112576	30064.340761
9860.000000	1041.427942	2967.087967	18273.663990
9850.000000	1040.670707	3155.784227	18584.420406
9840.000000	1014.299371	2743.162983	28889.046866
9830.000000	789.041288	2771.692405	26525.657765
9820.000000	934.506674	2934.858277	21679.627046
9810.000000	1006.321393	3167.045455	26392.967651
9800.000000	1019.004268	3075.729068	27281.046384
9790.000000	1161.135025	3031.412412	29888.059060
9780.000000	1083.165962	2843.514716	34991.231321
9770.000000	814.475950	2451.053970	19908.205681
9760.000000	1074.186884	3176.784779	29647.017821
9750.000000	972.475341	2893.375299	19790.420182
9740.000000	1078.675888	3188.464333	24355.201837
9730.000000	1053.319803	3202.676134	34389.129832
9720.000000	817.428904	2707.648055	25171.830532
9710.000000	760.768587	2481.634746	26769.633490
9700.000000	1134.657089	3649.049932	16480.441417
9690.000000	915.131447	2811.400316	19114.840693
9680.000000	1075.670308	2971.951563	24571.076999
9670.000000	705.988259	1940.780771	25349.176029
9660.000000	698.231231	2742.654375	27626.963989
9650.000000	659.091708	2330.964220	16288.736685
9640.000000	1055.159203	3108.394932	15185.096470
9630.000000	1023.176772	2584.506990	29542.340111
9620.000000	1038.857190	2550.789746	39658.006741
9610.000000	676.165335	2244.085248	23047.517024
9600.000000	859.565878	2459.077227	17004.607635
9590.000000	907.198904	2674.626125	20259.019833
