

# On driving at 7dBm, other at -110dBm but not connected
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
10000.000000	18.076907	34.107375	1379.907667
9990.000000	15.441517	18.105027	1588.117334
9980.000000	18.832172	38.410779	1605.613134
9970.000000	15.750381	34.974063	1240.431471
9960.000000	16.354186	30.701094	1737.295213
9950.000000	16.303415	29.384991	1282.120401
9940.000000	14.601641	19.760710	1370.723990
9930.000000	12.821217	18.153271	1885.737846
9920.000000	13.616814	29.061048	1297.420840
9910.000000	13.635879	18.718102	1047.653178
9900.000000	13.960613	20.543654	1701.019905
9890.000000	18.231746	60.483322	1627.022600
9880.000000	16.052347	35.383398	1702.965554
9870.000000	18.477415	51.448122	1644.440681
9860.000000	13.511454	20.254837	1370.259586
9850.000000	13.374586	23.017898	1939.004412
9840.000000	13.029348	24.090183	1321.707502
9830.000000	11.577979	15.514111	1395.792557
9820.000000	13.563221	22.515293	1443.186565
9810.000000	16.129990	38.191894	1471.297555
9800.000000	13.845699	19.658503	1606.361985
9790.000000	11.818561	17.790427	1661.052186
9780.000000	12.945967	24.230824	1489.888640
9770.000000	15.659168	33.099107	1471.183532
