

# Now connected
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
10000.000000	22.471602	44.713948	6120.216911
9990.000000	22.545935	29.601841	2959.921790
9980.000000	25.741463	61.385443	4653.964124
9970.000000	26.111911	59.655093	4584.236979
9960.000000	19.587839	34.617389	2319.950713
9950.000000	24.156025	62.488398	5431.067317
9940.000000	23.428032	61.173058	1821.288300
9930.000000	20.784771	45.405045	2617.980662
9920.000000	16.037971	25.460735	4743.754795
9910.000000	19.429757	41.740327	2086.721769
9900.000000	22.480159	67.836360	4955.559403
9890.000000	21.231743	44.422123	5050.308374
9880.000000	23.277625	49.401270	3337.602814
9870.000000	20.059726	35.783634	4971.436464
9860.000000	17.433183	32.784081	1686.009842
9850.000000	15.992481	27.503612	2554.230829
9840.000000	18.213665	50.790390	4274.789885
