

# Inserted preamp
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
10000.000000	503.707252	1662.950772	841772.841624
9990.000000	460.531184	1061.572989	1016362.056675
9980.000000	492.653240	1138.221299	932425.309488
9970.000000	311.807098	523.123373	703314.143959
9960.000000	431.527317	948.857470	1316964.227440
9950.000000	345.207438	600.042008	1109526.738647
9940.000000	488.409189	1106.283463	922639.457206
9930.000000	367.937938	475.080103	1128656.385786
9920.000000	377.899207	729.317326	904910.336213
9910.000000	357.981236	499.637226	745776.656566
9900.000000	478.861281	1019.979776	1230803.419493
9890.000000	552.383577	1290.909304	1175202.929062
9880.000000	373.717576	567.589736	906717.114875
9870.000000	425.423955	472.088065	1298552.888401
9860.000000	545.772877	1312.413224	839729.486013
9850.000000	509.459597	921.212843	836623.970625
9840.000000	427.229326	643.970541	1425191.085985
9830.000000	521.929883	966.405547	1192832.328090
9820.000000	356.663763	628.650552	1237610.254335
9810.000000	524.120354	951.933352	1014394.865427
9800.000000	778.424848	926.615360	1464242.621793


# Fine mazed
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
10000.000000	796.664760	1674.868800	941008.962904
9999.000000	807.846839	1134.187808	1232217.431215
9998.000000	1005.759341	1093.319290	848966.319091
9997.000000	568.821521	1059.347549	664282.092270
9996.000000	561.770398	1204.255541	996012.434037
9995.000000	927.210732	1080.810762	706981.053946
9994.000000	725.494619	890.215899	907350.737434
9993.000000	641.939979	2078.040830	1207243.306478
9992.000000	623.432910	1383.383935	901411.985440
9991.000000	908.980749	2001.402799	1180655.980149
9990.000000	881.898589	1613.729086	838438.159252
9989.000000	647.105305	1318.414959	1172827.793266
9988.000000	552.807740	876.532489	1019778.376624
9987.000000	829.849404	1169.401480	1211740.287634
9986.000000	661.391059	1760.077807	1133336.746389
9985.000000	632.647967	1598.693561	767343.439549
9984.000000	1054.013909	1197.030246	742801.155017
9983.000000	560.251216	1107.839556	791062.535109
9982.000000	671.168919	840.742333	738988.540451
9981.000000	1368.799514	2269.425845	1089921.947404
9980.000000	524.954818	1459.465989	1224692.823147
9979.000000	715.279414	1613.475824	1023044.793580
9978.000000	626.054413	1617.885605	1136126.282393
9977.000000	540.302374	1314.039359	992995.654495
9976.000000	1030.193956	1662.571411	1165577.324374
9975.000000	504.975888	961.969802	941906.849035
9974.000000	579.909984	1733.722531	660651.067371
9973.000000	707.276728	1230.608925	942148.775396
9972.000000	665.459289	1562.671409	1224483.551318
9971.000000	648.086029	1835.390463	1027345.473630
9970.000000	642.306988	1278.396608	719512.963582
9969.000000	913.607183	1726.255238	1007524.039193
9968.000000	1312.851400	2023.644920	1227183.405764
9967.000000	654.955674	2341.310227	868667.254954
9966.000000	508.709819	1386.506832	794171.681272
9965.000000	543.473338	737.860911	1172752.180890
9964.000000	571.105374	1704.898704	1225508.505425
9963.000000	556.336479	1165.193665	1224051.976930
9962.000000	418.211965	931.599146	1121988.309003
9961.000000	637.400585	1530.635754	698765.645242
9960.000000	660.998702	1691.623359	1126120.601746
9959.000000	567.090931	1107.343908	680787.736941
9958.000000	628.358554	1752.455563	1003213.709663
9957.000000	597.353477	1790.613249	663392.667244
9956.000000	560.808241	1143.106932	957466.872539
9955.000000	494.656776	1241.651716	716481.237753
9954.000000	550.753269	1593.384357	935023.636606
9953.000000	545.557644	1470.308579	1283508.264287
9952.000000	448.161221	766.488186	1140359.958039
9951.000000	572.446810	1514.961214	1278596.991218
9950.000000	585.221828	1873.087198	1097482.884205
9949.000000	622.777417	1753.081636	720043.712304
9948.000000	378.018934	602.056005	974550.863820
9947.000000	414.686845	681.181441	785527.380663
9946.000000	616.781509	1949.750161	905714.916753
9945.000000	434.077954	913.648009	1265077.493564
9944.000000	552.651132	1247.145737	866975.038492
9943.000000	435.462966	1100.919186	1201645.174919
9942.000000	611.164637	2346.184934	769465.764383
9941.000000	476.147429	1091.224792	1159965.085539
9940.000000	428.802073	1276.440648	1215790.317471
9939.000000	571.935896	1504.646312	1139505.471393
9938.000000	600.958080	2239.682995	763543.664711
9937.000000	519.987161	1450.142880	886100.560293
9936.000000	629.559110	1884.714717	1246862.628853
9935.000000	591.605406	2221.693809	1138363.816314
9934.000000	550.432758	1578.084593	1253891.411386
9933.000000	390.337728	768.888002	934494.663084
9932.000000	542.275406	1929.755384	1252142.834134
9931.000000	586.200041	1318.044219	864483.617626
9930.000000	477.232786	1155.027156	1248637.685836
9929.000000	596.076782	1869.715980	966495.351344
9928.000000	548.553393	1411.116772	747817.810520
9927.000000	375.071088	824.512806	958620.386528
9926.000000	691.643290	1922.945877	743313.148118
9925.000000	339.828831	636.994201	1003514.497618
9924.000000	672.063475	2769.613273	1284907.946902
9923.000000	464.208075	1327.876266	1021068.712524
9922.000000	397.621832	1008.744366	1269848.360276
9921.000000	525.719895	1152.379390	1096126.595648
9920.000000	592.799166	2318.158256	769159.052553
9919.000000	613.445173	1784.229571	1114517.237426
9918.000000	392.190765	944.096867	795955.897158
9917.000000	498.175368	1511.706769	821835.953796
9916.000000	502.439923	1110.548586	789362.296859
9915.000000	431.447170	769.561372	836269.285470
9914.000000	429.369857	788.849387	1184165.676146
9913.000000	476.533324	1266.186652	806574.266470
9912.000000	462.684485	1072.132817	1159720.480432
9911.000000	589.445778	2176.574524	788519.180583
9910.000000	506.466207	1331.236055	809995.043016
9909.000000	443.594442	857.092554	810444.216640
9908.000000	542.581086	1674.461710	1171465.427347
9907.000000	590.886845	1832.707473	818724.660163
9906.000000	457.826199	994.259431	1205012.862803
9905.000000	395.225292	562.149365	775360.016164
9904.000000	619.640167	1865.699037	1146649.291316
9903.000000	621.153386	1921.427138	722925.122157
9902.000000	589.515873	1911.389180	1103280.245570
9901.000000	610.288844	2023.004411	733236.305300
9900.000000	555.485128	1621.725026	1048271.783122
9899.000000	582.916755	1752.005755	1215970.458505
9898.000000	527.034729	1554.112294	1015182.837985
9897.000000	553.236156	1814.985382	1269601.733482
9896.000000	485.283637	592.450930	1072857.596554
9895.000000	779.937661	2055.196968	715691.518216
9894.000000	690.304491	1294.302733	1076304.040420
9893.000000	613.528454	1843.650485	1279037.022987
9892.000000	637.016586	1895.060617	972985.362364
9891.000000	634.696696	1786.975797	1268917.516727
9890.000000	585.007015	1921.947588	905539.164818
9889.000000	452.876440	781.472697	1327861.104502
9888.000000	898.222178	1775.765977	1157156.906283
9887.000000	1101.341431	1761.656563	804533.781870
9886.000000	1408.557627	2604.296996	1095104.174408
9885.000000	1197.778240	2492.264622	836073.572894
9884.000000	830.506334	1680.477805	844220.031615
9883.000000	890.776259	1978.464204	826008.652455
9882.000000	679.782988	1875.516424	1234871.235762
9881.000000	682.601410	2540.637811	884725.277370
9880.000000	590.576216	1606.406433	1247002.062851
9879.000000	668.318509	2132.511292	1051372.041450
9878.000000	838.940273	1601.821168	792913.287148
9877.000000	979.982917	2561.953381	1028615.831520
9876.000000	1063.756303	3073.767271	755747.058683
9875.000000	901.272824	2175.606751	1043242.248822
9874.000000	805.685522	1826.106634	795038.793152
9873.000000	775.359666	1944.528820	1015115.032585
9872.000000	682.371277	2034.124583	1334703.913908
9871.000000	658.331927	2035.902513	1131652.339169
9870.000000	696.506534	2021.068177	1278678.217495
9869.000000	610.852385	1952.846145	1107512.172847
9868.000000	513.044508	1555.354378	1330580.619295
9867.000000	497.890476	1323.170221	1087689.838903
9866.000000	543.827893	1001.273733	1306694.392603
9865.000000	647.900464	1212.664614	1015846.094409
9864.000000	575.249698	839.366315	1326814.934286
9863.000000	688.148357	1449.636957	1238028.374880
9862.000000	566.339823	1783.776050	1274422.071720
9861.000000	562.871915	1471.527497	1234618.795310
9860.000000	517.104630	1245.300214	1325772.979551
9859.000000	521.185003	1319.116748	909283.980733
9858.000000	542.927428	1542.018586	930775.551369
9857.000000	487.181532	1286.675620	1303733.208812
9856.000000	570.534649	1301.483782	1271786.886419
