

# HP output power has been disabled
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
7800.000000	535.706034	490.315261	72874.519519
7790.000000	484.048564	490.459414	54977.890517
7780.000000	514.109908	540.319776	55259.596048
7770.000000	526.118706	584.449053	51590.482405
7760.000000	598.505700	544.345168	53945.666959
7750.000000	538.468151	569.349063	67525.083505
7740.000000	461.800976	484.790153	53593.196159
7730.000000	466.366292	502.361369	57662.799721
7720.000000	526.585210	486.931367	58963.131675
7710.000000	511.471178	501.721091	57017.902442
7700.000000	557.596675	563.839645	53476.666773
7690.000000	464.145302	488.969778	57256.274448
7680.000000	495.398798	517.763224	49877.504021
7670.000000	540.051069	522.160269	52171.498790
7660.000000	558.168904	558.136462	44550.220160
7650.000000	519.448539	484.994431	70673.537222
7640.000000	513.270594	487.080617	62211.833577
7630.000000	380.050718	359.584927	49248.558607
7620.000000	497.859453	458.904781	57135.337872
7610.000000	486.968704	538.169838	60192.048438
7600.000000	501.326749	567.712628	55509.953933
7590.000000	571.744678	617.265002	69855.438406
7580.000000	528.561991	544.637168	58063.892926
7570.000000	523.233342	605.316358	56669.122528
7560.000000	467.017114	421.308450	47644.737288
7550.000000	492.353370	459.551532	63714.416955
7540.000000	514.647842	580.874245	59585.628473
7530.000000	529.406373	531.526453	68650.928272
7520.000000	480.553740	508.308453	67196.149564
7510.000000	518.933419	458.148584	60884.817376
7500.000000	595.640185	646.075465	63073.571520
7490.000000	626.234837	591.159599	66987.547626
7480.000000	583.148129	608.754822	62588.862421
7470.000000	528.845335	612.467169	72564.363631
7460.000000	557.173209	579.492940	63301.657985
7450.000000	525.284836	518.142568	61200.762971
7440.000000	593.821208	634.952775	57686.194322
7430.000000	537.600331	497.562124	64331.196551
7420.000000	513.992499	491.892417	58701.915491
7410.000000	554.836360	554.361747	63035.104029
7400.000000	591.478148	497.885040	81702.286910
7390.000000	638.335412	726.599972	73163.815139
7380.000000	593.343726	580.037112	75857.134119
7370.000000	574.016142	530.046709	80905.802082
7360.000000	522.834748	513.725417	56263.956159
7350.000000	559.565263	519.207145	56183.315610
7340.000000	494.133549	513.857401	76750.599260
7330.000000	613.272462	627.008679	53819.212873
7320.000000	632.279849	675.329062	68545.959334
7310.000000	508.995771	479.315245	68837.214064
7300.000000	529.216797	466.172404	72754.275513
7290.000000	583.172111	631.627123	66087.600459
7280.000000	623.979132	632.769643	58362.828360
7270.000000	554.666775	576.816015	73214.168391
7260.000000	535.523545	515.593299	59327.311817
7250.000000	483.605285	468.928258	52883.138969
7240.000000	470.165434	495.070114	71956.315064
7230.000000	521.872619	569.703545	56298.225317
7220.000000	542.299350	567.015145	53104.991083
7210.000000	570.962688	513.143330	64498.005252
7200.000000	468.979209	506.296922	55956.972399
7190.000000	499.869800	513.471718	66667.261781
7180.000000	483.278517	454.387239	59631.470536
7170.000000	466.153781	481.447950	71642.023626
7160.000000	429.393066	458.039858	53144.523540
7150.000000	460.654479	468.212174	51464.233850
7140.000000	424.367475	392.579053	58388.495171
