

# Cleaned up peak detection routine
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
7800.000000	587.918647	624.198557	25714.074038
7790.000000	570.374390	514.273322	26569.867531
7780.000000	509.939380	515.293049	15620.558110
7770.000000	545.158796	569.660377	19160.195524
7760.000000	558.125421	556.161121	20261.035043
7750.000000	499.230839	459.046904	15528.368434
7740.000000	537.028770	511.054917	11675.879727
7730.000000	515.159233	549.866916	27082.654479
7720.000000	546.335116	520.290627	28489.939201
7710.000000	521.581558	572.073194	32005.744109
7700.000000	619.624667	598.547399	17780.909494
7690.000000	579.914050	568.580701	23928.651063
7680.000000	553.884077	524.042490	17791.757268
7670.000000	581.420595	618.809786	22669.422329
7660.000000	569.546165	593.476129	14572.015094
7650.000000	548.806359	553.284612	24658.370292
7640.000000	620.859880	679.142190	13712.838056
7630.000000	573.881872	542.432192	19986.898709
7620.000000	551.402328	501.580606	29827.834508
7610.000000	599.513107	515.849667	11183.032571
7600.000000	560.496914	529.233280	14501.746537
7590.000000	598.625685	615.033098	17460.512302
7580.000000	524.168278	532.057202	20529.255561
7570.000000	584.193943	568.899367	15157.710669
7560.000000	550.726693	537.177658	7287.062064
7550.000000	602.779065	556.590848	13472.987111
7540.000000	571.464792	548.889879	11074.357254
7530.000000	596.090222	574.190595	9335.730331
7520.000000	628.915666	615.511497	25327.074192
7510.000000	598.501171	571.876765	11109.578450
7500.000000	665.032229	708.314324	19185.854412
7490.000000	625.975912	607.753744	10374.596786
7480.000000	671.362010	731.652769	18859.205836
7470.000000	700.562811	681.264667	11839.268222
7460.000000	689.397768	676.081420	17320.839322
7450.000000	667.776716	686.315107	18580.536778
7440.000000	670.940289	710.693841	10929.182525
7430.000000	683.552745	699.004837	19326.809865
7420.000000	638.782142	611.886750	12898.266960
7410.000000	656.853304	653.918081	16750.254537
7400.000000	730.646275	710.915688	14649.996375
7390.000000	698.198265	673.145041	10179.783524
7380.000000	699.077519	827.501741	17590.345674
7370.000000	655.700985	673.656969	18179.718980
7360.000000	639.699386	696.816234	11860.277516
7350.000000	588.885794	607.965602	20628.231311
7340.000000	663.711836	632.353478	19381.922817
7330.000000	612.475886	610.979682	21031.895667
7320.000000	650.815901	624.275323	21734.584282
7310.000000	566.976854	538.013795	14796.085114
7300.000000	745.735687	714.134254	21938.492022
7290.000000	702.147918	629.432326	26892.958820
7280.000000	632.795113	642.481462	26822.762209
7270.000000	623.412967	597.799456	16444.345186
7260.000000	0.003953	0.003998	0.034693
7250.000000	0.003400	0.003332	0.013151
7240.000000	0.003061	0.002818	0.016455
7230.000000	0.003254	0.003080	0.012169
7220.000000	0.003177	0.003218	0.020201
7210.000000	0.003328	0.003320	0.027901
7200.000000	0.003200	0.003121	0.015328
7190.000000	0.003289	0.003358	0.019181
7180.000000	0.003243	0.003384	0.018153
7170.000000	0.003236	0.003150	0.018968
7160.000000	0.003361	0.003219	0.009827
7150.000000	0.003303	0.003046	0.017515
7140.000000	0.003316	0.003269	0.018258
7130.000000	0.003140	0.003157	0.023066
7120.000000	0.003146	0.003036	0.016797
7110.000000	0.003030	0.002961	0.011039
7100.000000	0.003386	0.003197	0.023768
7090.000000	0.003292	0.003432	0.018843
7080.000000	0.003163	0.003312	0.013079
7070.000000	0.003203	0.003310	0.016179
7060.000000	0.003088	0.003062	0.021596
7050.000000	0.003095	0.003013	0.016224
7040.000000	0.003470	0.003551	0.023498
7030.000000	0.002996	0.003181	0.021973
7020.000000	0.003212	0.002997	0.025967
7010.000000	0.003205	0.003317	0.013044
7000.000000	0.003421	0.003378	0.015318
6990.000000	0.003497	0.003396	0.022547
6980.000000	0.002978	0.002805	0.019762
6970.000000	0.003084	0.002938	0.014027
6960.000000	0.003212	0.002956	0.012083
6950.000000	0.003056	0.003025	0.024806
6940.000000	0.003108	0.003183	0.011422
6930.000000	0.003304	0.003041	0.013205
6920.000000	0.003328	0.003076	0.028510
6910.000000	0.002978	0.003119	0.018760
6900.000000	0.003261	0.003357	0.012395
6890.000000	0.003235	0.003079	0.018399
6880.000000	0.003484	0.003478	0.020141
6870.000000	0.003200	0.003246	0.011582
6860.000000	0.003553	0.003678	0.011877
6850.000000	0.003142	0.002985	0.032613
6840.000000	0.003058	0.003077	0.012058
6830.000000	0.003469	0.003210	0.014415
6820.000000	0.003010	0.002879	0.019372
6810.000000	0.003611	0.003749	0.015917
6800.000000	0.003221	0.003070	0.011091
6790.000000	0.003313	0.002981	0.011207
6780.000000	0.003162	0.002935	0.014912
6770.000000	0.003349	0.003462	0.016487
6760.000000	0.003353	0.003639	0.020234
6750.000000	0.003608	0.003551	0.016620
6740.000000	0.003218	0.003252	0.023386
6730.000000	0.003040	0.003349	0.014966
6720.000000	0.003128	0.003278	0.017544
6710.000000	0.003003	0.002856	0.016668
6700.000000	0.003100	0.002790	0.019232
6690.000000	0.002975	0.002988	0.015474
6680.000000	0.003080	0.003086	0.016157
6670.000000	0.003242	0.003014	0.011869
6660.000000	0.003363	0.003502	0.022602
6650.000000	0.003373	0.003473	0.012301
6640.000000	0.003245	0.003263	0.023880
6630.000000	0.003089	0.003037	0.013964
6620.000000	0.003090	0.002869	0.014170
6610.000000	0.003144	0.003127	0.015788
6600.000000	0.003063	0.003078	0.017171
6590.000000	0.003132	0.003134	0.029520
6580.000000	0.003285	0.003447	0.018835
6570.000000	0.003167	0.003142	0.013545
6560.000000	0.003146	0.003012	0.014623
6550.000000	0.003409	0.003182	0.012160
6540.000000	0.003203	0.003063	0.014470
6530.000000	0.003208	0.003168	0.015519
6520.000000	0.003448	0.003508	0.018862
6510.000000	0.003030	0.003323	0.040022
6500.000000	0.003120	0.003022	0.012401
6490.000000	0.003179	0.003231	0.018344
6480.000000	0.003378	0.003319	0.014893
6470.000000	0.003609	0.003742	0.023235
6460.000000	0.003194	0.003025	0.008868
6450.000000	0.003075	0.003080	0.020392
6440.000000	0.003347	0.003296	0.013330
6430.000000	0.003560	0.003717	0.015218
6420.000000	0.003042	0.002891	0.016439
6410.000000	0.003393	0.003572	0.020939
6400.000000	0.003383	0.002991	0.014049
6390.000000	0.003241	0.003057	0.015943
6380.000000	0.003140	0.003306	0.013204
6370.000000	0.003283	0.003275	0.019640
6360.000000	0.003344	0.003396	0.025557
6350.000000	0.003162	0.003377	0.024016
6340.000000	0.003064	0.003158	0.027922
6330.000000	0.003223	0.003215	0.014404
6320.000000	0.003478	0.003422	0.021039
6310.000000	0.003439	0.003605	0.012880
6300.000000	0.003181	0.003293	0.025914
6290.000000	0.003227	0.003153	0.019585
6280.000000	0.003493	0.003758	0.021751
6270.000000	0.003575	0.003407	0.016603
6260.000000	0.003411	0.003395	0.015626
6250.000000	0.003648	0.003637	0.014690
6240.000000	0.002925	0.002807	0.013936
6230.000000	0.003051	0.002875	0.022773
6220.000000	0.003215	0.003305	0.009222
6210.000000	0.003006	0.003099	0.012376
6200.000000	0.003270	0.002873	0.028896
