

# In previous meas, power regulator failed
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
7800.000000	617.991626	613.525192	19633.431505
7790.000000	628.590229	642.326811	17284.407419
7780.000000	648.120008	630.670435	15290.640559
7770.000000	722.989885	816.227027	17093.565289
7760.000000	583.021323	520.336558	20849.404874
7750.000000	653.247684	638.603846	14545.865723
7740.000000	601.462915	517.993404	11271.611719
7730.000000	554.813166	573.962651	21954.761843
7720.000000	541.995548	492.697695	20501.846982
7710.000000	603.494012	600.430233	11096.111319
7700.000000	630.632508	658.821653	20047.806022
7690.000000	608.032810	616.905737	10018.543905
7680.000000	651.655684	609.816246	16450.797630
7670.000000	613.685454	598.076995	21926.485283
7660.000000	624.641027	669.354158	18797.204077
7650.000000	613.161452	615.230995	15115.077157
7640.000000	592.871243	646.570790	14226.642908
7630.000000	629.818010	629.751827	13649.914138
7620.000000	583.421455	611.730968	6487.609576
7610.000000	635.536098	655.888846	13737.990506
7600.000000	650.758781	651.815457	14623.752730
7590.000000	624.512560	643.090761	16753.034383
7580.000000	646.289935	627.012110	15708.469266
7570.000000	668.724832	621.471134	10683.576073
7560.000000	603.927371	611.652237	17188.496955
7550.000000	552.501186	544.177480	9718.930872
7540.000000	583.012376	608.389024	8927.321477
7530.000000	658.745856	636.634716	16516.448083
7520.000000	627.590061	611.206398	16570.937158
7510.000000	707.804100	790.678886	12397.582024
7500.000000	699.268678	726.390400	11690.443085
7490.000000	730.479416	704.394286	9151.379914
7480.000000	844.828659	862.813046	12210.794874
7470.000000	680.557966	700.090382	17965.344525
7460.000000	682.957081	707.654865	10051.105514
7450.000000	690.413002	705.944747	17444.761513
7440.000000	610.440031	653.792380	8021.059397
7430.000000	680.707853	648.841103	11399.615440
7420.000000	751.712324	751.995713	13307.216192
7410.000000	752.568824	773.755623	15744.183850
7400.000000	767.848886	788.874407	19646.836407
7390.000000	761.630260	715.189652	20516.992958
7380.000000	772.165035	842.091473	21039.426217
7370.000000	750.437594	768.865767	9921.951814
7360.000000	713.275489	717.425260	6986.622809
7350.000000	719.955069	740.437873	18886.235240
7340.000000	595.595616	627.270841	18735.384874
7330.000000	665.833367	676.601968	11722.380251
7320.000000	717.584378	721.524845	16728.886916
7310.000000	735.905660	729.405136	13226.863679
7300.000000	721.847548	750.092376	13938.683321
7290.000000	724.433237	726.878827	15266.893991
7280.000000	708.252369	736.704787	17408.785009
7270.000000	781.519940	813.063033	18512.212309
7260.000000	724.675695	784.759563	15220.007645
7250.000000	710.564213	772.304114	11981.735541
7240.000000	648.993141	649.355395	16504.277644
7230.000000	572.926110	550.610297	12819.541203
7220.000000	674.539781	711.348094	21437.620470
7210.000000	579.736342	621.622205	15941.907391
7200.000000	578.982034	549.541449	27742.974817
7190.000000	591.575127	616.564893	25376.774668
7180.000000	555.271858	493.692031	14974.131690
7170.000000	668.137022	643.741950	13520.583196
7160.000000	580.646253	584.870386	17636.231427
7150.000000	529.697094	540.932913	26443.057963
7140.000000	574.951032	548.998777	17485.394634
7130.000000	575.818141	599.016760	19170.798314
7120.000000	497.462695	512.668847	27831.743411
7110.000000	586.049769	528.778633	13411.769187
7100.000000	536.287327	518.633940	18905.125791
7090.000000	556.248424	505.579922	19117.631932
7080.000000	492.526826	468.397145	21020.127703
7070.000000	549.372588	555.474855	16294.013372
7060.000000	509.195958	505.437220	23605.242566
7050.000000	491.899560	518.912620	15309.015548
7040.000000	481.131409	504.912510	6754.434936
7030.000000	511.519991	527.322268	11958.866450
7020.000000	425.510481	388.108220	12608.302092
7010.000000	460.640570	432.330962	12159.866325
7000.000000	404.424361	435.208806	10168.091498
6990.000000	481.336983	487.018581	17401.923951
6980.000000	440.265071	440.523129	8609.789704
6970.000000	446.826673	418.674476	11751.594228
6960.000000	450.477319	399.541045	15456.528170
6950.000000	479.785292	486.426242	20770.461001
6940.000000	436.786000	410.235124	12906.251098
6930.000000	485.092487	489.442419	12374.719271
6920.000000	445.330419	414.371751	11757.231067
6910.000000	442.576581	431.201126	12817.197006
6900.000000	462.058442	463.457527	11134.029407
6890.000000	390.540994	402.885885	18884.859721
6880.000000	386.421548	391.641009	13550.689999
6870.000000	401.040752	391.775129	11648.264320
6860.000000	450.531914	492.170612	11084.073114
6850.000000	452.839849	445.139586	11212.225244
6840.000000	434.506722	455.582961	17599.460064
6830.000000	450.304350	467.838454	10054.873213
6820.000000	475.689872	491.586355	10975.423615
6810.000000	432.397141	466.153522	11521.256437
6800.000000	421.216112	415.678288	9349.188968
6790.000000	450.510241	413.316358	10890.760913
6780.000000	365.954516	354.436581	7739.522650
6770.000000	415.141968	408.616788	8843.974345
6760.000000	466.915886	437.681935	8027.527812
6750.000000	401.359371	400.951858	10732.206882
6740.000000	437.998467	417.632001	11950.683492
6730.000000	475.899288	465.455480	12645.519472
6720.000000	482.957455	501.140225	3886.942991
6710.000000	414.357248	387.703287	8486.921912
6700.000000	446.054471	419.324514	3941.769096
6690.000000	437.138568	439.221177	8673.191803
6680.000000	403.164253	402.037584	8700.033559
6670.000000	415.940392	432.775844	10200.489364
6660.000000	446.143024	452.829388	9400.061481
6650.000000	422.662395	375.022480	10947.084910
6640.000000	438.889270	441.457062	7085.114478
6630.000000	462.171360	477.952768	7014.707916
6620.000000	446.156124	411.155049	11657.722664
6610.000000	469.973736	418.658321	10062.414213
6600.000000	473.954640	450.723799	6912.170866
6590.000000	458.119253	480.196291	6511.272654
6580.000000	453.770309	444.376953	10078.671679
6570.000000	448.546426	419.341339	9400.122461
6560.000000	431.570975	438.735284	3500.134905
6550.000000	453.647665	453.138794	6665.675224
6540.000000	452.470871	421.907949	10087.240210
6530.000000	485.974890	447.401321	5768.970971
6520.000000	475.079390	477.341960	8483.321306
6510.000000	500.444223	488.168884	6177.069221
6500.000000	514.499890	558.834725	6053.860248
6490.000000	513.930979	529.649867	6517.977990
6480.000000	534.326267	520.991217	4758.613688
6470.000000	476.903858	472.456976	7453.851676
6460.000000	520.805358	516.429652	5701.502165
6450.000000	503.247531	495.190180	9649.868650
6440.000000	533.737363	520.948385	7350.007909
6430.000000	487.366263	458.998519	8216.598452
6420.000000	549.668858	554.008250	12596.640348
6410.000000	567.238588	573.959145	9849.085880
6400.000000	568.998641	588.551254	8369.290472
6390.000000	595.264498	585.466261	4990.142925
6380.000000	538.960656	534.624273	14893.532301
6370.000000	580.214856	571.375897	7112.962056
6360.000000	509.342991	472.860351	11921.113433
6350.000000	621.182149	625.184142	11168.816950
6340.000000	601.564555	635.964301	8749.533841
6330.000000	632.350188	609.265182	3763.036269
6320.000000	606.434268	571.772049	9687.744711
6310.000000	676.601331	711.813182	9968.012445
6300.000000	661.767812	681.632776	12972.475682
6290.000000	671.850689	682.092742	6398.117571
6280.000000	716.441342	718.888192	8647.187933
6270.000000	684.407077	664.779727	8453.173689
6260.000000	791.295260	791.027824	7929.943821
6250.000000	722.639471	678.444105	12949.608597
6240.000000	651.865561	661.281429	10346.212184
6230.000000	709.863649	669.191537	11189.912913
6220.000000	647.124112	648.140534	5905.074093
6210.000000	665.236107	610.275816	12329.188560
6200.000000	710.526459	717.286114	22201.898325
6190.000000	705.580360	722.776371	8658.452542
6180.000000	741.636316	719.981326	10594.862610
6170.000000	745.929243	747.733187	29037.042402
6160.000000	850.013963	830.397063	16889.167518
6150.000000	716.077176	725.083329	12081.225867
6140.000000	701.449105	688.867857	11480.585010
6130.000000	782.392958	885.726960	12953.289378
6120.000000	739.069668	719.497875	11017.943627
6110.000000	768.876271	716.353179	27723.306875
6100.000000	779.615164	676.658685	17955.542529
6090.000000	837.481406	832.723420	14734.853037
6080.000000	735.572514	727.171155	17671.006540
6070.000000	788.178861	718.254678	21204.442809
6060.000000	803.541951	879.870891	7478.481959
6050.000000	837.207806	824.916285	15636.589830
6040.000000	845.184594	844.789653	25896.027488
6030.000000	897.229324	844.424655	8972.052024
6020.000000	735.709668	811.715787	19315.225415
6010.000000	856.526001	793.049076	13816.284823
6000.000000	831.468804	897.869020	16080.769843
5990.000000	791.527300	893.784276	9482.240089
5980.000000	770.298338	721.278853	20097.643089
5970.000000	886.929170	888.881930	20076.499297
5960.000000	740.807825	760.326749	17213.731560
5950.000000	847.229463	882.715000	16054.094138
5940.000000	820.924022	710.626737	28871.060091
5930.000000	869.948062	858.722017	14271.445933
5920.000000	866.626554	839.601036	16962.551444
5910.000000	825.632323	821.335353	13693.318809
5900.000000	939.506599	890.015573	19337.973981
5890.000000	845.128837	885.003974	13154.066267
5880.000000	842.222023	802.965194	16990.220527
