

# Backwards, large steps
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value


# 
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value


# 
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value


# 
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value


# 
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
10000.000000	0.482489	0.428562	133901.711651
9950.000000	0.431285	0.407576	123617.091625
9900.000000	0.414969	0.370136	115658.921069
9850.000000	0.551831	0.483105	148904.922916
9800.000000	0.477852	0.416428	131660.402026
9750.000000	0.490215	0.439664	139693.882815
9700.000000	0.488817	0.440270	133563.734198
9650.000000	0.482946	0.424970	136426.377988
9600.000000	0.545165	0.497637	147203.570988
9550.000000	0.494971	0.452559	135385.116045
9500.000000	0.458713	0.431469	127291.740665
9450.000000	0.502163	0.452853	143967.391564
9400.000000	0.440984	0.386720	124336.722299
9350.000000	0.544863	0.486429	153412.246392
9300.000000	0.460792	0.407599	132051.787856
9250.000000	0.512745	0.454264	146393.781218
9200.000000	0.500506	0.439791	138917.631126
9150.000000	0.507832	0.455330	141141.351125
9100.000000	0.585177	0.522216	165003.166121
9050.000000	0.499664	0.437622	139863.929355
9000.000000	0.611145	0.535330	168252.094339
8950.000000	0.542483	0.477273	148681.865654
8900.000000	0.653282	0.578443	177773.256652
8850.000000	0.591329	0.525289	164311.116985
8800.000000	0.666604	0.592938	182665.860535
8750.000000	0.686254	0.601128	188993.062446
8700.000000	0.695635	0.610267	185372.667495
8650.000000	0.701640	0.618758	190533.915111
8600.000000	0.644938	0.561413	182435.992475
8550.000000	0.808967	0.710469	221421.147685
8500.000000	0.708269	0.612878	188765.150991
8450.000000	0.792623	0.680407	213480.142920
8400.000000	0.732946	0.651826	200672.539090
8350.000000	0.772409	0.683465	214545.094808
8300.000000	0.803101	0.731754	217584.210116
8250.000000	0.726457	0.635806	201298.878482
8200.000000	0.798544	0.721984	220850.089130
8150.000000	0.791344	0.706221	210010.725493
8100.000000	0.833208	0.733067	231123.763529
8050.000000	0.690461	0.608226	193467.349715
8000.000000	0.759204	0.688589	211941.336737
7950.000000	0.824633	0.720441	216168.881445
7900.000000	0.852538	0.753296	232851.262926
7850.000000	0.675431	0.599052	188448.533374
7800.000000	0.729877	0.638172	208304.127803
7750.000000	0.640222	0.568639	178873.643343
7700.000000	0.710943	0.625143	198466.191448
7650.000000	0.599545	0.547116	171269.259377
7600.000000	0.628684	0.553163	170214.390539
7550.000000	0.611366	0.532581	172747.987931
7500.000000	0.591834	0.519943	160646.248465
7450.000000	0.643317	0.561168	176742.421380
7400.000000	0.543637	0.475122	153948.273123
7350.000000	0.533024	0.469935	146142.873626
7300.000000	0.628760	0.555139	165819.906127
7250.000000	0.497020	0.428456	133106.903150
7200.000000	0.572942	0.510405	161800.665357
7150.000000	0.505093	0.447073	140504.550206
7100.000000	0.514077	0.468076	142211.090562
7050.000000	0.499998	0.452738	134685.580581
7000.000000	0.511823	0.457305	138745.714829
6950.000000	0.564828	0.511069	153999.591478
6900.000000	0.477074	0.416025	126134.636483
6850.000000	0.529410	0.475608	150558.899932
6800.000000	0.463286	0.433543	133154.355178
6750.000000	0.579533	0.502801	155486.610530
6700.000000	0.502604	0.439327	135509.496003
6650.000000	0.553091	0.489869	156226.829991
6600.000000	0.599858	0.542260	161276.255510
6550.000000	0.502424	0.456340	140517.654178
6500.000000	0.616773	0.541913	163829.455608
6450.000000	0.577814	0.505240	153317.568074
6400.000000	0.623339	0.563581	169425.495521
6350.000000	0.543027	0.484331	151070.412804
6300.000000	0.635904	0.544015	175585.929182
6250.000000	0.641477	0.558121	176115.930162
6200.000000	0.633456	0.581594	176304.676178
6150.000000	0.671524	0.577250	181554.782530
6100.000000	0.697633	0.592917	188505.898517
6050.000000	0.683387	0.592725	188776.138392
6000.000000	0.668457	0.606385	189131.493800
5950.000000	0.712415	0.642374	199145.547512
5900.000000	0.760728	0.688209	214763.130424
5850.000000	0.681242	0.581456	183180.784329
5800.000000	0.706399	0.617329	199445.975479
5750.000000	0.633843	0.564254	183084.505428
