

# Power from HP enabled, -140dBm signal
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
7800.000000	648.949815	638.434749	108470.659005
7790.000000	634.741472	629.018654	340685.249414
7780.000000	601.342163	624.820295	109610.049453
7770.000000	571.388889	567.708825	130555.710501
7760.000000	668.574825	666.575787	319587.130769
7750.000000	648.643464	745.879007	258245.778770
7740.000000	566.974400	579.565926	173148.997216
7730.000000	610.154024	617.250533	237171.206842
7720.000000	608.573465	613.751001	220940.084654
7710.000000	641.228925	620.638618	195042.371419
7700.000000	593.480791	579.804280	330087.592158
7690.000000	598.339033	564.287804	394941.978459
7680.000000	674.506349	723.979064	130014.426483
7670.000000	588.034405	543.007763	116812.308983
7660.000000	595.019616	601.653333	315624.182560
7650.000000	532.797750	585.254893	336192.466327
7640.000000	596.778585	537.741648	184667.747853
7630.000000	567.513992	613.798797	353398.136579
7620.000000	659.620585	682.084380	218395.920244
7610.000000	603.461085	572.544858	171356.082489
7600.000000	650.768356	692.897615	323834.158929
7590.000000	681.394250	653.648572	336073.122289
7580.000000	653.480958	608.257539	116727.436806
7570.000000	649.185031	637.239104	139514.028717
7560.000000	631.069296	629.726447	253952.827820
7550.000000	588.133091	562.258832	163122.592141
7540.000000	662.727432	600.879871	228687.277269
7530.000000	620.472894	566.915559	324174.112131
7520.000000	618.383917	678.207989	120863.666047
7510.000000	712.218280	723.364828	183210.868902
7500.000000	701.694079	694.335737	342205.569259
7490.000000	671.776941	676.229191	193622.789803
7480.000000	755.172720	736.820745	409184.091386
7470.000000	741.988458	737.758148	325044.850584
7460.000000	711.741474	671.687353	276698.427856
7450.000000	699.277112	656.425111	367399.504003
7440.000000	747.297775	711.573533	137787.384650
7430.000000	703.829793	705.941627	127154.150527
7420.000000	689.681034	628.312726	345047.065203
7410.000000	759.853092	742.124917	135446.641966
7400.000000	752.156799	760.209279	373246.910137
7390.000000	844.603391	809.458096	313678.222284
7380.000000	775.950686	822.701341	186061.347559
7370.000000	695.267283	701.583636	205296.666959
7360.000000	734.633828	677.494670	245157.333094
7350.000000	717.220004	777.092557	118223.261161
7340.000000	644.370092	669.354020	292198.429500
7330.000000	676.583660	715.680019	121295.843207
7320.000000	695.414824	681.517099	285341.258403
7310.000000	735.247039	807.690271	188355.382413
7300.000000	719.433740	645.930027	123704.226624
7290.000000	772.601236	747.960864	204970.274410
7280.000000	676.903146	646.357829	167609.207150
7270.000000	679.159781	664.803789	92742.131402
7260.000000	688.694928	633.393290	313987.243037
7250.000000	663.396628	693.679788	353523.989719
7240.000000	630.116842	582.910539	123787.170102
7230.000000	577.595067	542.196255	97387.313309
7220.000000	654.996655	652.822635	379384.754938
7210.000000	704.474959	667.643243	157096.539225
7200.000000	616.889105	616.990542	305024.627866
7190.000000	577.865358	649.497678	396740.413848
7180.000000	653.648088	582.269026	154975.661581
7170.000000	655.413172	601.117006	327790.887161
7160.000000	676.095441	673.954176	89680.721329
7150.000000	631.433906	575.533562	196898.289919
7140.000000	610.305281	582.231578	170727.581685
7130.000000	624.490393	645.182208	131535.248676
7120.000000	555.166325	504.009551	160188.943935
7110.000000	508.507221	505.802636	110060.948053
7100.000000	611.306066	580.069523	132185.631450
7090.000000	576.756951	566.281396	47024.183135
7080.000000	546.403192	560.519156	201281.433256
7070.000000	532.121897	545.454776	155312.897151
7060.000000	534.976941	514.824433	93620.053536
7050.000000	548.461775	611.652829	149453.544778
7040.000000	501.804838	480.505108	72875.048137
7030.000000	542.448460	587.491548	169128.829732
7020.000000	446.873301	455.031466	129610.851785
7010.000000	491.861866	458.842187	221507.141094
7000.000000	506.052119	507.300673	96221.123401
6990.000000	445.910934	412.714575	170957.222868
6980.000000	468.103687	488.751351	199850.457299
6970.000000	442.084460	394.866897	171373.396913
6960.000000	461.373582	461.132154	197818.076556
6950.000000	486.461375	470.020644	251703.987188
6940.000000	451.248484	533.700568	132684.020004
6930.000000	451.727352	451.060713	78419.495909
6920.000000	446.232027	456.970617	246695.528483
6910.000000	420.880397	418.484378	228903.225921
6900.000000	423.185486	406.348892	70076.507774
6890.000000	430.599562	438.706922	94795.363537
6880.000000	419.373415	390.894632	244550.617371
6870.000000	435.818216	414.773588	195614.737287
6860.000000	461.021851	457.859108	117582.862537
6850.000000	455.901480	447.837216	215924.818863
6840.000000	422.404247	408.375041	124546.008481
6830.000000	442.522805	465.910233	105253.570098
6820.000000	471.584016	443.169247	257508.063246
6810.000000	403.947931	426.239794	281302.938773
6800.000000	400.184371	393.287942	112776.658994
6790.000000	429.016895	407.015856	139718.401347
6780.000000	382.072470	353.390775	175268.420541
6770.000000	407.721837	404.586885	99373.738817
6760.000000	390.030158	363.849298	284469.083923
6750.000000	422.703313	374.473540	215311.138045
6740.000000	426.587414	432.685325	138261.119853
6730.000000	478.281639	491.847010	284006.843890
6720.000000	438.965511	428.831710	147281.627975
6710.000000	463.146164	463.136241	163163.776517
6700.000000	406.747052	417.839807	257793.694032
6690.000000	472.648965	465.589279	289763.118126
6680.000000	433.675130	462.400026	124160.057187
6670.000000	431.666205	475.895838	258125.272683
6660.000000	419.764485	393.262985	131720.645596
6650.000000	452.942519	456.270968	282499.989868
6640.000000	492.013922	470.738454	125452.155627
6630.000000	431.638352	464.546278	155797.686987
6620.000000	442.566534	435.879937	225988.029211
6610.000000	431.659390	541.536203	239664.250481
6600.000000	429.654057	466.379977	168353.912515
6590.000000	464.439354	424.519036	119013.825360
6580.000000	453.083497	456.389869	285324.891102
6570.000000	468.683278	442.112338	104503.040864
6560.000000	480.444594	506.781837	248346.106400
6550.000000	423.224220	405.193449	188108.238254
6540.000000	499.846771	514.661117	261534.203608
6530.000000	429.019013	414.256909	244767.689288
6520.000000	489.337504	525.279031	165074.612604
6510.000000	459.487176	506.768025	202743.627244
6500.000000	502.023073	491.491255	189042.034280
6490.000000	551.999161	503.204963	116984.682299
6480.000000	511.042771	529.109685	261451.246271
6470.000000	475.993325	469.297874	251697.378834
6460.000000	411.806430	420.991937	100872.275265
6450.000000	516.546381	488.253742	111765.301742
6440.000000	517.801993	497.206827	290283.038464
6430.000000	541.568629	526.451912	189692.648525
6420.000000	529.323722	507.541012	260028.831366
6410.000000	618.165510	620.503404	244610.277046
6400.000000	578.821958	568.535915	224893.272952
6390.000000	607.717165	620.852414	285204.489846
6380.000000	680.508646	674.047265	223314.451627
6370.000000	563.231361	562.271421	209974.984969
6360.000000	572.784693	637.736525	262556.900152
6350.000000	589.950480	564.577005	268542.792750
6340.000000	611.594966	579.826048	209744.672827
6330.000000	674.196170	685.000261	208320.603568
6320.000000	642.648265	547.980263	327280.471444
6310.000000	647.006087	611.376526	392450.547194
6300.000000	635.100604	607.916879	235366.922652
6290.000000	717.877139	738.263571	333105.393487
6280.000000	727.963489	700.028322	266121.935386
6270.000000	718.416664	692.428202	324339.062216
6260.000000	651.893502	680.542091	283824.303541
6250.000000	670.485910	656.061300	331581.419206
6240.000000	677.069008	696.852842	340978.435792
6230.000000	708.043113	773.552283	213436.662797
6220.000000	669.748709	706.179851	355085.161237
6210.000000	686.565560	683.616766	424833.518845
6200.000000	751.835353	756.885667	211286.625567
6190.000000	740.292569	761.067172	188511.701738
6180.000000	728.999097	697.442598	276720.134477
6170.000000	779.106384	781.371468	436315.529335
6160.000000	748.854257	746.275696	251361.578145
6150.000000	687.004786	761.426821	243444.910178
6140.000000	796.124529	799.296240	482762.489759
6130.000000	858.470063	863.622090	259230.098590
6120.000000	774.750410	787.965252	259453.101369
6110.000000	804.767091	776.465818	453254.678089
6100.000000	836.079159	813.117907	262546.329383
6090.000000	864.723050	928.969278	300519.377249
6080.000000	841.682137	801.087922	89445.977048
6070.000000	789.119123	734.619768	112593.820542
6060.000000	752.239048	791.087788	84750.610495
6050.000000	701.817968	635.274165	213229.458892
6040.000000	787.180154	729.833249	220367.235669
6030.000000	753.253450	785.847092	216130.451277
6020.000000	767.253812	703.182893	254581.701929
6010.000000	881.994877	905.946722	60798.261026
6000.000000	804.669214	724.716853	135584.685449
5990.000000	813.401747	788.207121	253700.212874
5980.000000	852.184238	794.165471	204131.931093
5970.000000	819.031193	854.014689	294134.805473
5960.000000	799.670816	986.108667	122517.257477
5950.000000	829.750598	876.504937	402355.724434
5940.000000	799.445759	853.928492	337092.688556
5930.000000	779.179205	804.329591	363574.153451
5920.000000	806.732778	808.882369	311636.404730
5910.000000	802.823742	743.180388	265051.716532
5900.000000	921.501909	938.067370	246859.288299
5890.000000	860.843197	916.900472	213288.159628
5880.000000	912.798557	923.718073	130010.805433
5870.000000	864.804687	888.284804	231249.489448
5860.000000	807.022193	815.024317	329240.727065
5850.000000	870.544309	829.152771	429863.927247
5840.000000	802.240232	793.419779	137071.135000
5830.000000	905.205241	888.591285	275085.653833
5820.000000	845.499951	826.092831	355018.268048
5810.000000	865.001477	821.606382	89789.700882
5800.000000	839.755255	897.270363	184584.991008
5790.000000	857.008336	843.870703	375536.320194
5780.000000	881.443642	778.608027	176831.766925
5770.000000	883.695782	862.354887	431517.361738
5760.000000	872.803401	835.163009	150039.352287
5750.000000	851.402803	851.549602	228988.228234
5740.000000	906.036505	950.037636	198919.003456
5730.000000	870.448879	817.307237	225205.774938
5720.000000	918.331268	958.376344	462891.150556
5710.000000	883.482968	803.916510	213721.595808
5700.000000	910.773431	903.937161	404141.696237
5690.000000	870.092057	801.836195	482058.054372
5680.000000	912.218620	906.621853	491390.642929
5670.000000	931.466150	991.245103	684689.030174
5660.000000	929.632369	885.453663	541167.755805
5650.000000	863.893877	835.728709	592887.631551
5640.000000	820.405824	811.537040	338360.224994
5630.000000	994.838737	1019.129636	456514.058172
5620.000000	966.326019	973.908111	325415.618154
5610.000000	922.844509	906.898658	473030.728126
5600.000000	948.550501	862.057865	504174.632310
5590.000000	902.610121	977.476945	322884.867003
5580.000000	940.345152	953.141357	377561.783868
5570.000000	987.530773	1041.786465	183212.498286
5560.000000	961.613888	962.730646	290939.668457
5550.000000	991.741282	962.209225	413446.820104
5540.000000	925.741089	915.229972	509062.057790
5530.000000	918.821453	908.364245	402159.277011
5520.000000	1028.228094	1060.956031	365307.373800
5510.000000	914.278073	922.561858	503894.796167
5500.000000	941.068457	942.775878	220902.516127
5490.000000	918.235335	847.326946	391790.602518
5480.000000	877.102117	764.998729	520355.757900
5470.000000	964.700666	986.963200	322124.059418
5460.000000	932.134714	839.441169	542051.620911
5450.000000	956.009078	971.944852	769967.384510
5440.000000	939.995198	924.645044	501408.697348
5430.000000	857.560934	880.132973	910020.279220
5420.000000	922.223914	859.115400	700692.590400
5410.000000	968.759191	937.318327	509894.680500
5400.000000	957.430311	909.548632	726427.224444
5390.000000	838.063224	895.191470	512828.337999
5380.000000	838.997660	793.841687	473477.940695
5370.000000	800.345070	819.328456	658879.154204
5360.000000	893.763840	861.760027	612519.338225
5350.000000	858.050081	915.845318	480283.773020
5340.000000	866.337915	937.372669	356151.109266
5330.000000	861.078551	803.164813	345025.056436
5320.000000	887.461574	831.444470	671232.396082
5310.000000	886.154566	795.307616	1126500.660990
5300.000000	885.428464	848.294216	755476.774392
5290.000000	810.147634	847.212848	999877.862499
5280.000000	828.231973	881.215398	898727.332371
5270.000000	797.974126	781.954628	381808.104999
5260.000000	823.730130	810.236856	577721.966399
5250.000000	910.447035	905.632140	422779.867180
5240.000000	837.530967	778.042649	384251.662194
5230.000000	910.322743	849.321287	378144.533956
5220.000000	853.927970	813.149607	423231.328699
5210.000000	777.108634	775.491481	421484.631388
5200.000000	938.917539	971.158980	354573.843617
5190.000000	876.422050	1055.608485	823290.095853
5180.000000	852.700111	852.283047	548668.768440
5170.000000	789.274344	852.163270	828531.705718
5160.000000	876.400899	791.467653	505326.256093
5150.000000	950.022764	904.104604	747613.736698
5140.000000	948.221734	951.886028	644076.275014
5130.000000	1014.566929	967.517471	806299.056582
5120.000000	921.960674	938.388184	457195.382673
5110.000000	1029.820933	1080.389033	490723.717571
5100.000000	1092.855902	1062.650453	772670.662849
5090.000000	959.921768	952.903653	773502.977932
5080.000000	979.544592	911.816564	477004.866773
5070.000000	1011.241164	992.865634	363173.299460
5060.000000	905.945335	875.775533	544590.776295
5050.000000	816.128562	825.462390	198441.270660
5040.000000	1021.201261	1038.388441	196920.269784
5030.000000	1014.042882	1014.578098	147318.445371
5020.000000	1069.573109	1022.854875	32811.916958
5010.000000	982.911148	1000.109072	137821.528533
5000.000000	1026.789991	1081.833534	60680.115679
