

# Exactly the same as the above
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
7800.000000	651.118815	687.048472	290772.073087
7790.000000	622.181930	604.962661	187418.256466
7780.000000	561.123643	560.185614	181797.993052
7770.000000	624.882252	596.808639	123897.866696
7760.000000	647.731658	651.302456	331546.604968
7750.000000	627.960047	636.021556	363980.363432
7740.000000	566.381967	543.822282	128148.434089
7730.000000	642.685758	659.214318	107558.789916
7720.000000	533.237897	477.924966	349141.495612
7710.000000	631.722978	587.231908	316138.677453
7700.000000	623.440140	596.948023	183720.100748
7690.000000	616.580918	617.620402	301999.436129
7680.000000	698.424863	732.335130	197018.091079
7670.000000	669.622424	705.347566	145798.482903
7660.000000	640.355105	568.709733	298662.768580
7650.000000	613.552073	570.385990	324384.992986
7640.000000	607.139077	608.095629	114921.849762
7630.000000	613.198171	638.875629	173015.396118
7620.000000	604.117530	611.544722	369829.499078
7610.000000	584.137107	555.103475	354774.376131
7600.000000	643.857405	657.304139	194027.599523
7590.000000	600.682519	550.956012	258303.426221
7580.000000	680.634300	667.847322	279562.792699
7570.000000	638.949430	612.932999	149663.839446
7560.000000	686.125546	665.362974	273836.868258
7550.000000	562.386509	581.443460	275742.855178
7540.000000	597.615886	582.064895	101971.485385
7530.000000	600.579349	588.850938	223142.921708
7520.000000	734.176914	749.853354	226627.663739
7510.000000	682.240044	687.776124	155325.461898
7500.000000	740.841720	783.832948	379977.624793
7490.000000	709.893677	698.526595	345490.701502
7480.000000	729.545256	641.590573	311954.148350
7470.000000	749.506973	708.898163	458920.347995
7460.000000	722.366957	768.639134	168909.494353
7450.000000	672.775936	719.011462	203523.458703
7440.000000	738.167695	795.963358	265968.137973
7430.000000	707.745748	674.827643	122026.943436
7420.000000	700.312784	680.390975	378107.256785
7410.000000	795.709131	826.922969	153641.164529
7400.000000	761.921465	717.465765	297784.152454
7390.000000	853.830603	836.044887	263502.965581
7380.000000	809.922706	854.429152	296158.176594
7370.000000	782.576778	715.198134	111546.449643
7360.000000	714.758684	714.664789	313221.519466
7350.000000	837.886067	879.517468	233117.644667
7340.000000	678.718514	679.984004	192069.297655
7330.000000	695.418010	714.636680	97717.835034
7320.000000	728.855896	696.046544	330278.707491
7310.000000	738.630919	699.871989	311631.829765
7300.000000	716.071430	700.728530	76846.525137
7290.000000	719.787274	749.417495	120181.183208
7280.000000	693.483799	627.676048	234561.330276
7270.000000	744.750002	668.718397	176888.100169
7260.000000	711.471890	717.605652	156122.808533
7250.000000	646.296148	683.622123	168578.104536
7240.000000	656.673106	676.035714	274505.762003
7230.000000	652.623996	690.744677	155049.439661
7220.000000	668.072628	678.472373	316292.700905
7210.000000	701.116990	696.699136	270622.115827
7200.000000	673.662752	696.777018	222237.480405
7190.000000	704.129009	707.360029	220226.702519
7180.000000	605.643593	614.986872	292945.962009
7170.000000	624.381041	636.332833	180354.167007
7160.000000	601.523905	602.120793	238667.560361
7150.000000	587.028579	567.201494	322098.693598
7140.000000	579.247324	581.552218	89912.765957
