

# Now at 21kHz offset
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
6100.000000	921.436705	1028.577948	237341.263504


# 22kHz offset
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
8000.000000	731.116675	723.345437	177002.566245
7990.000000	625.970426	656.113952	379172.285880
7980.000000	714.360572	692.026198	324368.540404
7970.000000	650.372312	615.135995	211434.476649
7960.000000	684.467080	678.919068	199452.129857
7950.000000	686.020148	643.653694	312150.708744
7940.000000	688.312473	726.786111	283860.850055
7930.000000	652.853521	590.191205	209987.409822
7920.000000	719.412699	709.753655	187096.504832
7910.000000	703.003280	689.519246	318857.802197
7900.000000	720.156226	711.592688	256835.937417
7890.000000	687.155232	650.935102	155432.102203
7880.000000	731.111769	699.836114	190814.520216
7870.000000	669.814012	643.021251	261204.395793
7860.000000	672.068220	654.872545	215691.676377
7850.000000	691.390493	668.468589	147028.865201
7840.000000	636.920382	614.864351	168519.474623
7830.000000	596.806931	625.433343	165251.744410
7820.000000	638.662498	633.902615	137206.883792
7810.000000	635.983560	621.627735	166916.695334
7800.000000	664.077306	700.396281	194611.448679
7790.000000	695.276199	698.421677	165306.098280
7780.000000	584.486656	601.826735	217772.069400
7770.000000	609.634473	577.367065	245395.955862
7760.000000	620.883627	619.966072	302878.319119
7750.000000	591.338030	591.973546	226214.544767
7740.000000	632.825995	620.739371	212112.413274
7730.000000	626.161768	602.426194	212659.103654
7720.000000	653.846476	634.810109	234184.085372
7710.000000	693.260776	716.252725	271244.258061
7700.000000	642.425270	669.006718	289833.516910
7690.000000	609.747362	611.983078	274852.208573
7680.000000	643.703200	673.703164	210880.728588
7670.000000	669.029894	701.968159	201116.177110
7660.000000	607.688717	575.326834	178270.026000
7650.000000	606.211292	611.499831	253596.871976
7640.000000	614.288314	591.093751	255598.621091
7630.000000	582.065881	577.535748	290164.857190
7620.000000	609.664958	654.686187	268764.183155
7610.000000	668.022238	720.903937	198896.196231
7600.000000	655.861539	644.719254	208705.775284
7590.000000	678.932085	721.209180	241725.913160
7580.000000	677.415679	693.833892	282229.728295
7570.000000	613.692548	558.690931	260663.385489
7560.000000	628.007895	625.783942	225587.320535
7550.000000	615.801929	655.745362	148560.596328
7540.000000	604.241670	563.265198	144268.045631
7530.000000	638.941739	588.939542	162937.327701
7520.000000	689.030362	668.021810	199556.488569
7510.000000	694.037567	695.350485	253831.349456
7500.000000	730.001360	735.310738	349109.070557
7490.000000	721.645345	731.771595	344516.175865
7480.000000	753.547381	735.241878	369513.636802
7470.000000	750.964260	693.775641	397611.353229
7460.000000	731.061974	795.845725	282400.722820
7450.000000	710.664054	686.237997	256957.758026
7440.000000	694.214852	637.466112	189375.145912
7430.000000	735.918003	814.914945	169342.377073
7420.000000	773.278702	739.304290	164917.899240
7410.000000	789.561358	800.588421	203857.883513
7400.000000	782.539133	777.096919	185254.501954
7390.000000	767.732173	705.948441	263893.512364
7380.000000	821.459973	807.897592	289299.926477
7370.000000	831.763454	803.824576	258859.864736
7360.000000	700.322392	751.964938	234644.915976
7350.000000	731.187323	716.421480	203675.000849
7340.000000	736.759707	718.436081	161536.514042
7330.000000	776.839952	817.991635	214996.488702
7320.000000	684.629273	757.553065	243258.058901
