

# +7dBm on sample, all other normal
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
8000.000000	753.311127	781.908130	50518339.788307
7990.000000	736.113521	694.653398	60663853.364394
7980.000000	737.834414	722.940278	57740406.426784
7970.000000	704.186532	670.836479	47107072.782082
7960.000000	671.320867	637.697025	25668869.308568
7950.000000	783.021059	743.718018	7874748.424919
7940.000000	781.385298	820.917862	24610213.914474
7930.000000	870.128805	901.374585	66382320.901405
7920.000000	758.262658	815.336583	84609641.446646
7910.000000	760.122452	818.087485	81803101.964473
7900.000000	821.902217	856.575591	115269374.532671
7890.000000	822.409746	729.498533	126570679.109193
7880.000000	762.162021	820.382866	110380381.129028
7870.000000	708.485446	729.160844	75467134.277136
7860.000000	704.744308	679.993298	35438587.710831
7850.000000	753.997517	756.434762	10850364.036904
7840.000000	682.455216	677.237197	16660273.841404
7830.000000	715.437015	707.363523	42150693.505801
7820.000000	877.152399	796.233127	87801454.680831
7810.000000	843.211949	865.579578	110988013.984097
7800.000000	807.177784	819.220911	103403083.302614
7790.000000	795.618279	785.956206	120502259.679099
7780.000000	804.347031	808.787754	122125877.187401
7770.000000	735.465482	826.189015	81215122.989302
7760.000000	763.119605	759.094237	109568078.978932
7750.000000	722.286665	731.686337	215554597.305587
7740.000000	691.064808	716.463249	262239069.227134
7730.000000	708.403360	727.222892	256319283.981425
7720.000000	697.009753	669.442961	226962177.259667
7710.000000	743.910625	727.658343	118964710.817016
7700.000000	728.840944	775.082606	86743231.349722
7690.000000	719.063898	692.997594	101835947.120426
7680.000000	712.374878	780.247859	151352747.049213
7670.000000	758.658705	791.542596	123433557.984324
7660.000000	707.324719	711.009879	129358081.193453
7650.000000	760.281015	797.959765	165989780.114775
7640.000000	690.108190	773.648213	136185105.274726
7630.000000	730.997932	742.289491	74578393.022520
7620.000000	757.748696	685.259878	127613591.543761
7610.000000	735.112355	791.949575	165427190.886690
7600.000000	790.565558	765.722029	158161391.569150
7590.000000	829.966852	837.611109	152959088.982979
7580.000000	807.145409	800.945111	138458964.884950
7570.000000	752.819436	727.291199	95108658.892020
7560.000000	673.632366	645.708645	69850527.421798
7550.000000	696.155824	648.717099	110361215.150585
7540.000000	761.652709	819.952045	132259349.542783
7530.000000	852.373940	823.052096	152812535.843377
7520.000000	859.430169	854.228327	143238276.741785
7510.000000	769.972484	792.160685	110656202.112939
7500.000000	786.151579	827.786822	60634213.194439
7490.000000	840.144751	871.035051	12386509.763869
7480.000000	693.592063	671.057809	2705627.879253
7470.000000	829.311432	860.396845	13006876.318226
7460.000000	773.104140	780.484797	23505522.339666
7450.000000	889.377295	881.629157	71058004.920274
7440.000000	812.323086	785.739536	56562247.951726
7430.000000	803.366178	815.765310	35054170.643465
7420.000000	782.193530	753.674432	47638236.546407
7410.000000	838.338707	829.471921	71261570.989018
7400.000000	873.912774	872.169928	93732165.869045
7390.000000	959.769220	939.746540	126318928.245360
7380.000000	871.214649	897.870521	145306456.696886
7370.000000	973.076690	883.374395	186579367.093848
7360.000000	854.412346	880.572637	160419054.710839
7350.000000	959.400021	924.192739	120701072.286255
7340.000000	817.178475	824.014695	117049829.482849
7330.000000	819.270877	817.628132	119982154.372603
7320.000000	850.577103	778.447533	181425869.390497
7310.000000	958.503290	944.827791	190536384.969837
7300.000000	819.521820	817.496352	195806469.783365
7290.000000	958.464337	880.340717	170046688.846258
7280.000000	965.006567	952.266188	148595819.353529
7270.000000	1088.509611	1073.009571	87606400.812881
7260.000000	762.908582	778.362607	43892922.785012
7250.000000	741.745653	723.641567	15013873.846675
7240.000000	762.806185	759.270265	5724924.674995
7230.000000	766.106071	734.944356	26736816.087028
7220.000000	787.539913	766.669676	78413009.269951
7210.000000	908.277998	1081.759202	192343828.209280
7200.000000	1008.925269	1129.724061	238173514.197126
7190.000000	926.777064	1141.567224	230187929.464999
7180.000000	920.172450	1085.306764	152453497.935879
7170.000000	927.987656	945.764910	113923618.051530
7160.000000	900.972357	975.387709	89160366.205240
7150.000000	921.009398	1035.980871	160130565.809441
7140.000000	818.973837	932.188033	219922691.982950
7130.000000	787.939221	908.908802	218948097.760406
7120.000000	852.147617	859.912237	204004446.981533
7110.000000	775.929524	686.353285	202489723.420509
7100.000000	755.821953	804.725503	212238577.936325
7090.000000	699.375762	701.542990	245835091.632784
7080.000000	697.284761	692.173288	280720285.210279
7070.000000	710.619009	751.655322	316804867.242668
7060.000000	662.434602	720.160931	340117275.492881
7050.000000	619.721020	672.855479	353409098.528502
7040.000000	603.844508	770.239747	360724434.458581
7030.000000	607.403273	710.190879	360865589.988926
7020.000000	685.260390	879.876233	350198253.645111
7010.000000	644.011891	788.299162	333512219.223242
7000.000000	608.029825	711.812430	321145367.738266
6990.000000	593.658303	685.851140	336364877.982038
6980.000000	664.815198	707.036488	348659836.424362
6970.000000	615.066782	754.902323	357089213.998097
6960.000000	648.989701	783.793752	354790198.773098
6950.000000	614.023547	688.728595	327531784.382672
6940.000000	605.873068	615.250295	297996897.083041
6930.000000	677.871910	728.692758	285559121.464473
6920.000000	692.715423	810.038373	313897139.217138
6910.000000	683.571732	869.786698	336679833.494449
6900.000000	597.404075	729.429455	350914318.647062
6890.000000	616.642297	654.335799	351179574.558211
6880.000000	605.657260	735.029210	351361531.167187
