

# Output power disabled
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
8000.000000	699.586535	711.487531	4957.399652
7990.000000	754.582615	785.495003	3455.231643
7980.000000	724.333722	709.424630	6889.462800
7970.000000	721.321391	740.279632	4099.086006
7960.000000	666.551060	671.676218	4386.620523
7950.000000	700.397759	708.466321	6987.267866
7940.000000	693.069085	725.492247	4528.184637
7930.000000	716.030147	696.528510	4065.634013
7920.000000	747.633028	732.788022	3315.345818
7910.000000	718.990217	665.590404	7204.892994
7900.000000	753.741070	784.034951	9678.061766
7890.000000	728.462189	748.529031	5224.580204
7880.000000	693.867872	681.247716	3990.531468
7870.000000	626.963412	583.495763	8415.681110
7860.000000	685.620367	738.048463	3096.212569
7850.000000	679.312541	672.696183	5070.176535
7840.000000	701.014441	723.847009	6213.128790
7830.000000	684.118689	695.019236	1844.134787
7820.000000	669.563338	643.210163	6193.532121
7810.000000	737.394155	807.389229	4817.155758
7800.000000	705.304481	711.565291	2852.401223
7790.000000	640.895214	641.562972	2983.063316
7780.000000	670.221718	648.869088	2258.335242
7770.000000	691.156873	781.524772	3035.794411
7760.000000	661.020217	612.365937	5265.841962
7750.000000	645.327077	661.366878	8223.568406
7740.000000	639.146629	623.993458	5212.951635
7730.000000	633.259223	625.021361	3460.918966
7720.000000	634.548436	650.342329	3253.841711
7710.000000	714.328430	715.211378	4440.206285
7700.000000	651.492465	699.804978	5826.910411
7690.000000	635.056795	649.088798	7697.740909
7680.000000	666.322325	620.616613	3481.832326
7670.000000	620.475710	636.379278	2283.539916
7660.000000	621.749584	587.057761	6396.868040
7650.000000	644.542010	676.930225	5468.382824
7640.000000	590.943009	547.123644	4029.815467
7630.000000	611.160843	587.798008	3933.405723
7620.000000	625.140382	626.895017	3427.553570
7610.000000	660.071545	658.864653	3865.999595
7600.000000	673.420053	692.347668	3338.820186
7590.000000	685.211613	618.676473	4424.399669
7580.000000	714.001904	695.886607	7705.927709
7570.000000	736.987716	680.026123	3021.746783
7560.000000	631.777527	597.256660	4143.117851
7550.000000	669.870956	643.757704	2891.483145
7540.000000	733.944289	776.261205	3850.084354
7530.000000	664.528170	608.226374	2848.006300
7520.000000	698.559818	661.145322	2857.429935
7510.000000	757.120338	749.703079	3018.781629
7500.000000	729.366222	735.606424	5461.867377
7490.000000	741.352023	747.378756	4416.911514
7480.000000	762.622701	783.721919	4709.085679
7470.000000	781.348767	714.516463	5737.934436
7460.000000	755.467478	726.238902	5803.446104
7450.000000	832.426146	785.381045	5928.623299
7440.000000	733.337012	735.517796	4379.999541
7430.000000	768.902312	706.506873	4284.661863
7420.000000	743.842260	732.148613	3040.491534
7410.000000	782.912614	740.729871	3560.505532
7400.000000	791.181568	854.181286	3362.266383
7390.000000	748.494550	739.639385	5749.109080
7380.000000	777.270004	775.361772	4031.258509
7370.000000	821.228576	796.593199	3610.507214
7360.000000	802.526402	815.885585	3028.929175
7350.000000	742.101211	717.060383	3157.432234
7340.000000	732.611834	857.585287	5037.248963
7330.000000	694.683520	679.678199	14545.248776
7320.000000	798.097075	779.207145	13135.954089
7310.000000	834.646150	897.820674	5343.792975
7300.000000	790.670641	864.713113	4434.924786
7290.000000	769.650919	891.191373	4823.301429
7280.000000	785.326383	776.019137	3911.180148
7270.000000	783.576379	830.483177	5392.197901
7260.000000	728.143572	805.242263	7316.253120
7250.000000	739.722013	694.368111	4588.618625
7240.000000	638.186771	612.497858	7704.871909
7230.000000	716.686120	703.903779	3721.803042
7220.000000	677.178202	627.702504	4085.656588
7210.000000	683.945483	682.374155	6065.666334
7200.000000	709.011048	739.469816	4999.660759
7190.000000	725.379080	637.364011	5975.993131
7180.000000	674.231557	674.481079	3850.097828
7170.000000	644.344338	640.022774	3506.255347
7160.000000	628.436850	605.703062	5020.548920
7150.000000	657.204548	605.349157	4709.559503
7140.000000	697.043445	703.025330	3712.411690
7130.000000	666.233449	625.244506	3039.258595
7120.000000	615.660018	606.998883	5930.762766
7110.000000	550.528637	504.545018	3706.988994
7100.000000	536.342801	522.929764	9907.781035
7090.000000	580.020948	533.520079	6351.825899
7080.000000	603.075917	690.845212	3051.806278
7070.000000	572.695519	578.324687	3779.443142
7060.000000	511.121675	520.188461	7199.429672
7050.000000	546.630136	518.378609	3687.184529
7040.000000	558.415296	532.513827	2769.703383
7030.000000	496.409898	499.521532	3540.901815
7020.000000	520.485428	493.316246	2827.570417
7010.000000	546.465070	540.114447	3108.197058
7000.000000	493.929499	535.762468	5592.164504
6990.000000	522.883542	538.124152	3817.966501
6980.000000	550.095600	509.642735	4910.071924
6970.000000	519.787851	496.586576	5563.032191
6960.000000	534.792891	569.965906	2234.474059
6950.000000	554.503667	571.826012	2266.920315
6940.000000	557.853066	590.874459	2716.118138
6930.000000	462.014402	465.810686	2082.538388
6920.000000	512.742639	467.615120	2085.949070
6910.000000	492.142018	482.370394	2471.702716
6900.000000	494.438019	478.294037	3645.764773
6890.000000	444.524455	393.915839	5411.763196
6880.000000	450.197181	421.831652	4453.348817
6870.000000	437.918874	422.333196	3205.489096
6860.000000	490.768631	492.342824	7378.042448
6850.000000	468.570418	456.468537	2425.437044
6840.000000	493.371317	443.934523	4049.913004
6830.000000	481.793923	559.493041	5761.566264
6820.000000	470.174889	446.552098	3378.890413
6810.000000	443.363968	410.027618	1975.554263
6800.000000	488.926500	498.920496	2727.090189
6790.000000	460.908264	450.936665	1880.631977
6780.000000	459.614595	484.614593	2407.500355
6770.000000	436.947394	406.747035	2333.518552
6760.000000	476.791103	493.642428	2106.259025
6750.000000	461.131575	459.534749	2236.652228
6740.000000	433.314508	413.806348	4637.849088
6730.000000	490.824743	473.148053	1535.934003
6720.000000	486.573450	462.713258	2321.650632
6710.000000	468.081068	490.769322	4610.489443
6700.000000	508.736752	461.180823	1758.079072
6690.000000	495.907623	467.498253	2196.123923
6680.000000	430.048462	407.921535	2581.873407
6670.000000	465.590786	483.664801	2277.835928
6660.000000	462.529236	453.306634	3966.684420
6650.000000	477.323950	496.037073	2881.235089
6640.000000	469.622464	454.929302	3342.314404
6630.000000	537.003346	556.556136	2643.666147
6620.000000	505.978145	466.850608	5545.846665
6610.000000	469.764360	484.405578	3270.119131
6600.000000	506.905601	483.163388	1673.811344
6590.000000	539.540974	552.581914	1960.933227
6580.000000	523.716435	583.219351	2507.793421
6570.000000	444.741397	432.984026	3424.605179
6560.000000	466.794258	466.063190	2328.489614
6550.000000	481.547008	463.250156	3021.144813
6540.000000	455.827982	439.775506	2587.949665
6530.000000	502.199479	504.591234	3183.572210
6520.000000	534.372874	532.652915	3155.986583
6510.000000	503.263713	526.636193	3192.220467
6500.000000	537.695375	528.708807	2862.339872
6490.000000	582.296358	573.534566	1796.186630
6480.000000	540.145151	509.875132	2937.428999
6470.000000	551.789793	591.517581	2280.197267
6460.000000	562.084963	514.845484	2797.117735
6450.000000	568.820415	520.377890	2739.798017
6440.000000	595.504372	581.291081	2975.453401
6430.000000	595.545376	593.611140	2591.289071
6420.000000	592.464090	651.700554	2361.029618
6410.000000	585.425286	590.046657	5146.668868
6400.000000	645.009318	607.855568	4069.711822
6390.000000	630.318671	581.868327	3247.506895
6380.000000	604.284358	592.400573	3469.517331
6370.000000	653.184222	624.897416	3616.609643
6360.000000	625.172991	577.443610	3416.779800
6350.000000	598.426599	577.730348	3092.558858
6340.000000	613.215689	637.836176	3336.310131
6330.000000	667.242249	647.608229	4160.449149
6320.000000	660.248481	662.454290	3437.196795
6310.000000	683.110906	646.258858	4151.313392
6300.000000	703.479635	699.550877	3096.222842
6290.000000	714.197890	708.620413	4493.872014
6280.000000	750.392943	754.142339	2895.151902
6270.000000	765.588278	924.187492	5151.029249
6260.000000	733.567256	735.360037	3494.009776
6250.000000	728.108963	716.686413	4129.371042
6240.000000	682.341158	727.904295	4585.599175
