

# -140dBm signal at preamp, cables switched
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
8000.000000	717.246271	680.413690	329780.404426
7990.000000	656.607700	646.064635	149849.180867
7980.000000	626.921534	693.709888	107694.846399
7970.000000	667.513101	659.191480	156230.233878
7960.000000	636.442105	663.270874	89748.354291
7950.000000	680.069022	678.479330	116687.062231
7940.000000	704.929954	694.707259	154631.252681
7930.000000	668.098353	681.690955	205801.089938
7920.000000	646.534274	620.757717	173915.831152
7910.000000	718.619924	725.873008	175579.527469
7900.000000	729.596578	743.799624	243550.801990
7890.000000	723.056768	741.376367	231153.683240
7880.000000	671.061188	669.149465	198607.929371
7870.000000	627.918869	635.262456	150200.839086
7860.000000	641.366812	678.443094	207271.206591
7850.000000	624.881243	613.613381	280868.493096
7840.000000	562.635322	576.307514	214112.922266
7830.000000	695.534953	722.107696	99782.342554
7820.000000	709.022875	794.528286	119572.653961
7810.000000	645.764791	637.075336	108669.954209
7800.000000	670.527936	687.305465	121143.412382
7790.000000	683.615158	695.911449	84159.594806
7780.000000	648.947709	667.718409	121030.463178
7770.000000	563.430534	571.943935	185886.570236
7760.000000	574.696625	534.610272	175369.600448
7750.000000	580.565967	563.899445	140533.552646
7740.000000	567.230973	594.069579	127486.100661
7730.000000	608.694380	603.489788	116764.695596
7720.000000	637.430752	632.057743	147196.108776
7710.000000	589.933019	551.717478	180126.478742
7700.000000	634.543993	618.195869	168856.767408
7690.000000	662.469732	666.539724	129441.413288
7680.000000	603.522148	573.276232	92861.533847
7670.000000	686.321826	759.232763	163632.701088
7660.000000	676.465077	640.410693	224179.020511
7650.000000	688.118141	734.807590	272869.662076
7640.000000	610.922808	647.308770	202269.579566
7630.000000	734.758266	689.938276	191975.661283
7620.000000	640.837180	664.032698	258140.440477
7610.000000	651.404531	612.470219	426944.267466
7600.000000	600.138043	562.356898	416870.053516
7590.000000	777.060751	713.882797	413207.518375
7580.000000	644.558963	693.252028	312094.869755
7570.000000	667.145116	666.283201	175246.396402
7560.000000	655.558717	722.373031	121772.689746
7550.000000	628.122697	585.272458	151325.192012
7540.000000	654.810631	623.954934	145475.447315
7530.000000	685.826811	676.595201	189416.115242
7520.000000	757.963199	761.768273	209423.632874
7510.000000	725.686209	738.110427	256546.645109
7500.000000	736.784858	656.811556	304511.714603
7490.000000	772.104263	800.126476	267714.244326
7480.000000	823.591752	933.637319	251259.095392
7470.000000	674.015267	657.019569	206046.563261
7460.000000	705.051707	666.424786	222464.812676
7450.000000	699.813739	693.462182	320866.071571
7440.000000	772.441808	751.553451	246225.691499
7430.000000	789.513944	741.322666	252932.672985
7420.000000	868.018051	865.515514	104358.665360
7410.000000	801.486078	706.026504	122344.225537
7400.000000	843.591290	915.094302	138295.301524
7390.000000	794.925698	788.634162	263084.194904
7380.000000	914.809755	851.221074	341068.888934
7370.000000	757.641205	783.408390	459278.055277
7360.000000	825.822075	737.933124	647655.832873
7350.000000	745.791735	744.192510	505071.638743
7340.000000	685.132383	694.295449	412846.079890
7330.000000	784.692603	765.305735	385464.589234
7320.000000	818.022373	815.212894	356645.678820
7310.000000	823.165135	807.546374	349842.354021
7300.000000	808.850218	878.969663	213177.130026
7290.000000	808.095568	856.658968	229942.588334
7280.000000	784.247968	721.773664	277846.286023
7270.000000	810.555323	746.992928	264011.151440
7260.000000	817.266580	837.863503	249515.640418
7250.000000	721.603755	749.385211	118544.637368
7240.000000	742.762310	874.978404	92367.297912
7230.000000	747.621742	759.258152	171670.804358
7220.000000	754.935309	699.680906	121937.729141
7210.000000	696.258463	672.643319	61043.600218
7200.000000	722.381807	708.282255	68083.454594
7190.000000	710.720964	692.471541	43236.726875
7180.000000	752.706243	698.842820	129387.493344
7170.000000	710.497575	693.559979	207055.952939
7160.000000	662.684011	668.894441	249310.200328
7150.000000	709.168642	675.100138	373248.867240
7140.000000	670.251038	647.366826	461042.203195
7130.000000	677.157896	656.953102	641369.038553
7120.000000	595.234780	596.547706	621641.265288
7110.000000	568.580916	539.006576	495315.244033
7100.000000	649.552070	599.760126	518364.021163
7090.000000	581.370325	608.615476	478245.797601
7080.000000	609.279340	581.365724	343162.943031
7070.000000	711.946549	700.432827	402581.498486
7060.000000	563.347817	529.714611	372945.606106
7050.000000	554.234385	579.203098	361637.438394
7040.000000	509.531944	572.592473	239809.429784
7030.000000	530.355937	553.140686	306640.742507
7020.000000	546.895958	590.177427	348309.587166
7010.000000	551.268137	565.832871	314421.627486
7000.000000	513.452678	476.484219	310876.330839
6990.000000	571.906754	527.326440	171872.714712
6980.000000	496.215843	481.553432	137759.286147
6970.000000	523.786208	506.304933	167804.711840
6960.000000	446.520274	485.908548	153426.954819
6950.000000	484.287095	469.264397	71979.681869
6940.000000	479.476673	461.898603	45434.853844
6930.000000	500.158921	549.235038	45527.885082
6920.000000	467.363601	436.777029	57844.731844
6910.000000	459.701097	462.063764	63410.707940
6900.000000	456.128180	440.188597	49060.067469
6890.000000	459.213151	467.133722	33277.753014
6880.000000	473.821221	450.916592	32284.662292
6870.000000	461.921593	415.653936	85989.289043
6860.000000	462.933687	436.361030	146138.365206
6850.000000	454.828316	475.118745	109795.629335
6840.000000	494.477830	495.972003	112455.613826
6830.000000	527.563697	582.578485	217494.860981
6820.000000	460.836290	455.734467	271911.259204
6810.000000	447.090516	441.564678	389512.148191
6800.000000	409.484365	440.739686	387170.884213
6790.000000	454.335664	499.158239	352524.755350
6780.000000	415.229025	388.269830	279902.204286
6770.000000	426.980649	428.248478	210905.047920
6760.000000	443.132367	412.489947	84326.929580
6750.000000	462.420129	465.749333	35482.325730
6740.000000	444.347390	448.845007	25516.243860
6730.000000	462.538126	497.956085	44041.934294
6720.000000	457.527390	481.122333	43189.378294
6710.000000	440.889203	403.425526	74223.058434
6700.000000	439.573098	447.792806	54335.626352
6690.000000	462.419162	407.501878	75491.302393
6680.000000	422.074766	405.493273	64059.501394
6670.000000	428.884556	429.249371	27319.527942
6660.000000	419.801741	427.383187	24582.477970
6650.000000	470.757129	509.017449	54648.853402
6640.000000	425.507587	425.053688	82804.293220
6630.000000	510.551496	489.162478	77387.241713
6620.000000	498.661673	524.656800	70890.047715
6610.000000	512.698977	530.733286	121814.271587
