

# Same as before
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
8000.000000	717.755618	709.046903	290938.070503
7990.000000	659.662228	663.441830	196148.068852
7980.000000	673.518993	617.394079	171384.439030
7970.000000	728.909389	765.165949	148212.151562
7960.000000	679.870868	638.709758	136470.361534
7950.000000	649.678134	626.984600	60527.824136
7940.000000	760.107392	776.501482	110055.083123
7930.000000	776.621382	715.748649	187763.083583
7920.000000	679.903479	765.955233	180144.732788
7910.000000	639.536839	628.105626	198157.509914
7900.000000	676.404062	669.682157	238653.365303
7890.000000	734.479965	646.403447	217530.300567
7880.000000	711.030612	704.930108	216502.992602
7870.000000	644.315024	639.803158	272739.122696
7860.000000	668.361885	666.186376	340147.768058
7850.000000	677.022587	639.144792	309010.089021
7840.000000	675.318746	670.989158	286449.952830
7830.000000	623.942321	616.323020	200157.286554
7820.000000	606.078613	611.026213	141738.241311
7810.000000	665.907991	616.913841	104674.674471
7800.000000	675.659374	717.635405	64264.613673
7790.000000	575.595699	548.423346	71982.998206
7780.000000	663.849381	670.456295	134387.880902
7770.000000	656.405286	691.809408	69391.035583
7760.000000	513.836298	524.930201	115271.285597
7750.000000	612.760927	629.990638	191668.823387
7740.000000	592.996037	562.568848	273381.879510
7730.000000	566.161287	592.728483	258661.441441
7720.000000	673.611956	705.961088	260309.190948
7710.000000	647.391944	608.958023	153235.566057
7700.000000	605.602340	614.565463	101685.760736
7690.000000	622.435378	653.937877	141195.224206
7680.000000	596.927968	643.350692	197370.129879
7670.000000	666.307395	691.594335	152956.463145
7660.000000	693.803237	699.853192	105149.851491
7650.000000	584.800194	523.628874	167545.709897
7640.000000	624.158646	612.057043	194366.437346
7630.000000	581.913802	553.636157	264215.385580
7620.000000	584.265738	651.371504	370284.840167
7610.000000	668.530187	659.651936	375302.879889
7600.000000	690.698577	717.869553	372154.769077
7590.000000	693.170277	717.259401	317864.936820
7580.000000	663.981430	619.360584	387284.807977
7570.000000	738.330246	644.412768	379522.309445
7560.000000	615.544792	565.260653	270308.708942
7550.000000	640.785093	687.733164	101472.575101
7540.000000	624.496444	690.728619	143380.589234
7530.000000	671.460273	654.336930	180333.240610
7520.000000	696.773838	685.553897	283033.631282
7510.000000	670.840117	718.520476	298711.053253
7500.000000	775.666598	736.500580	318610.610988
7490.000000	826.567272	825.700868	346803.716939
