

# Cables switched and repaired
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
8000.000000	670.812654	640.630335	160033.320708
7990.000000	723.537917	769.355445	252638.753467
7980.000000	592.457057	617.812500	145722.950588
7970.000000	679.566410	650.338467	245607.317249
7960.000000	639.372033	657.401594	271576.208698
7950.000000	690.380192	690.162115	149286.491915
7940.000000	688.423812	728.270517	236510.556945
7930.000000	605.234006	567.596266	259842.049977
7920.000000	679.816207	672.733139	237418.261542
7910.000000	638.402602	598.217968	188403.430592
7900.000000	655.649062	625.724866	249048.301370
7890.000000	657.869476	648.799041	216587.359969
7880.000000	670.665565	658.568393	136555.010799
7870.000000	637.640256	640.417011	174795.455028
7860.000000	609.106835	660.691732	228046.566045
7850.000000	676.960806	652.301237	157937.650356
7840.000000	621.099110	597.899097	174824.784694
7830.000000	618.284914	644.312612	229475.700152
7820.000000	647.319248	634.995832	181344.243969
7810.000000	610.945053	602.767032	216901.876661
7800.000000	589.441795	593.034000	149440.917073
7790.000000	602.874157	601.075594	210961.500522
7780.000000	632.364390	654.761945	158392.687149
7770.000000	630.386651	695.122678	179973.838950
7760.000000	600.606762	559.420585	246133.386666
7750.000000	543.285638	512.248533	211750.454591
7740.000000	588.160453	641.192750	143254.699809
7730.000000	569.431491	549.370343	176331.884676
7720.000000	607.858708	571.542589	269224.762926
7710.000000	637.477733	663.577776	301700.080049
7700.000000	653.385510	651.581485	215221.267782
7690.000000	605.158159	594.581145	163459.720210
7680.000000	612.908253	616.992938	275136.929765
7670.000000	574.242572	579.075429	276292.940889
7660.000000	589.307736	600.496525	211173.254280
7650.000000	574.571917	603.462316	183277.078722
7640.000000	555.973464	512.933909	297378.602556
7630.000000	649.833264	643.141518	259858.239482
7620.000000	572.846229	591.126937	171812.369772
7610.000000	636.142660	645.489800	198109.448258
7600.000000	633.831093	687.434967	300154.180263
7590.000000	644.600458	664.783007	267195.380449
7580.000000	701.459111	704.537678	192838.294623
7570.000000	652.802503	624.901008	194397.883450
7560.000000	597.908024	577.133988	211277.010381
7550.000000	629.770906	698.851913	251756.645205
7540.000000	668.175760	709.747029	245937.876526
7530.000000	667.721479	636.365777	229419.515243
7520.000000	621.891315	604.998438	185125.053714
7510.000000	678.010024	700.339369	219717.178606
7500.000000	577.633443	568.575367	341421.817086
7490.000000	744.503876	728.958228	317226.684516
7480.000000	762.072688	734.526762	252795.955284
7470.000000	731.132137	715.732494	241762.253924
7460.000000	684.898866	666.672911	310217.272900
7450.000000	770.803111	830.094638	327427.077822
7440.000000	728.572278	688.762474	319302.753460
7430.000000	717.451393	668.797953	302429.067120
7420.000000	813.023747	834.542122	274377.279097
7410.000000	747.867285	718.296439	269873.601732
7400.000000	762.305255	724.209145	342842.442259
7390.000000	803.880224	808.602766	327012.216285
7380.000000	762.388027	716.359974	245998.953308
7370.000000	760.093170	762.198141	241651.270695
7360.000000	734.692643	765.814362	310070.248196
7350.000000	751.617902	762.676878	359783.494692
7340.000000	658.964172	585.425807	284322.098397
7330.000000	755.034833	823.237364	333642.571816
7320.000000	722.188560	700.596950	305844.586514
7310.000000	766.566416	741.690053	205712.943542
7300.000000	796.442129	833.326878	237145.177523
7290.000000	742.124616	739.873604	303099.047199
7280.000000	804.989069	841.075063	239203.974812
7270.000000	803.244126	785.160062	326072.123882
7260.000000	694.295206	719.876190	207440.462263
7250.000000	731.159536	794.885589	253634.842864
7240.000000	700.892261	746.315637	181680.866912
7230.000000	650.507672	597.259995	138957.034486
7220.000000	709.882543	762.960516	248865.481527
7210.000000	609.011259	597.033067	162083.610336
7200.000000	650.270204	689.725837	288557.472400
7190.000000	616.135403	613.288427	165965.108317
7180.000000	671.845278	660.158914	258438.543961
7170.000000	692.300715	659.253511	321906.660809
7160.000000	736.306174	699.929235	183853.645337
7150.000000	594.780983	535.010106	140234.644061
7140.000000	638.188061	604.147319	209975.693222
7130.000000	594.787445	587.036474	128711.526956
7120.000000	572.539449	532.739254	168871.589041
7110.000000	558.257845	530.060499	163877.238190
7100.000000	539.384425	520.677626	130657.257940
7090.000000	573.967434	548.453454	213239.174977
7080.000000	573.780221	577.678173	147426.374295
7070.000000	588.091013	598.294624	266186.959202
7060.000000	495.934131	507.048750	186805.711110
7050.000000	557.377481	530.710810	174980.120419
7040.000000	518.374158	540.687668	280516.214523
7030.000000	526.984041	548.978669	216793.563240
7020.000000	525.245862	610.727957	124840.859144
7010.000000	502.766843	521.367568	191898.810071
7000.000000	481.599490	465.812673	161345.152021
6990.000000	480.052252	442.470391	207841.288506
6980.000000	496.712680	506.987620	106618.809839
6970.000000	508.416487	465.585306	131795.228434
6960.000000	447.470710	504.498610	198570.296175
6950.000000	504.805083	516.220500	142630.421525
6940.000000	485.970445	479.150326	104625.148261
6930.000000	514.028554	484.978597	137818.451832
6920.000000	478.498143	468.327486	174870.522079
6910.000000	482.288363	475.852166	153532.663072
6900.000000	415.377103	490.515609	94862.331069
6890.000000	418.618521	417.189607	86495.880629
6880.000000	451.670778	429.407452	175207.412341
6870.000000	448.340505	421.717254	159856.112286
6860.000000	451.495376	484.809999	93603.063986
6850.000000	417.970170	428.645662	124830.444780
6840.000000	450.361894	428.975610	175547.874015
6830.000000	453.836714	450.011036	126062.334946
6820.000000	448.287092	459.374894	107303.796302
6810.000000	439.785980	437.361120	92530.333304
6800.000000	447.682096	454.327361	152573.598493
6790.000000	382.722412	427.698422	123209.770349
6780.000000	474.169948	457.386763	97390.269110
6770.000000	434.339469	412.871988	87682.074292
6760.000000	425.780376	395.723553	151683.112551
6750.000000	419.344802	406.684189	156770.738549
6740.000000	400.561534	440.178727	129336.981133
6730.000000	427.027330	427.150489	109376.760801
6720.000000	441.950953	429.724715	124609.193591
6710.000000	445.980705	443.638202	102792.181205
6700.000000	429.060775	411.992191	123397.123816
6690.000000	435.151152	426.090841	186521.239824
6680.000000	463.539899	469.676440	113506.598055
6670.000000	428.056217	392.666883	212993.509879
6660.000000	414.313183	414.704225	153326.367027
6650.000000	452.014250	450.332681	133864.306214
6640.000000	453.915499	429.501414	155601.613469
6630.000000	488.994926	506.696541	185366.890545
6620.000000	410.703804	374.000061	205856.374916
6610.000000	478.417079	497.743246	146633.715771
6600.000000	454.509904	433.264682	174835.461010
6590.000000	534.823863	530.405437	178644.175930
6580.000000	457.108821	423.319651	145705.623162
6570.000000	425.111529	427.284035	166839.959639
6560.000000	460.358358	432.215718	145643.117193
6550.000000	434.940744	408.874648	199142.735140
6540.000000	509.764285	494.260240	174746.860871
6530.000000	496.505494	537.090026	198320.167957
6520.000000	517.659249	528.112519	155507.979855
6510.000000	492.133939	497.203894	151060.643743
6500.000000	522.513773	526.993341	207657.246370
6490.000000	509.404576	497.080176	159281.663380
6480.000000	482.956084	496.057418	164340.924246
6470.000000	492.345522	566.944449	180390.851284
6460.000000	490.212925	499.807163	197695.229576
6450.000000	530.361278	589.870985	129422.748724
6440.000000	500.420107	481.731961	157828.199873
6430.000000	521.046445	564.423286	164209.134763
6420.000000	635.253918	568.316026	162148.506502
6410.000000	556.440180	567.205020	176019.939089
6400.000000	618.343196	563.278488	234239.609126
6390.000000	572.714560	580.465977	184859.824835
6380.000000	602.327727	633.882544	282082.775268
6370.000000	547.249269	551.827931	207235.823693
6360.000000	552.536426	551.815486	244607.681226
6350.000000	582.793983	532.111737	279613.981031
6340.000000	583.602173	576.869702	346202.926649
6330.000000	656.937433	665.611607	245593.377026
6320.000000	617.605097	613.660278	219222.493339
6310.000000	613.988855	609.336737	253743.684782
6300.000000	593.519580	570.792853	362822.396547
6290.000000	707.169061	742.159321	304948.421234
6280.000000	697.021530	711.063623	294744.387324
6270.000000	655.728578	647.662344	237905.485514
6260.000000	745.610960	738.314678	249422.984412
6250.000000	669.146763	666.644866	216689.496762
6240.000000	676.309491	671.711347	242762.715745
6230.000000	681.006742	656.515425	248562.872534
6220.000000	724.817762	728.524423	290664.663068
6210.000000	707.606708	706.823401	228912.742651
6200.000000	767.785098	774.959833	264344.711937
6190.000000	754.803114	774.200588	306435.188373
6180.000000	772.876844	779.012441	336785.814377
6170.000000	753.461201	758.155332	298708.258159
6160.000000	737.939041	785.783210	238005.472657
6150.000000	747.365306	752.018152	251566.841302
6140.000000	725.798349	733.757764	230317.781904
6130.000000	750.407991	739.203612	191771.545823
6120.000000	755.014267	673.765406	208281.156964
6110.000000	781.256534	751.880881	207244.292841
6100.000000	826.697161	768.321140	217028.322512
6090.000000	851.575150	831.755070	370549.329754
6080.000000	783.689525	776.842596	345899.223790
6070.000000	889.967734	880.703577	405111.843929
6060.000000	731.892945	681.874328	317905.042476
6050.000000	832.735099	807.640495	526392.765612
6040.000000	811.544508	733.728395	571469.725528
6030.000000	783.804843	720.763596	442025.218896
6020.000000	756.655539	820.858662	533931.755264
6010.000000	753.498654	822.827760	457521.729842
6000.000000	800.985340	832.570877	413418.099445
5990.000000	846.637721	914.703678	444616.440993
5980.000000	922.900282	982.887725	504957.317319
5970.000000	835.660849	814.651593	412009.675644
5960.000000	893.961458	880.765675	442534.857069
5950.000000	874.377727	897.990098	478215.635363
5940.000000	887.981938	790.967900	428837.294669
5930.000000	825.057438	825.476255	545807.608274
5920.000000	855.647642	879.918671	413646.960758
5910.000000	857.292874	850.078383	346544.319394
5900.000000	802.052070	866.302913	148055.539636
5890.000000	900.877928	926.131653	212821.110325
5880.000000	795.314961	815.416384	153548.296446
5870.000000	848.553234	787.183987	158884.117660
5860.000000	753.139212	693.005258	139644.841709
5850.000000	826.435190	909.532101	118971.978172
5840.000000	867.475270	844.742706	273734.696262
5830.000000	823.079230	808.288942	212884.963000
5820.000000	913.877532	915.151678	315251.124636
5810.000000	830.552176	801.623799	302178.099863
