

# Photodiode connected, low level signal generator terminated into 20dB att
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
8000.000000	564.872939	616.386422	48949.305811
7990.000000	516.982142	490.960849	17570.940226
7980.000000	521.747862	522.693162	8955.163173
7970.000000	498.159915	460.474849	20171.946669
7960.000000	643.881198	652.129755	15590.914376
7950.000000	582.166275	571.653426	2599.350528
7940.000000	570.918911	595.148831	2155.912091
7930.000000	526.394237	481.205040	15758.113516
7920.000000	636.118970	618.146379	16012.258939
7910.000000	629.593592	607.141193	3523.415536
7900.000000	597.311917	566.582055	6138.220923
7890.000000	675.676396	687.537697	3453.368391
7880.000000	609.218519	699.847313	11147.353869
7870.000000	620.305078	558.606416	8609.915338
7860.000000	595.387873	598.778921	4820.077377
7850.000000	568.648665	556.089956	2926.647520
7840.000000	575.067312	560.851523	4451.111957
7830.000000	597.907968	562.546600	21725.258215
7820.000000	727.636737	716.682303	33576.756110
7810.000000	552.112196	582.864029	19187.227447
7800.000000	610.816877	621.930542	50717.331429
7790.000000	598.053760	627.678120	22677.621047
7780.000000	634.703328	569.458790	20807.447634
7770.000000	591.025669	559.696600	53638.202319
7760.000000	610.844831	653.679807	45247.117480
7750.000000	552.839103	584.701334	37924.585503
7740.000000	591.105528	679.025167	29450.040382
7730.000000	610.102272	519.749765	18613.072949
7720.000000	557.533897	591.833572	17856.817121
7710.000000	573.249398	560.225985	5022.098364
7700.000000	584.711562	565.050290	2376.049367
7690.000000	571.636359	529.931337	3417.743188
7680.000000	565.956357	578.347178	7070.035272
7670.000000	539.696111	542.195348	11738.323357
7660.000000	509.415130	496.193311	17610.776072
7650.000000	514.999225	533.619961	25029.074501
7640.000000	591.896706	589.530976	28194.436761
7630.000000	527.562527	491.731884	16066.564926
7620.000000	537.402194	543.175130	10078.853630
7610.000000	581.851744	515.200558	7839.519618
7600.000000	501.507054	518.523004	4923.010002
7590.000000	572.429915	549.977542	15835.951028
7580.000000	558.350182	562.414195	7157.217042
7570.000000	504.364464	527.938384	2595.638771
7560.000000	561.501819	524.751270	3722.385695
7550.000000	480.507169	469.734424	15007.774522
7540.000000	545.076079	561.122141	33930.299231
7530.000000	540.900451	506.132930	27942.089343
7520.000000	464.263605	455.653511	16072.348619
7510.000000	480.496934	494.963455	5834.058581
7500.000000	544.974660	540.201536	2613.213609
7490.000000	529.757017	520.620522	3420.806016
7480.000000	539.416787	521.575987	13415.048790
7470.000000	562.274053	509.077867	16967.853122
7460.000000	549.422769	536.573299	11835.822505
7450.000000	550.105318	529.065162	8363.635691
7440.000000	473.780373	462.908479	12578.920161
7430.000000	557.483964	619.738282	6135.066742
7420.000000	553.777745	548.161037	1706.726104
7410.000000	539.837834	547.585391	3013.674550
7400.000000	555.491751	515.150526	2995.379558
7390.000000	593.515345	553.159577	15314.867878
7380.000000	573.282159	545.796948	36714.363169
7370.000000	580.816220	547.031684	88371.902949
7360.000000	543.421587	607.289502	139739.193220
7350.000000	518.928289	532.452240	70989.330072
7340.000000	510.104592	472.870066	31557.591003
7330.000000	467.940828	462.707340	56876.282943
7320.000000	577.177649	593.106174	57947.177943
7310.000000	543.182452	516.468187	40693.760073
7300.000000	584.186941	574.931064	52545.383637
7290.000000	621.203529	616.745140	28158.187027
7280.000000	577.531038	517.927736	34144.349148
7270.000000	551.341818	534.863958	25075.160644
7260.000000	593.735380	612.240321	22093.692121
7250.000000	563.446453	575.085718	23569.830759
7240.000000	540.643333	500.039327	4826.680382
7230.000000	494.509972	514.130844	2028.470815
7220.000000	521.095574	530.897395	4205.959866
7210.000000	528.959146	498.175717	11048.870399
7200.000000	564.263431	530.069044	16413.296663
7190.000000	568.584133	577.324285	29075.459757
7180.000000	563.733373	628.617545	14391.450943
7170.000000	545.792893	497.865530	12689.870774
7160.000000	613.813094	567.970214	14738.535236
7150.000000	581.309652	572.748927	3932.675279
7140.000000	520.040471	512.465548	5861.656341
7130.000000	527.402039	466.405150	22707.164481
7120.000000	507.236232	520.298712	32979.242099
7110.000000	510.773681	550.619182	13563.561092
7100.000000	529.588009	559.803010	14211.569835
7090.000000	563.773924	522.728034	87852.451791
7080.000000	534.048359	587.943637	130496.750918
7070.000000	502.240081	493.568065	162819.096336
7060.000000	452.789663	492.696291	235389.421954
7050.000000	478.560278	476.692066	212771.191568
7040.000000	530.085766	578.628656	187469.591642
7030.000000	452.203275	413.725987	72129.308973
7020.000000	464.399999	465.321311	35967.640688
7010.000000	494.243894	546.742796	23255.890121
7000.000000	442.873714	416.551882	37218.585165
6990.000000	445.223206	410.587253	120982.783829
6980.000000	432.785186	437.931505	100284.905419
6970.000000	464.287693	442.695122	69534.093450
6960.000000	425.380826	415.615147	79105.513902
6950.000000	449.396356	430.370568	157289.813144
6940.000000	474.688736	511.742358	117031.498086
6930.000000	419.625991	424.181356	117777.506033
6920.000000	399.095699	428.671087	66359.944564
6910.000000	395.618250	399.170743	45614.978590
6900.000000	371.029651	380.693569	45179.410706
6890.000000	409.130446	409.249154	18328.140859
6880.000000	378.280541	385.677066	26964.848867
6870.000000	379.349982	375.487786	23964.378496
6860.000000	386.649050	431.797578	35276.401570
6850.000000	354.028802	356.436889	17134.810915
6840.000000	378.251566	349.863650	25547.678770
6830.000000	390.242309	393.379191	30125.122624
6820.000000	339.031260	343.638670	26543.119543
6810.000000	395.619721	404.358778	35600.214469
6800.000000	338.688089	342.830588	36456.461475
6790.000000	317.326627	303.075367	42689.638146
6780.000000	316.717943	314.944087	41184.928415
6770.000000	297.809209	284.462622	49687.391541
6760.000000	288.723204	313.108349	42891.090316
6750.000000	310.157312	321.796876	23657.938761
6740.000000	343.409067	333.499086	9681.118003
6730.000000	326.322174	306.545479	11502.803922
6720.000000	327.906826	342.169736	30603.442410
6710.000000	335.842796	311.484575	24359.772631
6700.000000	307.873365	312.074445	42661.429371
6690.000000	270.754839	275.978245	46831.886074
6680.000000	289.265760	254.656057	43905.076705
6670.000000	275.257424	279.303058	60273.434793
6660.000000	300.958439	361.514454	37308.633576
6650.000000	272.577091	260.103496	51025.446641
6640.000000	280.045161	262.129267	27430.025939
6630.000000	306.383690	320.752900	38511.233043
6620.000000	286.404421	289.875823	37217.006119
6610.000000	293.809530	301.056212	14670.127176
6600.000000	281.659679	286.861936	32251.439158
6590.000000	265.841963	257.691635	44781.674951
