

# Low level generator output disabled, rest remained the same
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
8000.000000	576.205243	541.291757	3717.552506
7990.000000	539.342264	598.844595	2582.479156
7980.000000	582.245148	571.024094	5404.787231
7970.000000	544.965135	540.514918	5316.832333
7960.000000	554.907674	586.226313	4294.797622
7950.000000	555.839487	520.020148	7930.315847
7940.000000	583.200442	565.993318	5304.339133
7930.000000	622.289973	685.486620	3714.720230
7920.000000	614.698133	581.859177	2359.183304
7910.000000	629.184914	648.506320	7135.476227
7900.000000	533.411708	534.920032	3831.944066
7890.000000	579.213352	614.803124	4365.761206
7880.000000	615.163451	638.172448	3800.690478
7870.000000	576.324323	600.755819	4559.276003
7860.000000	545.845730	550.731680	3491.089473
7850.000000	586.559960	683.102977	11566.036317
7840.000000	572.101524	583.330234	2306.828823
7830.000000	539.917269	558.101166	4659.222346
7820.000000	618.397136	605.180049	2453.676938
7810.000000	611.999912	688.636049	2591.031304
7800.000000	659.994331	659.614463	4874.858772
7790.000000	604.290262	583.615199	4699.379646
7780.000000	539.517705	529.485170	5102.999165
7770.000000	599.927508	552.878759	3620.262799
7760.000000	550.816808	603.640961	4461.758713
7750.000000	610.702443	593.031777	3620.596602
7740.000000	560.974412	545.595482	4369.130374
7730.000000	634.776667	615.249888	3847.093274
7720.000000	649.858187	703.940350	2371.600891
7710.000000	562.471864	512.995336	3620.665399
7700.000000	602.043980	605.244311	3472.547330
7690.000000	606.593274	656.524860	3692.385799
7680.000000	510.886757	519.147309	6187.418458
7670.000000	576.031980	559.638297	2846.161833
7660.000000	561.783323	523.459806	4454.269827
7650.000000	510.898947	465.111554	4634.162196
7640.000000	517.831946	503.653481	2778.104209
7630.000000	552.217364	581.466758	2433.974177
7620.000000	578.744903	645.288547	4049.903727
7610.000000	572.219341	607.507328	3643.479277
7600.000000	560.445793	589.771972	3996.267859
7590.000000	593.308921	642.863386	2992.758480
7580.000000	624.647461	671.151292	4321.315304
7570.000000	581.587882	596.467153	8483.959491
7560.000000	534.716559	519.520014	5064.595572
7550.000000	516.125851	517.337042	2171.317060
7540.000000	525.504028	489.458115	2913.810497
7530.000000	538.179213	577.988681	3301.294105
7520.000000	514.366245	549.634048	3244.827933
7510.000000	537.711619	569.477880	4542.746968
7500.000000	555.274022	542.423331	2663.522341
7490.000000	508.063716	491.555975	4212.260609
7480.000000	522.429117	535.283970	3931.151771
7470.000000	529.429155	536.076129	3701.772556
7460.000000	557.026257	613.894130	3145.624339
7450.000000	506.761561	472.161828	2093.173150
7440.000000	555.328453	613.588311	5619.106861
7430.000000	558.769613	574.812467	3300.646812
7420.000000	508.006849	482.724805	2358.449702
7410.000000	499.914533	496.442909	3205.703473
7400.000000	534.371664	543.308075	2837.259923
7390.000000	520.655063	531.284144	2264.808272
7380.000000	552.480856	499.516215	3298.798024
7370.000000	527.304953	458.637799	9256.921851
7360.000000	557.342305	603.814746	3913.867753
7350.000000	525.534814	501.019060	2363.985471
7340.000000	497.696292	507.181979	3511.797158
7330.000000	500.322144	469.084905	3660.051206
7320.000000	516.723127	464.125067	4652.567470
7310.000000	542.689115	513.963191	3210.247871
7300.000000	560.751395	587.907820	2398.809902
7290.000000	564.701126	561.041088	4533.026423
7280.000000	554.410830	571.787249	2897.302374
7270.000000	597.127125	585.108105	2660.061107
7260.000000	534.267010	555.610632	5509.475851
7250.000000	552.240029	642.548326	2791.537400
7240.000000	495.484398	518.289821	3935.556641
7230.000000	579.892169	553.012728	3593.670386
7220.000000	623.252831	665.021535	5115.133718
7210.000000	525.724347	529.270984	4873.616356
7200.000000	548.715177	504.241426	2965.879888
7190.000000	550.112609	552.057571	2230.341177
7180.000000	539.138643	515.983803	4629.021354
7170.000000	572.556533	591.668641	2563.945420
7160.000000	487.898251	489.871940	7517.262486
7150.000000	550.307507	522.560167	6022.290360
7140.000000	531.392866	522.918388	3014.418325
7130.000000	507.812100	518.537877	2572.531649
7120.000000	498.973638	494.481313	4751.969627
7110.000000	580.745602	574.060926	2913.257460
7100.000000	456.747093	468.410039	4422.146801
7090.000000	517.166670	520.223091	2923.572962
7080.000000	528.667713	513.943660	4141.337288
7070.000000	489.619419	495.386874	5912.672681
7060.000000	512.798775	532.002751	3290.135873
7050.000000	480.609387	500.022313	4464.322903
7040.000000	497.626771	488.446391	3235.933324
7030.000000	522.233537	534.399519	2078.106157
7020.000000	459.702509	419.790112	5218.464504
7010.000000	464.577731	468.126464	2442.062226
7000.000000	484.862437	498.950864	2482.874931
6990.000000	530.211975	546.065086	3477.947822
6980.000000	476.562213	490.550755	5618.592854
6970.000000	427.833974	453.926324	1958.698742
6960.000000	448.199464	414.344381	1831.323920
6950.000000	510.737599	501.673665	5143.001155
6940.000000	417.062171	419.738327	5660.625397
6930.000000	419.676122	412.817678	3238.076640
6920.000000	411.477838	389.418211	2849.014117
6910.000000	448.257010	445.328982	1877.686682
6900.000000	422.476195	466.176992	2762.066300
6890.000000	474.526223	432.653086	3884.895672
6880.000000	407.462595	391.444167	4594.088662
6870.000000	385.374607	377.411887	3006.430363
6860.000000	379.363372	372.120770	2769.292040
6850.000000	383.126984	425.053555	2611.792081
6840.000000	369.074184	361.194942	3745.515837
6830.000000	391.717170	402.240087	2158.163904
6820.000000	410.439200	444.575399	1685.537435
6810.000000	379.698627	384.161492	3087.890025
6800.000000	388.270895	381.294337	2809.162132
6790.000000	327.898787	288.636929	3935.494953
6780.000000	343.134696	325.356324	2375.309084
6770.000000	313.428060	291.094531	2302.073385
6760.000000	308.022042	308.439774	4653.179165
6750.000000	305.751582	306.744723	2124.140947
6740.000000	332.165196	328.132591	1900.932784
6730.000000	329.608292	306.663162	3138.259335
6720.000000	326.998903	338.900409	1357.542215
6710.000000	328.965501	348.593575	1294.129860
6700.000000	316.086796	299.686799	1717.992200
6690.000000	326.554351	331.527264	3479.153484
6680.000000	307.499992	305.739870	2250.704973
6670.000000	282.077267	282.149433	1171.433779
6660.000000	289.453237	287.635397	2890.503410
6650.000000	274.215463	283.851972	2030.596805
6640.000000	285.904600	315.750646	1404.078758
6630.000000	284.291586	267.647748	1731.149669
6620.000000	285.803206	288.991362	1391.064000
6610.000000	307.426281	313.381188	1688.294241
6600.000000	280.386582	270.272966	1437.813202
6590.000000	301.270421	333.030020	1011.144697
6580.000000	268.166521	264.108306	1292.770373
6570.000000	252.142869	243.626829	2198.191289
6560.000000	261.350954	263.057299	2059.886964
6550.000000	259.476633	259.528005	1671.937817
6540.000000	238.457896	229.007246	1874.060419
6530.000000	288.087297	268.226956	954.620556
6520.000000	297.681436	282.836782	1562.042064
6510.000000	292.324875	289.672841	2037.037488
6500.000000	309.779184	302.464673	1482.503504
6490.000000	288.980902	309.821827	1968.857445
6480.000000	300.842448	317.330889	1629.498644
6470.000000	304.302179	309.339121	2132.299178
6460.000000	324.755697	307.536332	1733.296575
6450.000000	338.906207	349.866159	1131.686108
6440.000000	341.389578	343.560213	1864.206699
6430.000000	313.499006	306.828266	1437.284598
6420.000000	326.838152	352.297183	1559.638720
6410.000000	322.476509	351.088369	2309.891451
6400.000000	359.948237	370.171266	1869.865434
6390.000000	372.459596	350.996611	2150.300858
6380.000000	382.837812	428.459065	1731.721599
6370.000000	426.402068	398.983823	2872.288637
