

# Same as the above (Hittite to HP)
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
9780.000000	12.652445	15.930106	83.890552


# 
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
10000.000000	11.521503	20.885990	77.101687
9999.000000	12.378650	18.040889	123.440346
9998.000000	11.803171	16.363441	71.676863
9997.000000	11.210660	18.196597	43.780558


# 
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
10000.000000	120.214052	128.888964	50375.511876
9999.000000	153.015125	140.969381	56982.294314
9998.000000	135.051705	129.721983	22376.736681
9997.000000	138.889385	113.095317	48289.803743
9996.000000	136.915623	139.653119	60325.949948
9995.000000	137.969122	146.077142	51122.304512
9994.000000	136.814711	147.705475	41254.208239
9993.000000	145.420047	149.685071	61231.079089
9992.000000	140.004920	136.730805	55565.735306
9991.000000	136.294095	128.697523	53290.787273
9990.000000	149.336337	139.980132	62221.255303
9989.000000	149.975611	141.792236	47783.150013
9988.000000	156.461795	161.842602	32816.329684
9987.000000	152.803078	164.044789	39178.241987
9986.000000	133.507786	136.976702	36015.183679
9985.000000	140.674026	132.727541	29363.388642
9984.000000	142.518368	150.482366	53785.605270
9983.000000	129.196713	126.332820	57343.678673
9982.000000	143.813156	156.203921	29672.788159
9981.000000	125.489936	133.327018	35310.541500
9980.000000	115.939740	108.381958	26561.226085
9979.000000	130.980991	138.532368	40044.806277
9978.000000	113.173131	116.190095	59474.115189
9977.000000	128.179930	121.882433	45883.173122
9976.000000	112.318722	107.255769	27220.459410
9975.000000	132.227409	126.945137	27888.400457
9974.000000	137.833885	143.829097	43343.889138
9973.000000	134.085039	128.889824	27498.768329
9972.000000	135.272901	121.766370	34570.380375
9971.000000	129.026817	135.172992	23540.485255
9970.000000	115.465857	106.343736	43260.592509
9969.000000	116.374831	125.094740	35472.626127
9968.000000	127.746583	115.906366	23165.335786
9967.000000	128.169195	124.850176	42382.912440
9966.000000	124.985574	143.378094	38381.166137
9965.000000	126.187061	113.457010	42705.108020
9964.000000	130.931291	117.861191	36648.125488
9963.000000	121.490695	113.574453	18884.732405
9962.000000	113.026831	109.475241	36721.922898
9961.000000	131.972753	129.169072	43869.844020
9960.000000	131.542485	126.682474	36958.113544
9959.000000	120.804279	129.703186	43098.319388
9958.000000	133.672584	131.652963	16509.234009
9957.000000	130.761112	131.641863	27829.013211
9956.000000	123.720920	128.235237	44024.207640
9955.000000	120.954396	121.592940	19553.427763
9954.000000	128.939065	132.290678	39619.129541
9953.000000	122.583381	140.878793	13970.181514
9952.000000	130.626244	141.728108	19405.373659
9951.000000	107.918640	116.371065	14286.876285
9950.000000	108.115605	105.383590	13482.309739
9949.000000	116.051854	119.873153	17469.549162
9948.000000	111.842504	105.771144	15928.670094
9947.000000	112.798100	91.796034	14426.126062
9946.000000	124.636166	114.203725	10749.873418
9945.000000	101.877666	93.037409	17592.943983
9944.000000	109.275710	111.055714	26290.327235
9943.000000	116.495208	117.615700	29089.270941
9942.000000	125.788603	125.665420	22946.877577
9941.000000	110.013130	100.109216	16691.503315
9940.000000	95.729781	75.686693	18539.959627
9939.000000	117.921206	116.597987	21560.789381
9938.000000	117.751478	110.561612	14736.115701
9937.000000	115.652992	118.500310	15605.570166
9936.000000	113.671439	111.596672	15501.740325
9935.000000	105.045470	102.128392	27998.705631
9934.000000	110.209746	125.171532	21843.012786
9933.000000	106.968767	113.052769	13929.582676
9932.000000	118.093475	117.331962	14807.842832
9931.000000	100.728628	89.832508	12945.490800
9930.000000	119.658192	114.472334	17249.410174
9929.000000	110.949890	98.339950	25110.414443
9928.000000	114.031651	119.597630	33088.778769
9927.000000	113.620043	122.766475	25349.514364
9926.000000	117.393684	123.855776	17450.925943
9925.000000	99.864050	105.864298	32875.928988
9924.000000	113.375385	96.288516	30485.429424
9923.000000	103.194627	93.385519	38708.192810
9922.000000	109.980311	105.704693	22157.157752
9921.000000	124.421370	121.996908	20257.869475
9920.000000	116.973280	106.123283	32519.640394
9919.000000	120.153815	114.005930	20535.824175
9918.000000	124.637882	135.415119	31954.814081
9917.000000	95.851435	88.643327	22544.111253
9916.000000	119.611887	116.545460	26981.302242
9915.000000	99.799500	111.374280	19808.453131
9914.000000	117.840404	99.864992	22957.362874
9913.000000	100.807717	93.445752	32222.903411
9912.000000	131.234632	133.434638	22402.871256
9911.000000	123.048612	132.411158	32006.290984
9910.000000	115.150529	113.363137	22579.750940
9909.000000	114.263969	100.915675	30078.288097
9908.000000	130.449310	122.705193	26564.987358
9907.000000	126.969286	139.225206	28553.189705
9906.000000	131.149109	121.534949	35310.245746
9905.000000	127.742454	135.288848	45244.214164
9904.000000	125.950063	128.127273	37114.997129
9903.000000	137.517735	153.118517	32098.266300
9902.000000	131.320964	112.644960	49651.457309
9901.000000	131.392602	125.975859	35274.071530
9900.000000	127.054627	137.447603	32844.495362
9899.000000	142.267153	144.843617	55073.801890
9898.000000	132.982613	107.233585	37549.183695
9897.000000	142.608036	147.459479	49783.991697
9896.000000	153.834447	150.984407	32078.276486
9895.000000	143.836993	157.520847	31144.374487
9894.000000	141.171514	121.176043	56224.621200
9893.000000	152.479136	166.101172	52038.215425
9892.000000	136.734359	151.860307	51771.356453
9891.000000	139.009865	132.069090	45865.322297
9890.000000	147.092969	141.227775	60854.648576
9889.000000	144.953617	147.263695	66952.793217
9888.000000	160.350540	150.580043	42240.103480
9887.000000	140.203056	146.198744	81516.442469
9886.000000	161.756457	188.798965	59063.634989
9885.000000	131.174502	134.462776	69591.360364
9884.000000	165.154342	159.819106	67387.587881
9883.000000	146.654996	146.438931	74040.014353
9882.000000	153.022950	166.309349	44330.613385
9881.000000	148.394963	152.932996	42383.023267
9880.000000	162.691767	164.663683	36352.940421
9879.000000	158.049925	193.203969	59227.205821
9878.000000	174.928251	180.469215	39603.914737
9877.000000	147.521376	144.176046	30298.009975
9876.000000	153.326891	136.953405	35025.044849
9875.000000	153.051940	159.786039	25725.425282
9874.000000	140.881619	140.387214	27642.850680
9873.000000	163.520003	158.075040	28383.268163
9872.000000	175.793840	172.973059	42890.313738
9871.000000	154.967518	164.035813	25491.152232
9870.000000	178.033151	175.444787	14370.256400
9869.000000	167.870436	160.665115	22869.226680
9868.000000	151.561108	152.911575	17811.358670
9867.000000	167.587924	169.793691	27616.304230
9866.000000	163.816950	169.304780	13317.764270
9865.000000	162.908055	158.128055	8250.171714
9864.000000	159.991117	160.674594	14238.675373
9863.000000	149.680054	154.509625	6058.791249
9862.000000	170.588406	154.260475	5921.125028
9861.000000	176.533917	185.943990	17049.907920
9860.000000	171.211446	154.149516	12379.689338
9859.000000	167.836780	166.124722	11786.561558
9858.000000	174.571275	168.962217	11377.020089
9857.000000	185.842302	172.952322	14291.375482
9856.000000	177.379810	181.651563	5957.780733
9855.000000	150.471461	144.334247	1334.424349
9854.000000	173.978143	158.006318	9498.245454
9853.000000	148.032230	148.112905	9144.417277
9852.000000	163.735695	158.025872	5526.580355
9851.000000	180.349253	186.935944	5062.547461
9850.000000	159.863634	156.640435	1413.587883
9849.000000	165.553845	162.349457	8878.988475
9848.000000	185.101474	210.348177	1068.870902
9847.000000	177.564608	178.324690	7403.196848
9846.000000	174.058262	179.708389	2167.275667
9845.000000	175.550558	189.237655	1884.101342
9844.000000	168.170000	188.561514	6622.875371
9843.000000	163.100749	160.775182	7609.938774
9842.000000	174.370048	176.130299	3910.839697
9841.000000	174.253713	160.426035	6466.116156
9840.000000	179.329986	184.320793	4923.787022
9839.000000	185.573863	180.434475	4077.854201
9838.000000	173.294659	167.417961	6117.146301
9837.000000	173.293256	180.073189	929.909284
9836.000000	170.396776	159.668954	1905.484975
