

# Signal gen to lab, sample connected, +7dBm
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
8000.000000	500.311424	463.279685	2059.070193
7990.000000	496.755339	511.089429	3528.627015
7980.000000	525.347759	513.110551	2884.654823
7970.000000	496.408110	517.665307	2739.795033
7960.000000	478.653010	460.837373	3469.489045
7950.000000	534.100418	517.695850	2313.930760
7940.000000	443.389200	477.557428	3074.945822
7930.000000	534.338770	524.826474	2928.391817
7920.000000	537.101200	506.817252	2709.373180
7910.000000	535.292546	513.936075	4383.465497
7900.000000	511.242908	503.657729	3581.031257
7890.000000	531.782980	534.589362	2667.701303
7880.000000	512.415196	548.008192	2633.716722
7870.000000	568.953563	595.488511	2621.953602
7860.000000	551.235423	539.953886	3039.557829
7850.000000	550.463435	643.241019	2583.586382
7840.000000	565.650648	587.252529	1655.962875
7830.000000	546.844150	588.674529	2190.079598
7820.000000	557.756618	523.518834	4117.207544
7810.000000	512.474722	479.725555	3531.940045
7800.000000	505.463265	512.608779	2807.048974
7790.000000	536.213153	514.057106	3286.783813
7780.000000	557.593243	570.340350	2816.714166
7770.000000	507.688717	502.992618	9947.158364
7760.000000	528.316727	504.152364	2419.582428
7750.000000	506.763379	531.603863	2462.558129
7740.000000	504.979627	515.699244	5703.395174
7730.000000	471.002242	470.963463	3179.931051
7720.000000	550.077001	521.480391	4593.352117
7710.000000	513.320760	478.517601	2502.390371
7700.000000	489.371939	533.158638	3384.364688
7690.000000	533.649969	523.415376	2738.719713
7680.000000	606.445160	589.333571	2655.454787
7670.000000	507.190399	472.509406	1657.018613
7660.000000	526.069526	519.510053	2496.859472
7650.000000	474.800554	479.110690	2700.398758
7640.000000	444.036554	412.868579	5735.775001
7630.000000	512.380273	549.686453	6280.604196
7620.000000	494.438823	481.207058	2392.842291
7610.000000	512.855824	514.058630	3222.883683
7600.000000	504.706063	489.663056	1895.415247
7590.000000	485.160460	541.636790	2938.550385
7580.000000	496.450711	536.168303	2429.857449
7570.000000	496.991772	499.194013	5152.045958
7560.000000	489.414875	446.473898	3008.400133
7550.000000	478.676509	478.838419	1154.622483
7540.000000	462.340957	441.620945	2714.628441
7530.000000	486.797032	485.180072	1989.684301
7520.000000	424.666890	474.034043	2692.116643
7510.000000	507.338826	493.391543	2234.807303
7500.000000	510.030875	526.920608	1241.043670
