

# Sample connected, +7dBm, light on photodiode (not on sample), 100uA photocurrent
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
8000.000000	576.539529	589.534189	7397.659552
7990.000000	591.454411	532.535881	3750.562583
7980.000000	544.020455	602.944895	3991.769682
7970.000000	557.493245	571.805189	3751.077342
7960.000000	527.218628	519.015665	3970.207115
7950.000000	518.886591	528.973768	4055.237783
7940.000000	536.618516	550.201084	3295.897059
7930.000000	561.037673	582.241808	2942.031045
7920.000000	590.153345	702.570391	2860.634147
7910.000000	549.054704	535.784070	4839.290701
7900.000000	522.530678	525.444616	2875.122438
7890.000000	587.930359	596.756985	6957.420626
7880.000000	592.093142	601.104920	4053.256203
7870.000000	632.171152	652.579760	3419.784231
7860.000000	579.238537	562.802911	5956.928429
7850.000000	557.718416	579.128492	5445.828797
7840.000000	606.052057	585.467405	2658.094399
7830.000000	520.402330	582.763894	5401.355321
7820.000000	578.175124	537.668441	2920.549171
7810.000000	583.211006	560.668778	3771.067892
7800.000000	655.566673	614.228122	2653.505073
7790.000000	601.472383	619.067211	3981.239330
7780.000000	601.783573	667.704530	4482.586742
7770.000000	557.792653	513.039445	6007.669862
7760.000000	592.129149	650.551429	4188.864304
7750.000000	542.246195	494.757119	8867.059912
7740.000000	510.043845	477.394828	2618.300094
7730.000000	537.598480	536.579341	5960.202452
7720.000000	614.409703	633.202093	2652.779599
7710.000000	592.816804	602.339538	4152.467296
7700.000000	579.914581	584.525769	4121.092856
7690.000000	587.533120	564.373082	6297.531144
7680.000000	513.883987	526.665031	3616.364960
7670.000000	564.725144	515.391294	7389.593171
7660.000000	529.161017	513.980556	3033.510678
7650.000000	532.140958	505.205642	2935.180385
7640.000000	518.039902	556.612840	2605.150381
7630.000000	514.610386	520.920073	4633.529029
7620.000000	501.559971	512.848700	1476.283653
7610.000000	574.945814	592.431327	4107.162837
7600.000000	576.463409	618.186204	4923.426568
7590.000000	520.856635	498.576108	4114.503384
7580.000000	575.603507	582.848435	5332.689350
7570.000000	529.056009	517.107927	2046.386553
7560.000000	482.174735	462.820847	3581.316934
7550.000000	475.265524	543.434289	2556.172453
7540.000000	597.720160	563.713091	7552.100391
7530.000000	517.292336	505.679199	3795.507100
7520.000000	522.648266	563.143924	2932.372304
7510.000000	476.162835	458.012818	4507.441526
