

# Cont of prev
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
3000.000000	226.620407	202.666800	3837.827825
3010.000000	213.980316	211.989785	7358.543359
3020.000000	240.017960	232.601818	7483.717039
3030.000000	216.485618	227.109897	3887.534395
3040.000000	219.456588	262.818309	4540.351509
3050.000000	216.821580	226.961310	6906.147763
3060.000000	225.099514	244.884744	4001.238217
3070.000000	202.135378	210.287755	4707.793576
3080.000000	241.532699	261.342055	2795.349625
3090.000000	207.369344	211.791113	5335.838280
3100.000000	214.964125	209.529318	7010.671372
3110.000000	215.107914	229.626963	6612.475112
3120.000000	226.640823	223.008315	5561.837039
3130.000000	228.003026	224.000716	6485.107070
3140.000000	217.181727	226.152796	5468.794706
3150.000000	201.494638	194.568438	9784.960579
3160.000000	218.793274	219.773718	7612.658999
3170.000000	229.097726	257.060015	2425.581376
3180.000000	209.011385	214.078074	9369.714620
3190.000000	211.825181	219.295623	4892.782134
3200.000000	203.593532	197.330028	8202.460165
3210.000000	191.906884	179.979299	5970.888987
3220.000000	209.584848	222.275922	3260.037148
3230.000000	201.248802	198.203123	7190.013079
3240.000000	221.506794	236.965194	7028.410662
3250.000000	213.695026	212.816986	8667.925235
3260.000000	203.028477	203.313390	7046.170931
3270.000000	198.956969	205.014980	14762.159575
3280.000000	226.519770	226.499460	4789.659935
3290.000000	199.636872	186.965362	16172.149679
3300.000000	229.050774	217.845819	14169.110158
3310.000000	209.048465	213.287832	10843.411678
3320.000000	249.048543	274.299449	8061.863949
3330.000000	227.449373	233.594088	3977.178564
3340.000000	225.238970	202.974496	4355.094537
3350.000000	275.616302	274.138740	4866.734608
3360.000000	259.444304	255.138781	5584.950297
3370.000000	256.432181	262.107532	4231.808250
3380.000000	248.497858	264.043131	3992.200015
3390.000000	253.357113	236.691975	2039.611844
3400.000000	305.571615	315.168934	19140.084023
3410.000000	296.249698	304.701316	2902.929125
3420.000000	320.511332	351.698579	3220.744354
3430.000000	287.677494	297.956413	4669.418077
3440.000000	282.891035	251.052826	3803.109923
3450.000000	328.725349	299.765504	4423.716931
3460.000000	336.323060	356.908962	14392.885427
3470.000000	344.916984	372.333680	5464.108356
3480.000000	356.603847	392.210351	7385.902929
3490.000000	428.160923	533.565797	2226.146702
3500.000000	369.795735	373.417707	9164.483183
3510.000000	430.244398	442.476455	3943.587960
3520.000000	426.754739	450.403508	5344.035657
3530.000000	428.805650	443.124609	23803.961691
3540.000000	434.071366	422.053934	6181.571671
3550.000000	473.306519	446.399492	10203.425709
3560.000000	461.328412	482.673752	14305.204445
3570.000000	499.472448	548.106000	15161.484402
3580.000000	509.468670	568.272316	4380.825877
3590.000000	421.196511	422.344953	6776.753428
3600.000000	460.210270	421.650866	3473.853154
3610.000000	467.813438	505.073896	10958.285127
3620.000000	489.082270	470.679237	14962.908197
3630.000000	473.319602	432.513560	6009.719395
3640.000000	448.415256	499.841226	3569.269496
3650.000000	455.430417	477.463101	2805.068641
3660.000000	424.022996	394.665763	9447.495043
3670.000000	469.333083	444.543109	4003.334706
3680.000000	403.008361	418.653653	8508.773638
3690.000000	413.421966	404.869994	3304.104191
3700.000000	449.346668	446.994337	2150.544003
3710.000000	469.833544	451.615495	13008.417854
3720.000000	431.127408	433.860748	11100.082497
3730.000000	432.084456	446.629504	6117.442468
3740.000000	475.729791	452.921790	6522.263881
3750.000000	428.437128	416.492349	6698.986634
3760.000000	427.922057	427.735189	11113.589244
3770.000000	454.168742	446.034320	12062.613114
3780.000000	428.507503	417.158952	2771.892073
3790.000000	408.173544	410.295829	12562.254963
3800.000000	486.269333	502.682419	1747.458283
3810.000000	454.925988	436.248517	14784.372188
3820.000000	541.883237	519.558522	8396.264853
3830.000000	505.319290	493.262451	10019.846284
3840.000000	518.481057	520.542231	6898.939966
3850.000000	592.848798	598.133503	2618.093776
3860.000000	535.319473	558.706989	5638.632572
3870.000000	545.622190	580.886156	13821.082899
3880.000000	525.867239	519.573822	9643.956793
3890.000000	606.002338	618.836189	2407.135102
