

# Increased the power with 10dB
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
9900.000000	134.137962	134.576946	248959.844906
9900.100000	144.427037	133.569166	292458.146595
9900.200000	135.598842	135.541715	269432.111824
9900.300000	141.713200	146.419187	239036.879543
9900.400000	133.411561	129.968716	297123.310013
9900.500000	142.114385	118.549638	246815.330479
9900.600000	132.289390	131.284855	278643.449469
9900.700000	131.012540	136.342216	278682.452117
9900.800000	146.776172	140.415494	277820.243203
9900.900000	159.981925	137.427816	278168.359154
9901.000000	151.989682	147.523074	295313.337502
9901.100000	142.533532	125.473018	271652.496351
9901.200000	132.336361	129.617135	251548.634449
9901.300000	144.098406	153.187926	282101.561098
9901.400000	131.676132	130.999210	286951.855392
9901.500000	158.564904	148.839221	304567.873078
9901.600000	145.344740	146.698465	286340.929479
9901.700000	131.991693	133.990670	249449.302233
9901.800000	159.379885	152.992792	244849.636557
9901.900000	130.454114	131.113954	281378.150948
9902.000000	137.630806	122.125970	274746.600704
9902.100000	130.709006	137.245957	286417.543643
9902.200000	136.806931	142.316970	272664.023054
9902.300000	134.854310	127.627769	260175.045737
9902.400000	129.686442	131.500135	258063.678953
9902.500000	149.364170	153.369316	256040.619552
9902.600000	140.211516	140.687591	247367.826799
9902.700000	127.397345	120.355200	265999.347558
9902.800000	146.365852	152.726891	245934.154683
9902.900000	136.911013	134.437990	227428.002667
9903.000000	140.453211	129.649127	233918.430174
9903.100000	128.981795	116.292994	270274.204688
9903.200000	145.534001	146.218227	284507.491152
9903.300000	136.243116	127.053514	233825.365917
9903.400000	126.960420	124.286369	248977.472038
9903.500000	126.543743	142.604730	278595.090573
9903.600000	119.732311	115.956539	241584.902002
9903.700000	146.144587	151.512582	289671.656716
9903.800000	143.572214	140.188184	271243.089864
9903.900000	142.121530	154.429903	242724.866103
9904.000000	131.018199	130.424031	232503.889620
9904.100000	137.467753	156.452131	219580.183332
9904.200000	131.955731	129.845992	238916.296106
9904.300000	129.733841	127.381909	241171.882578
9904.400000	118.191136	109.744520	277300.918742
9904.500000	135.657436	156.159130	229106.889859
9904.600000	147.036804	144.846964	246463.994204
9904.700000	125.636363	125.126391	284416.956774
9904.800000	140.159271	137.190843	244994.286344
9904.900000	134.326126	149.066067	257438.060297
9905.000000	135.934035	130.456122	238489.738274
9905.100000	137.977572	132.714275	286941.023471
9905.200000	135.943390	152.791020	257993.322357
9905.300000	139.347841	136.551546	224182.673326
9905.400000	127.708684	131.436943	280762.791827
9905.500000	153.156707	155.898601	247032.931448
9905.600000	130.375141	140.257314	239302.215639
9905.700000	148.942413	140.813041	243285.951498
9905.800000	135.403826	128.206808	251391.331420
9905.900000	117.028591	107.936282	244534.987836
9906.000000	144.806287	147.030240	219915.512733
9906.100000	128.520119	114.304295	261350.138740
9906.200000	151.149622	144.064581	270251.391740
9906.300000	143.664724	151.143085	245779.174499
9906.400000	151.014736	147.454704	284963.091669
9906.500000	132.120483	121.178980	267451.750198
9906.600000	147.971830	149.435548	215404.756258
9906.700000	122.419360	110.472601	258686.294465
9906.800000	122.033928	136.104448	229306.751912
9906.900000	122.649963	120.233885	238587.563824
9907.000000	127.798329	122.691610	266428.932603
9907.100000	133.685406	131.644423	264340.875546
9907.200000	124.322410	117.227993	204289.424933
9907.300000	131.832157	125.091855	261684.397020
9907.400000	123.902228	110.995825	255852.746653
9907.500000	131.101015	134.898684	219094.266339
9907.600000	129.537073	133.344972	253509.095467
9907.700000	124.422179	126.200281	227998.493484
9907.800000	112.220013	109.964209	252616.719692
9907.900000	135.137408	135.854802	255184.149815
9908.000000	145.144065	130.477578	234132.237278
9908.100000	132.917185	127.660625	215261.298017
9908.200000	120.940095	114.864485	227382.627318
9908.300000	113.468493	109.343919	255212.931301
9908.400000	129.665559	126.394246	257567.070571
9908.500000	128.990045	127.861979	205454.372560
9908.600000	132.392820	136.312541	221178.279272
9908.700000	127.702618	137.930338	240888.684324
9908.800000	134.850848	152.516365	220888.379796
9908.900000	117.435729	110.037662	219514.444585
9909.000000	137.426608	130.443413	214539.735553
9909.100000	134.908286	146.008455	206654.307561
9909.200000	117.282914	119.738444	253687.719661
9909.300000	130.691784	127.797985	238092.112389
9909.400000	112.532948	110.161513	263543.654721
9909.500000	126.492052	125.550773	244933.048666
9909.600000	135.689091	141.251124	230885.827296
9909.700000	133.677982	122.149079	254979.113897
9909.800000	118.133587	116.664095	227762.042035
9909.900000	121.734356	125.042803	253217.249786
9910.000000	119.237628	107.228057	250880.648668
9910.100000	137.021113	137.884829	242457.286462
9910.200000	132.900891	138.144353	193572.921923
9910.300000	141.541257	145.433592	258533.856897
9910.400000	139.088775	144.490455	201895.441593
9910.500000	136.502349	145.114462	248998.402798
9910.600000	114.102777	115.602880	223187.075988
9910.700000	146.068599	146.292178	191072.835395
9910.800000	113.919992	122.607019	203178.066093
9910.900000	126.871309	112.791100	199622.775242
9911.000000	118.137362	134.522827	209369.689801
9911.100000	136.517390	146.043756	204557.182346
