

# Mixer correctly powered
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
9900.000000	216.510728	229.607812	454254.091658
9900.100000	195.726790	214.016244	342530.617255
9900.200000	202.331314	208.185907	373241.493308
9900.300000	214.086120	217.113982	360370.933947
9900.400000	207.181607	167.861415	438397.265505
9900.500000	208.698021	224.575796	406453.959745
9900.600000	210.574052	206.381732	355625.570692
9900.700000	194.185182	176.158850	359740.353399
9900.800000	203.322955	211.458251	392764.423778
9900.900000	210.217815	232.750131	432174.455192
9901.000000	211.258789	194.268617	413504.955998
9901.100000	179.457575	158.805278	366091.174746
9901.200000	208.290003	227.244313	410566.926731
9901.300000	213.650065	201.442064	380029.866793
9901.400000	226.461754	208.788921	450964.026652
9901.500000	179.315691	190.504434	363930.127314
9901.600000	212.610843	201.246449	369504.899606
9901.700000	207.423091	194.869411	398516.094049
9901.800000	178.334145	165.182975	432211.575522
9901.900000	207.157338	212.613776	370946.387826
9902.000000	226.757323	218.685467	406389.604387
9902.100000	194.455763	167.665578	406223.350944
9902.200000	211.694907	223.114216	401403.279617
9902.300000	187.192773	175.176710	444024.872463
9902.400000	225.122675	196.655177	430105.661963
9902.500000	206.610396	210.212074	432633.790554
9902.600000	199.266473	210.128916	398669.228832
9902.700000	192.472750	194.616955	431281.357441
9902.800000	198.744759	208.967745	404662.399492
9902.900000	199.023532	181.279144	410310.682007
9903.000000	205.596557	187.020110	341849.102392
9903.100000	213.418718	207.839944	423187.511679
9903.200000	214.311848	218.895963	405333.328553
9903.300000	198.520256	194.914384	423554.841393
9903.400000	208.927694	194.765463	423083.011814
9903.500000	196.022976	181.140513	353507.697632
9903.600000	189.274479	168.342315	353418.661296
9903.700000	187.120510	184.788422	397773.539642
9903.800000	196.109786	194.011389	449145.726155
9903.900000	198.114230	193.768071	357250.066462
9904.000000	199.296955	211.432082	339234.312900
9904.100000	169.035263	175.860429	431821.787763
9904.200000	221.784900	215.580694	371808.357303
9904.300000	177.954161	175.353554	344361.132781
9904.400000	195.634659	198.261017	332828.205669
9904.500000	202.367807	208.762518	386629.480104
9904.600000	217.233402	219.170267	364805.584952
9904.700000	201.656597	196.037490	350968.674996
9904.800000	181.229554	173.222544	341013.483641
9904.900000	166.012194	141.616435	394684.530161
9905.000000	213.923021	213.810271	334085.911775
9905.100000	198.140130	200.644149	340492.334179
9905.200000	196.382954	182.213299	345119.200657
9905.300000	199.708779	206.138555	372366.986912
9905.400000	183.729509	175.080620	359786.862004
9905.500000	173.265125	179.714470	410407.932704
9905.600000	193.480958	178.262480	368121.254530
9905.700000	200.793695	199.168893	413179.562208
9905.800000	199.732638	217.533671	407432.518709
9905.900000	221.976452	204.781931	415156.171476
9906.000000	239.686735	273.221070	358406.776549
9906.100000	209.143040	211.747069	381759.509628
9906.200000	206.156066	197.754247	354856.924174
9906.300000	203.503450	213.752666	356043.920732
9906.400000	179.299304	173.664381	390462.054752
