

# 
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
10000.000000	180.011360	166.053518	423159.975857
9990.000000	180.181907	189.216047	417445.336436
9980.000000	183.368719	203.683713	393468.122017
9970.000000	183.321898	197.162663	392488.327326
9960.000000	180.762846	161.656899	322998.572755
9950.000000	164.631517	160.418780	271989.824567
9940.000000	182.828378	180.717919	302896.033321
9930.000000	203.568917	200.263740	281020.870408
9920.000000	184.083464	179.475908	338876.721840
9910.000000	224.897422	219.742340	339267.597441
9900.000000	199.913119	176.287936	429835.095155
9890.000000	208.372153	193.172730	426987.263832
9880.000000	222.802336	228.145570	396046.808340
9870.000000	198.491413	204.565789	357763.798498
9860.000000	215.971358	221.531665	256630.975253
9850.000000	214.168317	193.599473	260350.026161
9840.000000	224.077438	224.016365	286151.314365
9830.000000	262.252544	264.761848	286474.391116
9820.000000	226.233315	219.778697	390172.306402
9810.000000	248.773700	251.739024	480013.595957
9800.000000	241.177756	240.867583	474224.237999
9790.000000	259.297087	248.898965	550494.704263
9780.000000	237.398964	236.808804	634254.087183
9770.000000	261.780994	260.560327	624023.129081
9760.000000	261.496951	256.299615	643846.108505
9750.000000	270.987790	278.730760	699107.524707
9740.000000	281.517409	285.801600	582115.240848
9730.000000	293.751562	297.394154	583605.490897
9720.000000	311.168341	302.595161	533652.757266
9710.000000	318.288858	320.091961	531516.292247
9700.000000	306.505113	298.109485	578949.690561
9690.000000	291.824151	267.778981	532227.191655
9680.000000	330.063360	318.682236	673818.139868
9670.000000	346.569672	318.065917	720443.893600
9660.000000	375.059418	322.392352	789827.167818
9650.000000	332.285393	320.959331	769309.746100
9640.000000	354.066192	343.794505	1031451.239127
9630.000000	348.513502	366.461836	1154142.804984
9620.000000	330.098877	324.604969	994750.190663
9610.000000	399.825831	420.789103	1097849.843895
9600.000000	336.942880	331.580212	965931.519839
9590.000000	374.621266	379.043479	753011.437378
9580.000000	450.707380	457.663378	800686.761896
9570.000000	428.837481	468.520308	710736.880943
9560.000000	390.673786	387.883975	710530.846540
9550.000000	435.533354	420.926593	884671.749811
9540.000000	402.617281	377.334415	1106023.682207
9530.000000	430.106627	460.145266	1293013.927125
9520.000000	509.620473	492.698833	1497260.445818
9510.000000	456.798203	435.873925	1610968.660897
9500.000000	462.981825	423.337942	1594545.588525
9490.000000	512.301842	508.238620	1529604.974365
9480.000000	446.130344	413.411866	1548665.669498
9470.000000	524.546724	451.210438	1383589.196874
9460.000000	476.675330	429.533221	1262574.059321
9450.000000	511.350837	507.803165	1148689.742642
9440.000000	509.321517	565.179283	952485.385939
9430.000000	567.924200	693.075949	942174.211839
9420.000000	521.707231	524.967567	879580.130664
9410.000000	568.556584	539.623787	797415.086396
9400.000000	553.564590	543.991657	786952.834279
9390.000000	489.726423	487.377704	769474.524327
9380.000000	532.854412	490.768804	1134489.720860
9370.000000	594.068127	562.628156	1201175.882206
9360.000000	621.945326	613.767111	1406538.362733
9350.000000	541.462023	499.044847	1403719.730649
9340.000000	613.914004	589.889646	1388178.035589
9330.000000	493.791356	497.222448	1435614.695203
9320.000000	503.661430	478.622028	1224827.069714
9310.000000	536.546298	611.605456	1249327.945649
9300.000000	560.781201	559.698245	1173477.014807
9290.000000	540.988256	500.690317	1337927.109168
9280.000000	602.699370	545.547738	1199391.810140
9270.000000	506.608803	474.025591	1213397.392133
9260.000000	590.101644	542.011365	1161063.758218
9250.000000	522.807395	511.402881	948315.774521
9240.000000	549.847504	542.104639	857255.483054
9230.000000	571.170979	580.301437	854402.465921
9220.000000	497.968403	498.073345	937153.846615
9210.000000	468.133948	453.700531	1098062.457356
9200.000000	531.307661	519.920807	1250056.064335
9190.000000	491.600644	554.290028	1555315.584741
9180.000000	577.172230	507.092335	1574396.141531
9170.000000	544.484960	536.401899	1643262.290398
9160.000000	498.687134	533.952269	1636679.947707
9150.000000	574.546654	573.743332	1749100.596518
9140.000000	609.855956	627.074347	1853815.538400
9130.000000	520.657003	480.925527	1734468.905135
9120.000000	578.996382	607.171471	1796377.054790
9110.000000	507.519945	456.441030	1678252.292090
9100.000000	541.985173	574.014457	1297663.015986
9090.000000	550.825612	654.330378	1161970.229638
9080.000000	528.883025	527.296075	896108.359060
9070.000000	617.138619	696.697696	742060.884760
9060.000000	538.749178	509.264401	716312.652409
9050.000000	567.416708	546.930558	806758.091170
9040.000000	520.685321	540.508714	1041937.688959
9030.000000	572.688820	587.450875	1159196.328909
9020.000000	466.741058	532.563221	1251036.963028
9010.000000	560.449909	548.270705	1239593.552010
9000.000000	566.124854	594.999963	1197232.037488
8990.000000	515.834925	579.494603	1457578.247762
8980.000000	492.447294	496.084698	1482352.311253
8970.000000	515.325777	511.864128	1511239.925398
8960.000000	501.440037	528.498609	1370233.062025
8950.000000	539.686902	607.965812	1316184.328039
8940.000000	460.261893	560.847131	1338050.786201
8930.000000	590.690834	586.163928	1258710.252401
8920.000000	483.996208	472.086704	1191849.158520
8910.000000	541.877564	491.605225	1026531.376958
8900.000000	485.710214	472.005561	943057.058340
8890.000000	529.313103	557.554855	725560.506269
8880.000000	538.424752	605.369362	921291.794530
8870.000000	536.964381	522.923445	1035007.505350
8860.000000	517.815565	506.905311	1569009.583721
8850.000000	497.850954	490.818982	1843847.339939
8840.000000	460.959260	443.611752	2229384.580516
8830.000000	548.911276	543.965820	2532010.007387
8820.000000	612.301716	597.953217	2660171.184010
8810.000000	474.173674	414.116451	2705345.199986
8800.000000	507.734270	597.263351	2675718.804241
8790.000000	470.793869	478.471284	2301297.804144
8780.000000	559.193009	572.498118	2093936.791992
8770.000000	596.640627	531.391766	1605946.533093
8760.000000	494.074117	522.524422	1158533.959315
8750.000000	483.629685	468.709544	914506.224899
8740.000000	550.793848	555.331082	711861.777460
8730.000000	569.122193	555.577705	852571.089667
8720.000000	538.348055	566.929180	986003.591725
8710.000000	486.064434	458.393870	1309599.512820
8700.000000	539.106382	530.876136	1612000.017410
8690.000000	476.552895	444.655378	1707835.063182
8680.000000	519.359370	526.015366	1881735.357384
8670.000000	506.476735	457.997408	1923127.081185
8660.000000	515.397507	504.355790	1633499.278231
8650.000000	509.693553	468.850999	1198393.615668
8640.000000	489.121072	469.842137	500542.554147
8630.000000	472.762454	517.489065	857033.550298
8620.000000	496.989052	539.694511	589832.924820
8610.000000	488.399958	524.307553	680125.851592
8600.000000	519.116997	500.751900	566350.297797
8590.000000	511.910607	526.184153	652973.084135
8580.000000	528.977705	518.060519	748198.044301
8570.000000	482.981021	445.659004	936657.697806
8560.000000	517.692514	465.373722	1141406.097855
8550.000000	508.482433	540.681675	1305180.844211
8540.000000	518.746852	479.506247	1514384.168446
8530.000000	524.435458	562.406839	1458276.820251
8520.000000	498.518435	487.701934	1386253.171224
8510.000000	521.580606	509.799318	1387476.617642
8500.000000	530.027643	532.722332	1090073.188652
8490.000000	520.761038	498.946796	1005404.375231
8480.000000	595.395364	632.989258	1023427.315277
8470.000000	564.381354	525.177463	943946.605595
8460.000000	533.277708	515.498336	1119778.731406
8450.000000	482.251834	481.728492	1143330.415669
8440.000000	565.513449	600.293872	1227840.513901
8430.000000	531.015828	528.099030	1279537.060817
8420.000000	510.352079	473.153209	1323201.568037
