

# 5500MHz high pass filter has been inserted
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
10000.000000	0.368813	0.320396	103469.685408
9950.000000	0.350774	0.321941	98186.346737
9900.000000	0.423317	0.379855	112510.100755
9850.000000	0.499901	0.446372	140101.678202
9800.000000	0.486841	0.427775	134033.333743
9750.000000	0.502672	0.446855	142497.124034
9700.000000	0.525112	0.464475	140519.201693
9650.000000	0.497230	0.445774	138076.876762
9600.000000	0.507917	0.443479	141383.285133
9550.000000	0.443576	0.376538	125479.581889
9500.000000	0.399022	0.345872	111353.086425
9450.000000	0.429461	0.388382	118355.308992
9400.000000	0.370011	0.321162	100996.527023
9350.000000	0.404632	0.354029	109218.131825
9300.000000	0.342182	0.308403	92602.285748
9250.000000	0.378549	0.340211	104262.644687
9200.000000	0.347707	0.311482	92630.705288
9150.000000	0.364348	0.315948	102659.499909
9100.000000	0.392183	0.370869	109122.006377
9050.000000	0.391944	0.346903	105349.334108
9000.000000	0.391884	0.350475	111274.255103
8950.000000	0.437495	0.374003	116894.022328
8900.000000	0.478498	0.408583	128518.460759
8850.000000	0.469047	0.426663	130969.333239
8800.000000	0.552194	0.496407	151267.937726
8750.000000	0.537836	0.489505	149186.728598
8700.000000	1.487240	1.913251	172725.843356
8650.000000	0.612905	0.534527	162107.858518
8600.000000	0.654985	0.569479	177611.452362
8550.000000	0.696902	0.620519	191267.155575
8500.000000	0.683460	0.616838	187994.138700
8450.000000	0.718926	0.617238	194087.745116
8400.000000	0.649734	0.572285	182689.480891
8350.000000	0.742383	0.627795	200716.657305
8300.000000	0.736346	0.653315	200860.312727
8250.000000	0.669023	0.587140	183344.097851
8200.000000	0.717120	0.630354	193483.431327
8150.000000	0.694295	0.621767	189730.718797
8100.000000	0.741608	0.659374	204422.915808
8050.000000	0.637600	0.569769	169944.037396
8000.000000	0.672596	0.579339	188107.917027
7950.000000	0.689306	0.592223	187466.832727
7900.000000	0.726215	0.648086	199934.551849
7850.000000	0.593150	0.541014	164051.241178
7800.000000	0.658735	0.586930	177837.139022
7750.000000	0.537764	0.484157	149723.251686
7700.000000	0.569658	0.508449	161478.105159
7650.000000	0.496736	0.436055	136517.029589
7600.000000	0.472728	0.428064	129851.409429
