

# Hittite generates 10dBm to mixer, HP -60dBm
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
10000.000000	0.009601	0.009896	4.304040
9950.000000	0.009413	0.008956	4.510704
9900.000000	0.011036	0.011513	3.974091
9850.000000	0.011208	0.011667	4.408957
9800.000000	0.011184	0.010652	5.153858
9750.000000	0.012754	0.013635	1.987558
9700.000000	0.010943	0.010221	1.616960
9650.000000	0.016482	0.016634	1.464851
9600.000000	0.017799	0.018392	1.373440
9550.000000	0.023217	0.023734	1.416037
9500.000000	0.014887	0.017181	1.286200
9450.000000	0.013210	0.013215	1.308800
9400.000000	0.010609	0.012860	1.456455
9350.000000	0.012913	0.012817	1.695698
9300.000000	0.011937	0.013974	1.691176
9250.000000	0.011693	0.012170	1.827390
9200.000000	0.010515	0.010456	1.438417
9150.000000	0.010619	0.010005	1.436015
9100.000000	0.010877	0.010103	1.607366
9050.000000	0.009609	0.009161	1.801793
9000.000000	0.010012	0.010888	0.978566


# 
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
10000.000000	0.001165	0.001091	0.018551
9950.000000	0.001115	0.001208	0.015082
9900.000000	0.001337	0.001239	0.024801
9850.000000	0.001169	0.001311	0.021145
9800.000000	0.001184	0.001267	0.018072
9750.000000	0.001207	0.001317	0.021211
9700.000000	0.001210	0.001178	0.019129
9650.000000	0.001100	0.000989	0.022143
9600.000000	0.001262	0.001247	0.023462
9550.000000	0.001171	0.001088	0.022661
9500.000000	0.001221	0.001252	0.020773
9450.000000	0.001148	0.001099	0.023876
9400.000000	0.001038	0.000953	0.023617
9350.000000	0.001141	0.001075	0.014272
9300.000000	0.001113	0.001148	0.039414
9250.000000	0.001165	0.001110	0.023190


# 
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
10000.000000	0.000041	0.000042	0.001361
9950.000000	0.000042	0.000056	0.001029
9900.000000	0.000038	0.000042	0.002238
9850.000000	0.000041	0.000046	0.001572
9800.000000	0.000043	0.000066	0.001212
9750.000000	0.000040	0.000045	0.001363
9700.000000	0.000041	0.000044	0.001760
9650.000000	0.000044	0.000055	0.001387
9600.000000	0.000038	0.000048	0.002310
9550.000000	0.000041	0.000044	0.001714
9500.000000	0.000044	0.000055	0.001640
9450.000000	0.000042	0.000048	0.001278
9400.000000	0.000043	0.000056	0.001476
9350.000000	0.000041	0.000047	0.001172
9300.000000	0.000042	0.000047	0.001346
9250.000000	0.000040	0.000053	0.001590
9200.000000	0.000044	0.000049	0.001260
9150.000000	0.000042	0.000043	0.001313
9100.000000	0.000039	0.000041	0.001416
9050.000000	0.000039	0.000043	0.001911
9000.000000	0.000039	0.000048	0.001949
8950.000000	0.000038	0.000043	0.001328
8900.000000	0.000037	0.000037	0.001375
8850.000000	0.000044	0.000046	0.001279
8800.000000	0.000039	0.000045	0.001434
8750.000000	0.000043	0.000046	0.001423
8700.000000	0.000045	0.000041	0.001904
8650.000000	0.000036	0.000037	0.001246
8600.000000	0.000042	0.000044	0.001347
8550.000000	0.000041	0.000050	0.001511
8500.000000	0.000039	0.000038	0.001359
8450.000000	0.000041	0.000048	0.001390
8400.000000	0.000041	0.000050	0.001270
8350.000000	0.000039	0.000044	0.001602
8300.000000	0.000045	0.000049	0.002411
8250.000000	0.000036	0.000038	0.001047
8200.000000	0.000041	0.000045	0.001737
8150.000000	0.000041	0.000044	0.001817


# 
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
10000.000000	0.511034	0.491328	137799.948558
9950.000000	0.567685	0.520918	140532.538951
9900.000000	0.672706	0.610589	177586.511727
9850.000000	0.720323	0.695644	176745.539165
9800.000000	0.793068	0.749610	204167.907857
9750.000000	0.784979	0.767129	202110.023617
9700.000000	0.826402	0.809031	215958.626601
9650.000000	0.821397	0.734938	205756.852168
9600.000000	0.781820	0.731385	206424.218721
9550.000000	0.792872	0.814530	191792.861339
9500.000000	0.740986	0.687525	179187.197389
9450.000000	0.652388	0.619878	170784.281225
9400.000000	0.564758	0.518200	162887.229391
9350.000000	0.688865	0.698882	163154.077395
9300.000000	0.561328	0.496961	139800.188051
9250.000000	0.591540	0.550280	160723.133732
9200.000000	0.555037	0.532407	135145.276087
9150.000000	0.624897	0.629428	157028.026144
9100.000000	0.521725	0.476066	145159.422571
9050.000000	0.549990	0.503127	160349.043015
9000.000000	0.614055	0.613066	153723.125323
8950.000000	0.636980	0.631024	157935.462064
8900.000000	0.720361	0.720164	182130.323827
8850.000000	0.618046	0.551537	173097.983505
8800.000000	0.743826	0.648477	205388.554224
8750.000000	0.681859	0.565134	184694.332684
8700.000000	0.853863	0.763678	223694.371693
8650.000000	0.822125	0.775834	214466.136172
8600.000000	0.889712	0.870484	243370.701965
8550.000000	0.897163	0.853370	244640.693204
8500.000000	1.001271	0.948526	263775.098425
8450.000000	1.019074	1.003555	261103.979838
8400.000000	0.805837	0.895739	263253.536680
8350.000000	1.010177	0.967044	267070.854125
8300.000000	1.031590	0.938335	276442.535291
8250.000000	0.908985	0.837987	267513.237845
8200.000000	1.032011	0.980274	266080.871537
8150.000000	1.014132	0.894702	263116.035389
8100.000000	1.022898	0.927279	273753.390754
8050.000000	0.942587	0.874826	259504.840661
8000.000000	1.039821	0.906688	273089.087545
7950.000000	1.093704	0.988798	273993.562586
