

# Hittite SG was not responding in previous measurement
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
2000.000000	0.081652	0.371145	5.465384
2001.000000	0.003365	0.009392	3.310237
2002.000000	0.003526	0.008893	4.915075
2003.000000	0.003033	0.009105	2.876787
2004.000000	0.003341	0.008936	3.057011
2005.000000	0.003136	0.009885	4.048406
2006.000000	0.002873	0.008181	1.759236
2007.000000	0.003002	0.008690	2.734963
2008.000000	0.003181	0.009515	2.543485
2009.000000	0.003055	0.008873	1.224581
2010.000000	0.003181	0.009434	2.262105
2011.000000	0.003066	0.010596	1.912544
2012.000000	0.003083	0.009501	1.315246
2013.000000	0.003277	0.010252	2.038556
2014.000000	0.002998	0.008691	1.490271
2015.000000	0.002703	0.007533	1.377795
2016.000000	0.003279	0.009478	1.658747
2017.000000	0.002871	0.007800	1.103633
2018.000000	0.003232	0.009761	1.416411
2019.000000	0.003043	0.008753	1.458110
2020.000000	0.003108	0.009008	0.775134
2021.000000	0.002735	0.007302	1.334299
2022.000000	0.002719	0.007569	1.239302
2023.000000	0.002907	0.008567	0.696417
2024.000000	0.003031	0.008414	1.391081
2025.000000	0.003177	0.009480	1.082202
2026.000000	0.002878	0.008654	1.052291
2027.000000	0.003096	0.008021	1.565776
2028.000000	0.002907	0.008368	1.001402
2029.000000	0.003013	0.008248	1.038505
2030.000000	0.003118	0.009058	1.605512
2031.000000	0.003099	0.008510	0.843509
2032.000000	0.003088	0.009507	1.378724
2033.000000	0.003074	0.008912	1.377874
2034.000000	0.003030	0.008951	0.732675
2035.000000	0.002914	0.007384	1.506455
2036.000000	0.003323	0.008821	1.218926
2037.000000	0.002954	0.007526	0.926831
2038.000000	0.002748	0.008264	1.399384
2039.000000	0.002884	0.008510	1.238992
2040.000000	0.003037	0.009620	1.076685
2041.000000	0.003008	0.009332	1.393347
2042.000000	0.003130	0.009837	0.912686
2043.000000	0.002904	0.008512	1.265406
2044.000000	0.002895	0.008045	1.616298
2045.000000	0.002918	0.008049	0.813070
2046.000000	0.003071	0.010076	1.473158
2047.000000	0.002923	0.008271	1.350168
2048.000000	0.002872	0.008177	0.870762
2049.000000	0.003235	0.010349	1.817064
2050.000000	0.002977	0.009333	1.262199
2051.000000	0.002636	0.007229	1.147439
2052.000000	0.002776	0.008224	2.210566
2053.000000	0.003152	0.009830	1.312536
2054.000000	0.003009	0.008551	1.767687
2055.000000	0.002810	0.008343	2.421548
2056.000000	0.003130	0.010506	1.245585
2057.000000	0.003440	0.010415	2.073792
2058.000000	0.002966	0.007779	2.641338
2059.000000	0.002980	0.007512	1.190878
2060.000000	0.003184	0.009826	2.620274
2061.000000	0.003039	0.009252	2.296457
2062.000000	0.003469	0.010451	1.778821
2063.000000	0.003109	0.009362	3.212790
2064.000000	0.002792	0.007944	2.547334
2065.000000	0.003075	0.009499	2.527482
2066.000000	0.003296	0.009844	3.959497
2067.000000	0.002834	0.007926	2.608644
2068.000000	0.002951	0.008562	3.820697
2069.000000	0.003348	0.010559	4.389607
2070.000000	0.003174	0.009696	2.446255
2071.000000	0.002673	0.006696	5.143867
2072.000000	0.003166	0.008092	5.486836
2073.000000	0.003114	0.008527	3.633818
2074.000000	0.002843	0.007675	7.335001
2075.000000	0.003026	0.010179	6.174959
2076.000000	0.003253	0.009364	5.832108
2077.000000	0.003200	0.010208	10.762412
2078.000000	0.003260	0.009134	7.679717
2079.000000	0.003579	0.010946	9.832862
2080.000000	0.003644	0.010859	14.450621
2081.000000	0.003236	0.009235	8.434910
2082.000000	0.003851	0.011525	15.931607
2083.000000	0.003262	0.008851	19.303556
2084.000000	0.003825	0.010039	9.696123
2085.000000	0.003475	0.010324	23.882053
2086.000000	0.003686	0.008416	22.602620
2087.000000	0.004096	0.010301	17.096279
2088.000000	0.003900	0.011756	31.871315
2089.000000	0.004001	0.011697	24.270787
2090.000000	0.004000	0.010263	24.022208
2091.000000	0.004279	0.012458	35.298507
2092.000000	0.004043	0.010883	20.511836
2093.000000	0.004428	0.013191	27.346860
2094.000000	0.004091	0.011844	33.332874
2095.000000	0.004263	0.011456	16.118479
2096.000000	0.004431	0.012914	35.050547
2097.000000	0.004722	0.012735	39.946674
2098.000000	0.005249	0.013796	26.599130
2099.000000	0.004891	0.013651	59.920111
2100.000000	0.004714	0.011681	53.206723
2101.000000	0.004888	0.011550	47.580370
2102.000000	0.005355	0.014002	79.387860
2103.000000	0.005089	0.012324	55.311200
2104.000000	0.005766	0.014716	61.897274
2105.000000	0.005162	0.014137	82.031912
2106.000000	0.005035	0.011995	41.236083
2107.000000	0.004570	0.011850	65.653489
2108.000000	0.005115	0.014224	63.901119
2109.000000	0.004706	0.011953	27.563898
2110.000000	0.004515	0.013699	57.610211
2111.000000	0.004438	0.012826	47.777991
2112.000000	0.004120	0.011051	29.017449
2113.000000	0.004022	0.011157	48.631877
2114.000000	0.004213	0.010895	32.878245
2115.000000	0.003893	0.010671	29.173766
2116.000000	0.004461	0.011554	38.000753
2117.000000	0.003991	0.012298	20.930069
2118.000000	0.003850	0.009464	26.440769
2119.000000	0.003695	0.009644	28.172191
2120.000000	0.003836	0.010031	13.057438
2121.000000	0.003266	0.008803	24.230914
2122.000000	0.003652	0.011012	21.272938
2123.000000	0.003612	0.010954	11.615143
2124.000000	0.003559	0.009349	20.649845
2125.000000	0.003180	0.008724	15.226602
2126.000000	0.003574	0.010465	12.092413
2127.000000	0.003346	0.010459	19.237874
2128.000000	0.003252	0.009443	11.499588
2129.000000	0.003174	0.008867	12.674435
2130.000000	0.003760	0.011519	14.966858
2131.000000	0.003361	0.009249	7.697143
2132.000000	0.002948	0.008430	12.092663
2133.000000	0.003527	0.009860	12.579386
2134.000000	0.003193	0.009438	5.434017
2135.000000	0.003367	0.008810	11.546984
2136.000000	0.003519	0.009360	9.583784
2137.000000	0.003216	0.009279	6.302441
2138.000000	0.003144	0.008554	10.502442
2139.000000	0.003129	0.009825	7.092687
2140.000000	0.003236	0.010712	6.791122
2141.000000	0.002823	0.008054	9.187629
2142.000000	0.003068	0.008816	5.146241
2143.000000	0.003307	0.008491	6.879917
2144.000000	0.002782	0.007662	7.354515
2145.000000	0.003179	0.008806	3.467159
2146.000000	0.003001	0.009261	6.340642
2147.000000	0.003122	0.008478	6.193104
2148.000000	0.003296	0.010347	3.475436
2149.000000	0.003065	0.009269	6.466162
2150.000000	0.003101	0.009896	4.538199
2151.000000	0.002924	0.008428	3.874930
2152.000000	0.003672	0.010293	5.979170
2153.000000	0.003096	0.008656	3.863049
2154.000000	0.002950	0.008424	4.280274
2155.000000	0.002983	0.008379	5.457909
2156.000000	0.003182	0.008217	3.043391
2157.000000	0.002946	0.008434	4.687283
2158.000000	0.003090	0.008821	4.936219
2159.000000	0.003104	0.008053	2.278830
2160.000000	0.002627	0.006358	4.995693
2161.000000	0.003164	0.009496	4.330803
2162.000000	0.003228	0.010171	2.890512
