

# 
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
10000.000000	0.022917	0.054013	11360.866988
9995.000000	0.038526	0.054006	10685.379090
9990.000000	0.074327	0.090665	7735.357610
9985.000000	0.093829	0.108719	4794.842384
9980.000000	0.067909	0.079862	8222.752733
9975.000000	0.021114	0.038791	10906.271417
9970.000000	0.036911	0.064321	10121.905272
9965.000000	0.074692	0.084309	7579.396569
9960.000000	0.097459	0.096095	4438.562334
9955.000000	0.065926	0.072720	7452.809290
9950.000000	0.031120	0.050701	10062.365249
9945.000000	0.046588	0.066275	9338.750204
9940.000000	0.075625	0.073995	6670.101170
9935.000000	0.088551	0.085751	4248.582856
9930.000000	0.077499	0.085848	7067.448028
9925.000000	0.035873	0.049933	9490.829859
9920.000000	0.040856	0.047149	9184.593121
9915.000000	0.076682	0.079368	6934.173494
9910.000000	0.086816	0.091194	4311.759066
9905.000000	0.076827	0.093617	7798.605311
9900.000000	0.037619	0.059611	10465.268140
9895.000000	0.039011	0.046360	10197.798726
9890.000000	0.077037	0.073283	7460.711238
9885.000000	0.098159	0.092517	4806.202693
9880.000000	0.073637	0.087090	8009.400522
9875.000000	0.033230	0.044419	10413.056443
9870.000000	0.049474	0.056122	9483.541645
9865.000000	0.086840	0.088247	6909.281311
9860.000000	0.095569	0.084282	4015.612258
9855.000000	0.080786	0.077632	7149.561805
9850.000000	0.049470	0.055001	9337.850249
9845.000000	0.065440	0.070370	8735.677008
9840.000000	0.101050	0.099112	6417.690109
9835.000000	0.097634	0.104515	4231.011771
9830.000000	0.089677	0.096644	7134.086311
9825.000000	0.059570	0.060509	9849.458711
9820.000000	0.068576	0.081068	9335.614943
9815.000000	0.099578	0.101859	6875.293018
9810.000000	0.113567	0.110362	4133.110874
9805.000000	0.088471	0.082522	7290.034917
9800.000000	0.042825	0.055174	9723.124315
9795.000000	0.043047	0.054735	9395.146484
9790.000000	0.076728	0.074233	6705.583402
9785.000000	0.096372	0.093795	4288.483700
9780.000000	0.088434	0.113545	7023.074438
9775.000000	0.044382	0.055013	9621.728166
9770.000000	0.058637	0.068426	9327.244853
9765.000000	0.077128	0.074543	6847.521846
9760.000000	0.110634	0.115116	4336.967989
9755.000000	0.102099	0.125413	7359.029493
9750.000000	0.057864	0.073646	9992.859702
9745.000000	0.066359	0.073343	9246.507824
9740.000000	0.110819	0.106961	6589.780436
9735.000000	0.104158	0.088123	4048.070932
9730.000000	0.097326	0.108112	7001.793629
9725.000000	0.056776	0.059261	9296.031686
9720.000000	0.071534	0.079801	8893.357759
9715.000000	0.100986	0.092859	6837.583264
9710.000000	0.128108	0.136007	4043.048300
9705.000000	0.085829	0.111974	7140.831965
9700.000000	0.048746	0.054376	9609.239672
9695.000000	0.047224	0.056396	9384.363000
