

# As the above finer mazed steps, 6kHz offset
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
10000.000000	0.050801	0.055415	11100.396516
9999.000000	0.095455	0.103089	5435.000949
9998.000000	0.040238	0.052208	10106.887986
9997.000000	0.037801	0.052193	10401.842942
9996.000000	0.082221	0.089853	4592.595412
9995.000000	0.032176	0.048860	10616.766253
9994.000000	0.045110	0.065111	9720.592867
9993.000000	0.078012	0.091657	7102.797837
9992.000000	0.024932	0.045274	11305.892577
9991.000000	0.070079	0.071410	8015.798910
9990.000000	0.071832	0.076323	7808.521954
9989.000000	0.025128	0.052127	11272.576053
9988.000000	0.085862	0.102397	7119.851330
9987.000000	0.044964	0.062580	9881.424348
9986.000000	0.031993	0.040977	10573.041617
9985.000000	0.088226	0.085675	4729.894328
9984.000000	0.044059	0.063432	10229.293047
9983.000000	0.039234	0.053146	9978.222580
9982.000000	0.080361	0.075828	5326.098495
9981.000000	0.029387	0.059548	11004.323144
9980.000000	0.063969	0.076364	8122.043840
9979.000000	0.080661	0.081168	7068.189661
9978.000000	0.029102	0.060838	11010.329420
9977.000000	0.073188	0.085675	7341.988177
9976.000000	0.060565	0.062523	7734.055352
9975.000000	0.025863	0.043953	10938.110700
9974.000000	0.090970	0.099956	4879.442761
9973.000000	0.045496	0.060597	9555.446381
9972.000000	0.040269	0.059893	10073.825567
9971.000000	0.083905	0.092372	4412.278549
9970.000000	0.035256	0.055199	10105.590178
9969.000000	0.052071	0.065904	9365.326856
9968.000000	0.091784	0.105036	6572.403241
9967.000000	0.026834	0.052383	10732.345656
9966.000000	0.070325	0.089498	7525.032704
9965.000000	0.066998	0.065318	7329.967294
9964.000000	0.029399	0.054051	10652.172858
9963.000000	0.085526	0.094193	6562.072302
9962.000000	0.050929	0.068178	8914.187852
9961.000000	0.040538	0.067212	9905.228495
9960.000000	0.088357	0.103783	4279.020278
9959.000000	0.038454	0.043565	9486.925033
9958.000000	0.044373	0.059308	9273.114977
9957.000000	0.093249	0.099361	4735.718130
9956.000000	0.034065	0.066464	10200.367025
9955.000000	0.065219	0.067570	7555.837736
9954.000000	0.074956	0.066773	6927.101149
9953.000000	0.031085	0.056656	10129.923125
9952.000000	0.069215	0.072777	6552.097974
9951.000000	0.068560	0.080744	7150.444967
9950.000000	0.031238	0.046094	9866.294333
9949.000000	0.080037	0.077280	4629.640393
9948.000000	0.043766	0.045230	8955.102004
9947.000000	0.050581	0.082140	9158.505111
9946.000000	0.084111	0.086109	4242.651939
9945.000000	0.051106	0.067125	9030.561809
9944.000000	0.062844	0.072509	8215.566501
