

# 10kHz offset
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
10000.000000	0.020249	0.045331	10762.540416
9999.000000	0.022908	0.049506	12213.656413
9998.000000	0.022031	0.049637	5399.030109
9997.000000	0.024322	0.045167	12354.538826
9996.000000	0.023808	0.051421	11493.795539
9995.000000	0.021521	0.039549	6480.289689
9994.000000	0.024108	0.047172	12855.524823
9993.000000	0.024697	0.057867	9216.488309
9992.000000	0.022330	0.041246	9147.723727
9991.000000	0.018640	0.034918	13105.533422
9990.000000	0.023207	0.051652	8208.083843
9989.000000	0.026817	0.056655	9812.858749
9988.000000	0.026418	0.057587	12899.763598
9987.000000	0.024847	0.041818	5827.453424
9986.000000	0.023028	0.047287	11741.935966
9985.000000	0.022805	0.065620	11517.377805
9984.000000	0.021242	0.032647	5569.949704
9983.000000	0.022005	0.043482	12288.941648
9982.000000	0.026156	0.056325	10936.145020
9981.000000	0.022326	0.038471	8413.475892
9980.000000	0.021152	0.042758	12883.998484
9979.000000	0.022607	0.042216	8718.055018
9978.000000	0.025220	0.047063	9344.913244
9977.000000	0.027648	0.054642	12806.283327
9976.000000	0.024728	0.052012	7382.136526
9975.000000	0.023953	0.042904	10107.363124
9974.000000	0.025948	0.047861	11524.239961
9973.000000	0.027912	0.059370	5379.515403
9972.000000	0.026763	0.054768	11757.500530
9971.000000	0.023546	0.046449	10880.633376
9970.000000	0.028488	0.047646	6236.516912
9969.000000	0.029172	0.065951	12177.420222
9968.000000	0.024471	0.039382	8724.788819
9967.000000	0.026034	0.044985	8234.828850
9966.000000	0.026736	0.043249	12445.914416
9965.000000	0.027933	0.042139	7622.336231
9964.000000	0.029104	0.060598	9518.248832
9963.000000	0.029403	0.052720	12119.461291
9962.000000	0.026182	0.038720	5202.771927
9961.000000	0.025259	0.041356	11238.263876
9960.000000	0.030310	0.047369	10760.450237
9959.000000	0.029160	0.043003	5711.151424
9958.000000	0.030307	0.059455	11404.010745
9957.000000	0.027925	0.043095	9906.669015
9956.000000	0.034328	0.056353	7558.528653
9955.000000	0.028757	0.056551	11893.224558
9954.000000	0.028434	0.042351	8164.577781
9953.000000	0.033009	0.039774	8674.419117
9952.000000	0.031015	0.045197	11791.313261
9951.000000	0.032487	0.050905	6848.301290
9950.000000	0.035882	0.056244	9278.377569
9949.000000	0.036917	0.059058	10512.727392
9948.000000	0.029820	0.045860	4755.042406
9947.000000	0.031392	0.052857	10814.701616
9946.000000	0.031804	0.048262	9832.876013
9945.000000	0.032135	0.047072	5622.065575
9944.000000	0.033259	0.043492	11201.190245
9943.000000	0.039367	0.057903	7900.631749
9942.000000	0.038927	0.066220	7824.701860
9941.000000	0.036463	0.051405	11322.441010
9940.000000	0.036403	0.059430	6934.173104
9939.000000	0.034618	0.052885	8798.236673
9938.000000	0.036230	0.049659	11302.010210
9937.000000	0.034312	0.051386	5035.733842
9936.000000	0.035012	0.045066	10053.784409
9935.000000	0.035683	0.045208	10071.632829
9934.000000	0.041474	0.056083	5045.103722
9933.000000	0.034486	0.047925	10617.123272
9932.000000	0.039259	0.053091	9360.576615
9931.000000	0.036564	0.049124	7320.333009
9930.000000	0.036178	0.049872	11150.847845
9929.000000	0.040241	0.053934	7579.300217
9928.000000	0.038056	0.053281	8164.122527
9927.000000	0.035157	0.044413	10841.442395
9926.000000	0.039923	0.052362	6754.841918
9925.000000	0.031988	0.040029	9246.886627
9924.000000	0.036757	0.049514	10435.175317
9923.000000	0.034547	0.046919	4698.812472
9922.000000	0.035057	0.048847	10562.884420
9921.000000	0.038162	0.057301	9728.877186
9920.000000	0.039170	0.053102	5794.425694
9919.000000	0.034855	0.045130	10906.791672
9918.000000	0.033214	0.047555	7873.583039
9917.000000	0.036342	0.064542	8230.254641
