

# -120dBm, all amps on
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
10000.000000	363.059507	396.277648	2354393.971421
9990.000000	471.897925	531.218635	1619692.554333
9980.000000	345.441329	424.421936	1503135.340718
9970.000000	351.785110	421.070381	1850746.339481
9960.000000	419.907478	437.153071	766023.198743
9950.000000	507.905502	492.611932	3463626.253330
9940.000000	770.035848	797.241203	3776266.388135
9930.000000	802.515010	778.651891	4704528.476189
9920.000000	1295.991861	1250.866926	5647000.877345
9910.000000	1218.843106	1069.842777	3016633.145105
9900.000000	906.298713	924.602928	7717707.731905
9890.000000	1070.250931	1118.279866	5102974.112427
9880.000000	917.494481	956.427552	7025851.459129
9870.000000	1617.874149	1486.805404	7138198.230269
9860.000000	1235.570879	1263.575762	2698212.781678
9850.000000	1650.804482	1791.755176	6973346.244925
9840.000000	1916.540197	1979.304583	3786385.391307
9830.000000	1889.695592	1603.855743	2560880.178770
9820.000000	1194.061051	1280.232509	1664312.239171
9810.000000	1351.240661	1376.006484	314418.995323
9800.000000	1254.304115	1394.549691	766572.126312
9790.000000	1193.144468	1345.527953	1432857.061542
9780.000000	874.210081	817.237625	2555463.340882
9770.000000	888.021407	948.694807	4277627.684419
9760.000000	1030.862773	1026.925145	2794853.118098
9750.000000	1096.830669	1029.079910	7420190.423811
9740.000000	1159.819161	1121.377827	6706138.675387
9730.000000	1362.606054	1390.286602	7037983.825091
9720.000000	1126.067966	1106.466850	7604194.965865
9710.000000	1302.912500	1270.017562	3032323.306279
9700.000000	1437.616664	1512.911449	5486739.914108
9690.000000	1340.460445	1413.882871	4111132.430212
9680.000000	1663.783938	1645.438500	4369222.043785
9670.000000	1878.806878	1831.339692	3617781.984477
9660.000000	1806.971949	2088.372758	844195.596938
9650.000000	1219.579084	1251.003275	1756341.215164
9640.000000	1348.460195	1410.534152	2005174.452347
9630.000000	1067.947535	1030.644810	3896261.747586
9620.000000	889.381563	973.879142	6526980.917924
9610.000000	957.737881	956.050809	4404248.925521
9600.000000	838.370576	754.746780	14023031.684432
9590.000000	826.683092	943.628798	10283296.485341
9580.000000	1121.539882	1145.888878	13673705.688494
9570.000000	1116.302466	1018.571433	17657264.655848
9560.000000	1350.222783	1246.731225	7987921.064465
9550.000000	1294.284654	1253.214559	17611093.899144
9540.000000	1090.395172	1010.019558	10221912.211140
9530.000000	969.089278	984.889374	10909030.194410
9520.000000	832.238533	963.788157	15257109.562960
9510.000000	940.898885	1013.438175	7271947.204475
9500.000000	785.737404	737.129631	16639299.872981
9490.000000	901.094437	940.473875	13461458.140276
9480.000000	944.465836	861.767138	14656543.970405
9470.000000	878.437797	973.119458	20616074.815752
9460.000000	1290.438350	1404.400164	9726289.402521
9450.000000	1655.507105	1727.398174	21375156.014965
9440.000000	1138.009163	1249.103154	12460473.123530
9430.000000	960.106777	966.124681	12265781.845645
9420.000000	1000.126646	1000.746496	15656900.558593
9410.000000	956.760149	888.917791	6344448.427589
9400.000000	828.445222	965.206926	13871039.224964
9390.000000	935.660325	1047.551200	10654097.318714
9380.000000	1018.783630	1047.401247	11375184.313908
9370.000000	846.238363	855.563442	11597609.937428
9360.000000	835.546717	842.128339	3593287.873514
9350.000000	761.298265	795.113382	6837051.418129
9340.000000	761.643907	851.921245	3785246.725176
9330.000000	773.243584	839.771147	4072141.402504
9320.000000	822.558757	803.758531	4540752.676782
9310.000000	859.077433	872.412754	2822621.460996
9300.000000	645.824588	595.610465	8434944.472016
9290.000000	598.505306	629.870947	6171979.592200
9280.000000	592.160058	642.977125	5543462.787581
9270.000000	632.101112	605.003146	8730692.395177
9260.000000	568.282216	579.578809	3407915.819374
9250.000000	568.560554	708.438381	7564204.150037
9240.000000	500.402899	607.751005	4517684.395505
9230.000000	597.342430	636.674252	4591394.694928
9220.000000	510.550862	559.923324	6838683.570281
9210.000000	986.851047	904.731899	2843907.677909
9200.000000	578.131680	757.834178	9681230.857736
9190.000000	493.508860	553.269044	7271881.402265
9180.000000	538.949750	650.403234	9804539.507636
9170.000000	535.320054	668.309883	17097270.230885
9160.000000	555.838359	575.489262	8442540.641209
9150.000000	547.923731	557.119695	17687206.521037
9140.000000	629.142049	606.262717	9741386.584759
9130.000000	636.495876	701.627607	12529803.206817
9120.000000	550.240203	607.082212	8800297.203220
9110.000000	592.816454	713.364980	3164685.149786
9100.000000	496.784825	550.003035	5705147.118674
9090.000000	583.624251	621.912189	6129239.020765
9080.000000	649.830410	682.677336	9694552.486865
9070.000000	565.782852	603.109669	17533350.321957
9060.000000	843.452017	799.627757	10568971.439752
9050.000000	620.182693	755.259372	30660544.970425
9040.000000	817.504203	948.561500	24610635.155268
9030.000000	803.738807	831.426396	26286679.242325
9020.000000	761.383155	792.403390	28032202.170578
9010.000000	1192.532398	1263.025221	8597956.248892
9000.000000	1164.372748	1296.880797	9239535.602920
8990.000000	931.234032	932.416643	3311300.755313
8980.000000	906.204338	873.413562	2219260.897932
8970.000000	800.585772	824.741331	1302922.182079
