

# Disconnected RF cable
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
10000.000000	392.345725	971.766144	56994.691550
9990.000000	407.757672	899.283093	57394.816760
9980.000000	426.516176	931.455989	64907.786468
9970.000000	411.729921	793.105970	52118.731178
9960.000000	418.426753	691.799637	59040.003101
9950.000000	530.025927	898.580197	54506.296050
9940.000000	586.002518	1115.432179	53329.805445
9930.000000	567.949411	732.223008	46527.951257
9920.000000	562.648432	1013.646831	45075.167591
9910.000000	532.336302	937.218552	56955.998773
9900.000000	492.687464	882.239695	52444.019285
9890.000000	478.584839	791.187727	47286.160570
9880.000000	476.755693	696.737462	46395.648520
9870.000000	553.297947	837.633958	39330.904610
9860.000000	637.047654	841.072058	49150.700349
9850.000000	720.398178	735.555930	48667.613898
9840.000000	718.799717	907.925139	40481.019373
9830.000000	878.851974	987.736357	52539.207442
9820.000000	688.043340	732.409884	50393.256081
9810.000000	714.428883	645.684379	32105.918352
9800.000000	753.490017	921.353011	46154.720456
9790.000000	543.642459	732.231946	41793.786158
9780.000000	718.974066	1187.043749	40830.139859
9770.000000	718.759466	979.174836	45242.266854
9760.000000	727.551618	719.560255	43957.835271
9750.000000	798.691292	869.283760	49211.138448
9740.000000	956.619520	1061.740429	38891.852131
9730.000000	955.157868	1067.509155	44025.762425
9720.000000	911.457333	869.022865	43710.709888
9710.000000	927.907339	1122.674353	21020.749309
9700.000000	752.510589	939.099493	28410.150843
9690.000000	735.883955	981.622394	21538.000181
9680.000000	594.884126	621.467816	33882.374644
9670.000000	661.244445	722.356355	27169.951670
9660.000000	673.931812	659.567530	29076.689103
9650.000000	726.765522	836.253721	36455.861112
9640.000000	722.451529	739.282796	24635.888028
9630.000000	771.813561	968.399603	26694.028051
9620.000000	784.281028	1155.342462	39282.629724
9610.000000	894.855226	999.052170	31224.120140
9600.000000	747.827815	874.089236	33798.512834
9590.000000	847.445282	888.137868	49313.870967
9580.000000	693.436998	777.872572	38161.509801
9570.000000	675.083165	908.982316	42595.077898
9560.000000	742.717314	915.314506	46789.650002
9550.000000	718.370689	780.733828	42122.111233
9540.000000	779.708190	910.896632	36110.469035
9530.000000	930.629165	1104.429110	40737.582564
9520.000000	978.946118	1420.157009	89155.001779
9510.000000	830.531882	1093.714654	40993.057534
9500.000000	852.448978	1133.934759	48603.348231
9490.000000	697.836865	827.506892	60786.542074
9480.000000	736.876836	929.802026	50441.785139
9470.000000	676.585106	1025.319326	43217.224345
9460.000000	641.759170	1027.233724	37834.255935
9450.000000	596.753791	911.939718	59754.357725
9440.000000	568.755936	848.052423	49935.118308
9430.000000	576.715529	861.847164	72035.565822
9420.000000	644.269847	907.519948	55723.594052
9410.000000	811.524695	1188.352153	55366.230117
9400.000000	602.089403	813.243067	62682.802813
9390.000000	593.852241	918.711786	74689.768000
9380.000000	650.715698	1171.001598	60980.198741
9370.000000	577.584760	806.426227	54022.731994
9360.000000	582.948212	967.963859	59033.347245
9350.000000	585.493289	866.476562	54549.817685
9340.000000	639.259435	1155.779170	60649.058217
9330.000000	617.319168	1209.785722	58582.655426
9320.000000	547.549135	1182.622989	65747.397173
9310.000000	527.906739	741.847731	71348.966262
