

# HP Unit is not outputting
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
10000.000000	377.412489	773.578472	57990.455886
9990.000000	444.933144	1007.994691	53785.960967
9980.000000	429.706154	854.787237	55083.238065
9970.000000	424.514737	727.881554	46268.244134
9960.000000	453.019562	671.034575	50281.128193
9950.000000	603.682168	1008.320219	53060.791408
9940.000000	592.703167	856.512131	59004.197392
9930.000000	602.600742	875.894915	53157.830549
9920.000000	526.572756	808.618644	42676.646189
9910.000000	495.870566	661.560213	48922.302191
9900.000000	447.679224	735.628540	48161.991731
9890.000000	468.602528	754.192080	46986.494136
9880.000000	475.597791	783.760224	45195.224696
9870.000000	580.529939	688.696350	43237.637384
9860.000000	710.213690	973.121306	43367.723551
9850.000000	678.330308	862.046899	37296.540668
9840.000000	730.040831	850.958564	51544.577075
9830.000000	898.063387	984.317510	44816.654493
9820.000000	731.004303	778.898330	36100.891276
9810.000000	708.447893	867.946634	40892.920152
9800.000000	585.084651	714.311240	36910.702227
9790.000000	512.214484	619.173471	47518.421396
9780.000000	571.228049	782.460580	54122.188762
9770.000000	654.357514	899.225133	34382.092830
9760.000000	900.560060	1265.213031	40001.605164
9750.000000	791.273372	905.883823	29839.607349
9740.000000	870.494444	1217.125850	41513.400350
9730.000000	836.223251	778.551949	31023.098506
9720.000000	796.666137	901.709220	28485.012767
9710.000000	871.338083	917.043893	38032.396121
9700.000000	695.000711	718.551546	38526.281767
9690.000000	696.902323	816.979317	43249.040512
9680.000000	655.584479	655.104457	28119.832101
9670.000000	597.640736	656.402933	41858.296427
9660.000000	798.862411	911.938799	31370.614271
9650.000000	769.452951	783.836976	38723.675642
9640.000000	859.776169	1291.442132	26006.298747
9630.000000	846.126137	870.599511	45021.194908
9620.000000	918.713699	962.690051	41308.086690
9610.000000	873.438100	997.565551	30687.573941
9600.000000	745.249261	867.033692	32595.646284
9590.000000	682.024019	790.852402	31188.521574
9580.000000	669.156661	841.873624	32760.463823
9570.000000	654.888101	931.164263	48163.151303
9560.000000	680.227787	799.209941	49158.509769
9550.000000	690.486182	800.664238	41548.605105
9540.000000	882.089232	992.365081	45088.576762
9530.000000	925.682453	1142.004969	35748.885307
9520.000000	973.716797	1335.136854	46727.219032
9510.000000	978.956407	1193.211290	59074.998033
9500.000000	818.502259	901.972976	38358.817078
9490.000000	773.530414	1225.913636	47306.483226
9480.000000	638.995966	764.044845	49214.643264
9470.000000	766.173877	1099.921509	46893.174968
9460.000000	591.662821	707.167855	49384.345086
9450.000000	603.688817	838.843884	51397.696641
9440.000000	652.583328	1190.069755	54345.695927
9430.000000	559.394920	834.807938	59719.778086
9420.000000	638.460608	945.860389	61547.221260
9410.000000	599.209892	796.771058	62092.685845
9400.000000	693.154485	1109.039658	68474.105308
9390.000000	631.836527	1035.082282	68427.646504
9380.000000	621.433846	1026.062376	68192.838066
9370.000000	692.860649	1233.628717	64325.285929
9360.000000	617.619169	1261.453905	66824.207310
9350.000000	652.032526	1045.650233	60867.328084
9340.000000	489.797120	792.379404	65207.681793
9330.000000	600.944475	1098.747896	57706.096751
9320.000000	667.630329	1494.556219	60989.795229
9310.000000	575.303229	943.064190	65074.001951
9300.000000	597.605283	918.367780	74010.293541
9290.000000	605.208046	1064.887139	60531.460914
9280.000000	541.199207	945.007516	69935.747658
9270.000000	543.140782	1045.466013	72008.291999
9260.000000	504.106031	878.257312	74564.690321
9250.000000	566.766197	1098.922218	60247.964310
9240.000000	473.370511	786.132614	62603.865940
9230.000000	476.459275	1009.129216	60117.166937
9220.000000	559.234610	1209.305405	60903.430007
9210.000000	561.349092	1099.972977	61963.657148
9200.000000	579.597730	1298.358483	67466.084663
9190.000000	504.556910	955.438757	64670.261819
9180.000000	475.950161	826.681619	60154.274587
9170.000000	527.477782	929.835346	66894.495788
9160.000000	4020.038667	4143.644786	99636.971916
9150.000000	933.525431	1509.680760	89666.681873
9140.000000	776.476139	1315.031509	64851.341870
9130.000000	857.112517	1545.860350	61230.409131
9120.000000	821.222454	1325.852597	73334.468865
9110.000000	826.701223	1359.056724	64023.885636
9100.000000	768.554008	1038.770312	73523.597001
9090.000000	731.409013	1430.108433	66042.027853
9080.000000	763.464159	1190.332279	56979.717600
9070.000000	727.804043	1031.442929	77939.686939
9060.000000	772.988031	1174.939283	63181.614790
9050.000000	702.600215	1111.620406	59370.487479
9040.000000	730.787085	1105.323014	78188.311737
9030.000000	658.822429	903.041028	77943.450560
9020.000000	823.312410	1321.510974	67058.967686
9010.000000	700.987366	894.984939	64114.294554
9000.000000	785.109460	1337.790281	69330.306065
8990.000000	788.851088	1240.964562	62117.393664
8980.000000	773.105800	1202.651717	67795.108228
8970.000000	794.355463	1121.083111	52095.668572
