

# Audio high pass
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
10000.000000	0.084511	0.132674	6.939786
9990.000000	0.086829	0.147345	8.715934
9980.000000	0.086252	0.133773	7.332138
9970.000000	0.075477	0.144767	7.547567
9960.000000	0.074898	0.141215	7.133582
9950.000000	0.058778	0.126704	7.584094
9940.000000	0.104178	0.121414	8.687089
9930.000000	0.227619	0.223062	8.823732
9920.000000	0.192594	0.188917	7.763284
9910.000000	0.135686	0.164471	7.648470
9900.000000	0.187831	0.190873	11.328975
9890.000000	0.150366	0.156026	7.286358
9880.000000	0.229744	0.253557	6.334168
9870.000000	0.145472	0.207506	6.018997
9860.000000	0.134091	0.156047	10.109359
9850.000000	0.132606	0.127037	7.466955
9840.000000	0.136118	0.173328	6.358831
9830.000000	0.212927	0.202600	7.914533
9820.000000	0.096382	0.136258	6.718184
9810.000000	0.083172	0.110954	5.986133
9800.000000	0.153092	0.175139	5.701401
9790.000000	0.091401	0.131612	7.030556
9780.000000	0.080220	0.139397	6.714029
9770.000000	0.104463	0.142020	8.940888
9760.000000	0.083583	0.129251	6.724138
