

# Hittite power output disabled
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
10000.000000	0.001820	0.003419	0.084478
9990.000000	0.001651	0.002171	0.083283
9980.000000	0.001962	0.003216	0.087630
9970.000000	0.001978	0.003240	0.120151
9960.000000	0.001915	0.004006	0.078289
9950.000000	0.001996	0.003384	0.112730
9940.000000	0.002228	0.003830	0.122330
9930.000000	0.001803	0.002646	0.106095
9920.000000	0.001829	0.003311	0.091404
9910.000000	0.002000	0.003670	0.093852
9900.000000	0.001936	0.003282	0.090489
9890.000000	0.002075	0.003257	0.087717
9880.000000	0.002222	0.004447	0.098950
9870.000000	0.002004	0.003851	0.077019
9860.000000	0.001950	0.003107	0.067826
9850.000000	0.001845	0.003362	0.074999
9840.000000	0.001930	0.003267	0.093979
9830.000000	0.001868	0.003274	0.082352
9820.000000	0.001997	0.003598	0.081996
9810.000000	0.001938	0.002734	0.116454
9800.000000	0.001861	0.002879	0.081806
9790.000000	0.002070	0.004037	0.091899
9780.000000	0.002150	0.003587	0.077560
9770.000000	0.002093	0.003767	0.074357
9760.000000	0.002052	0.002824	0.083730
9750.000000	0.001721	0.002665	0.108360
9740.000000	0.001888	0.003636	0.098847
9730.000000	0.002073	0.004156	0.095738
9720.000000	0.002124	0.004562	0.081341
9710.000000	0.001879	0.004363	0.104209
9700.000000	0.001805	0.002903	0.091409
9690.000000	0.001952	0.002865	0.093754
9680.000000	0.001898	0.002763	0.113204
9670.000000	0.001911	0.003539	0.076054
9660.000000	0.001831	0.002968	0.096670
9650.000000	0.002066	0.002701	0.073399
9640.000000	0.001942	0.003417	0.076878
9630.000000	0.001941	0.003785	0.081118
9620.000000	0.001846	0.004972	0.082355
9610.000000	0.001940	0.005223	0.094687
9600.000000	0.001845	0.003006	0.087876
9590.000000	0.001982	0.004446	0.097563
9580.000000	0.001725	0.002792	0.130794
9570.000000	0.001835	0.003504	0.096098
9560.000000	0.002052	0.003579	0.069062
9550.000000	0.001652	0.002322	0.076270
9540.000000	0.001647	0.002240	0.103414
9530.000000	0.001658	0.002390	0.076920
9520.000000	0.001791	0.002522	0.101967
9510.000000	0.001994	0.003801	0.083832
9500.000000	0.002129	0.004162	0.084958
9490.000000	0.001682	0.002239	0.064424
9480.000000	0.001892	0.002568	0.082949
9470.000000	0.001840	0.003236	0.065455
9460.000000	0.002113	0.005536	0.087792
9450.000000	0.001667	0.003564	0.078756
9440.000000	0.001958	0.003815	0.083598
9430.000000	0.001850	0.004306	0.081271
9420.000000	0.002033	0.005552	0.084549
9410.000000	0.001617	0.002444	0.088518
9400.000000	0.002243	0.003298	0.084404
9390.000000	0.001883	0.003035	0.087201
9380.000000	0.001958	0.003170	0.092026
9370.000000	0.001617	0.002874	0.074618
9360.000000	0.001956	0.003888	0.073954
9350.000000	0.001660	0.002770	0.080666
9340.000000	0.001953	0.003085	0.078804
9330.000000	0.002000	0.003309	0.081645
9320.000000	0.002232	0.003731	0.073178
9310.000000	0.002008	0.002885	0.077137
9300.000000	0.001757	0.002804	0.089383
9290.000000	0.001963	0.003046	0.066332
9280.000000	0.001627	0.002721	0.088031
9270.000000	0.001705	0.003642	0.094919
9260.000000	0.001921	0.003097	0.074268
9250.000000	0.001925	0.003241	0.091257
9240.000000	0.002244	0.004044	0.074588
9230.000000	0.001732	0.002410	0.092998
9220.000000	0.001988	0.002917	0.076485
9210.000000	0.002374	0.005134	0.102766
9200.000000	0.002234	0.003616	0.109465
9190.000000	0.002233	0.003292	0.065323
9180.000000	0.001921	0.003062	0.084303
9170.000000	0.002001	0.004145	0.106826
9160.000000	0.001989	0.004035	0.098100
9150.000000	0.001661	0.002102	0.094203
9140.000000	0.002169	0.004508	0.077166
9130.000000	0.002233	0.003926	0.084894
9120.000000	0.001955	0.003058	0.084209
9110.000000	0.001912	0.002955	0.077807
9100.000000	0.001839	0.002784	0.075220
9090.000000	0.002340	0.004890	0.064575
9080.000000	0.002190	0.002723	0.106282
9070.000000	0.001987	0.003080	0.083675
9060.000000	0.001954	0.003481	0.086925


# 
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
10000.000000	0.002422	0.004532	0.114632
9990.000000	0.002172	0.004243	0.078666


# 
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
10000.000000	0.000467	0.002173	0.043908
