

# -70dBm from HP Unit
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
10000.000000	0.065770	0.106114	13960.436559
9950.000000	0.097448	0.118369	14349.317917
9900.000000	0.089419	0.112075	18379.297492
9850.000000	0.110350	0.127720	18176.047310
9800.000000	0.106584	0.126306	20957.862644
9750.000000	0.117205	0.158910	20664.263213
9700.000000	0.118904	0.143534	21655.490627
9650.000000	0.102794	0.117634	21725.790168
9600.000000	0.097735	0.097120	21665.100435
9550.000000	0.100822	0.130855	19817.272272
9500.000000	0.095822	0.103204	18934.053982
9450.000000	0.087855	0.087283	17509.224276
9400.000000	0.089747	0.163394	16337.682953
9350.000000	0.076626	0.087396	16851.316401
9300.000000	0.079983	0.115128	14346.733371
9250.000000	0.083192	0.094345	16195.773590
9200.000000	0.071057	0.122511	13905.735082
9150.000000	0.077834	0.123073	16551.029185
9100.000000	0.064671	0.063804	14337.899412
9050.000000	0.079162	0.119844	15899.690742
9000.000000	0.070796	0.097783	15427.652985
8950.000000	0.083556	0.104876	16389.224421
8900.000000	0.081023	0.083084	18961.351630
8850.000000	0.067170	0.069487	17437.298716
8800.000000	0.088776	0.100105	21297.681360
8750.000000	0.078762	0.075947	19009.273331
8700.000000	0.087502	0.097507	22888.247867
8650.000000	0.086311	0.101964	21846.844904
8600.000000	0.111994	0.096673	23638.733304
8550.000000	0.101981	0.103972	25307.223521
8500.000000	0.110930	0.143534	27593.346171
8450.000000	0.106384	0.097731	26440.151117
8400.000000	0.113854	0.105279	27182.020359
8350.000000	0.106437	0.106239	27294.275435
8300.000000	0.119279	0.109837	28546.516487
8250.000000	0.107396	0.096327	26721.296306
8200.000000	0.123438	0.149537	27206.965779
8150.000000	0.118395	0.145922	27295.463881
8100.000000	0.112701	0.100247	27369.361456
8050.000000	0.127197	0.117870	26200.414752
8000.000000	0.122449	0.155002	27897.680104
7950.000000	0.130470	0.178833	27954.682137
7900.000000	0.113562	0.105296	28031.572726
7850.000000	0.129449	0.160979	26757.293470
7800.000000	0.135414	0.182044	27252.794121
7750.000000	0.118380	0.130478	25296.565249
7700.000000	0.114999	0.120930	24436.423519
7650.000000	0.124607	0.130415	24847.147329
7600.000000	0.123090	0.143794	23226.183846
7550.000000	0.119160	0.204029	23369.437719
7500.000000	0.108235	0.182369	21429.738612
7450.000000	0.117150	0.169763	22616.119494
7400.000000	0.091202	0.108913	20028.727197
7350.000000	0.094501	0.132699	19399.507478
7300.000000	0.110502	0.127429	21194.967222
7250.000000	0.114031	0.218270	18648.594596
7200.000000	0.100695	0.112742	21355.077617
7150.000000	0.110034	0.197201	19499.734588
7100.000000	0.110404	0.174381	23674.269011
7050.000000	0.104003	0.131312	20777.898921
7000.000000	0.114474	0.197626	23737.816207
6950.000000	0.115485	0.147288	23525.408321
6900.000000	0.117277	0.109373	26823.828639
6850.000000	0.112666	0.155570	24628.514821
6800.000000	0.122124	0.172915	26415.842737
6750.000000	0.113436	0.175359	24980.901758
6700.000000	0.109654	0.106362	26902.377347
6650.000000	0.108802	0.110416	22738.232800
6600.000000	0.114846	0.190076	21878.403074
6550.000000	0.099948	0.153244	19257.621171
6500.000000	0.087850	0.100358	20485.196638
6450.000000	0.090236	0.114724	17299.432872
6400.000000	0.086396	0.105928	16590.467151
6350.000000	0.096374	0.171716	17444.605323
6300.000000	0.092049	0.151145	16736.462626
6250.000000	0.156868	0.198763	16672.780715
6200.000000	0.086729	0.138320	17148.874005
6150.000000	0.097875	0.154404	18732.502088
6100.000000	0.149895	0.184028	19048.847402
6050.000000	0.096167	0.127047	20981.793764
6000.000000	0.110770	0.164857	22211.144031
5950.000000	0.105941	0.164305	22087.289628
5900.000000	0.164567	0.190605	22563.991470
5850.000000	0.105268	0.114208	21600.304328
5800.000000	0.106102	0.194583	21513.700755
5750.000000	0.093449	0.135958	19410.731120
5700.000000	0.089078	0.089372	19984.520507
5650.000000	0.082668	0.091480	17278.375443
5600.000000	0.080401	0.092096	17556.840262
5550.000000	0.076776	0.118706	15711.674360
5500.000000	0.069364	0.077702	16472.158854
5450.000000	0.055333	0.070457	10911.346291
5400.000000	0.057915	0.109001	6242.531343
5350.000000	0.045362	0.137001	3011.729179
5300.000000	0.040396	0.150610	1136.925578
5250.000000	0.040584	0.146686	428.399905
5200.000000	0.035690	0.136296	233.182899
5150.000000	0.035520	0.129722	81.577249
5100.000000	0.033853	0.133233	69.399907
5050.000000	0.042382	0.143737	24.819702
5000.000000	0.047801	0.144063	11.485621
4950.000000	0.048735	0.138483	18.149269
4900.000000	0.045042	0.146850	8.761654
4850.000000	0.045726	0.119433	22.900156
4800.000000	0.043323	0.139968	25.263825
4750.000000	0.037898	0.097390	7.420521
4700.000000	0.035840	0.108583	87.903697
4650.000000	0.033264	0.109696	31.376095
4600.000000	0.028218	0.106594	6.770263
4550.000000	0.039977	0.125523	61.569791
4500.000000	0.029646	0.108770	31.506361
4450.000000	0.026112	0.099379	58.883247
4400.000000	0.031517	0.068792	31.467004
4350.000000	0.024276	0.064113	97.423776
4300.000000	0.028625	0.048805	119.607428
4250.000000	0.015457	0.041866	9.967047
4200.000000	0.016080	0.028783	50.986502
4150.000000	0.008892	0.019177	23.286572
4100.000000	0.008165	0.015717	57.439732
4050.000000	0.006098	0.012262	39.022363
4000.000000	0.004178	0.008534	50.337656
3950.000000	0.005037	0.008743	32.509357
3900.000000	0.006696	0.019569	42.162732
3850.000000	0.014713	0.036315	41.652700
3800.000000	0.020652	0.078052	39.842175
3750.000000	0.036720	0.093674	27.364028
3700.000000	0.034221	0.127742	17.248732
3650.000000	0.036896	0.119935	9.174322
3600.000000	0.040890	0.160793	9.624668
3550.000000	0.036874	0.139096	8.461196
3500.000000	0.036716	0.139693	8.586878
3450.000000	0.030491	0.120335	7.312901
3400.000000	0.045475	0.121660	8.085772
3350.000000	0.036547	0.098399	5.794910
3300.000000	0.046774	0.073283	4.215069
3250.000000	0.015040	0.041226	2.985533
3200.000000	0.059137	0.075052	3.935803
3150.000000	0.012944	0.047742	3.141246
3100.000000	0.027867	0.035462	1.278777
3050.000000	0.007302	0.015041	0.718078
3000.000000	0.017020	0.033130	1.670307
2950.000000	0.020495	0.028174	1.271546
2900.000000	0.006825	0.007031	0.439681
2850.000000	0.005941	0.006740	0.512622
2800.000000	0.004902	0.008946	0.787622
2750.000000	0.005936	0.006703	0.683193
2700.000000	0.001687	0.002682	0.481660
2650.000000	0.003636	0.004224	0.484101
2600.000000	0.002107	0.003130	1.664147
2550.000000	0.006486	0.007626	2.209099
2500.000000	0.001849	0.002122	0.194123
2450.000000	0.005975	0.007059	0.421256
2400.000000	0.001576	0.001739	0.095166
2350.000000	0.001685	0.002118	0.048481
2300.000000	0.003048	0.003353	0.076944
2250.000000	0.001426	0.001669	0.050007
2200.000000	0.001528	0.001982	0.047180
2150.000000	0.001309	0.001741	0.042392
2100.000000	0.002394	0.002472	0.094975
2050.000000	0.001393	0.001692	0.046356
2000.000000	0.001356	0.001477	0.031369
