

# HP is LO, Hittite is not connected to signal chain
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
10000.000000	15.618469	26.635362	599.802358
9990.000000	16.208320	26.440005	592.871632
9980.000000	18.427598	36.393257	895.537930
9970.000000	18.504013	30.947174	616.264435
9960.000000	18.924854	34.001529	562.942768
9950.000000	16.034992	28.585208	646.165489
9940.000000	17.012665	27.991424	580.078059
9930.000000	19.874021	37.438745	552.146755
9920.000000	19.138578	30.594225	598.005819
9910.000000	16.820732	28.004831	663.034032
9900.000000	13.543095	19.272053	718.040313
9890.000000	19.116106	43.080509	591.595150
9880.000000	18.595386	35.462775	683.147379
9870.000000	18.141190	36.402426	600.750728
9860.000000	18.115696	32.782833	706.686487
9850.000000	19.455675	36.079538	761.920253
9840.000000	21.376699	42.074189	609.808841
9830.000000	22.743828	41.422779	742.170075
9820.000000	20.024889	34.387547	564.198580
9810.000000	21.904498	36.803769	694.772436
9800.000000	22.967288	46.690159	802.883541
9790.000000	21.250219	34.898214	707.729241
9780.000000	18.495687	27.349061	430.440187
9770.000000	17.671287	29.884241	516.986987
9760.000000	18.695573	27.248475	491.011849
9750.000000	25.743981	43.445501	588.507541
9740.000000	21.948211	29.156058	762.281968
9730.000000	22.034281	30.262035	584.955503
9720.000000	19.363552	38.346983	441.198488
9710.000000	19.377059	26.100392	619.610381
9700.000000	16.948985	23.304555	509.837320
9690.000000	19.381922	40.344289	861.859053
9680.000000	14.449672	18.924706	520.313274
9670.000000	15.394361	20.506648	705.849857
9660.000000	17.884490	20.653572	810.803238
9650.000000	18.660035	26.082086	625.264565
9640.000000	18.586590	27.296359	844.059580
9630.000000	21.994378	32.042492	577.728280
9620.000000	18.958122	23.367090	701.651037
9610.000000	20.806708	35.934417	521.402337
9600.000000	18.188055	23.868536	772.691398
9590.000000	18.456813	31.265582	641.179921
9580.000000	18.564193	23.689824	588.482303
9570.000000	17.757209	25.247433	599.653541
9560.000000	16.395108	21.966467	700.812517
9550.000000	16.798038	22.571511	479.013932
9540.000000	15.725913	25.482809	535.560969
9530.000000	16.537758	24.295956	601.611886
9520.000000	17.993453	26.821419	604.072199
9510.000000	18.791910	31.601531	504.091395
9500.000000	18.467857	31.126021	530.953732
9490.000000	16.168306	28.575496	556.607898
9480.000000	17.261950	28.469497	593.964654
9470.000000	17.021595	36.508611	486.156739
9460.000000	15.828270	27.326526	362.356813
9450.000000	14.695338	25.299273	566.048540
9440.000000	14.464825	22.197239	413.635168
9430.000000	14.781764	24.106248	552.644884
9420.000000	15.710408	23.276926	846.169674
9410.000000	15.436699	26.611690	523.312463
9400.000000	17.917545	29.571996	645.381275
9390.000000	17.153705	24.381915	610.909270
9380.000000	17.091691	36.433789	445.248777
9370.000000	17.115756	26.943972	494.772621
9360.000000	17.763414	36.880602	588.197346
9350.000000	14.639670	21.223117	539.363714
9340.000000	14.528190	24.852361	623.288074
9330.000000	15.138729	28.228492	602.860232
9320.000000	12.247647	19.078765	395.470025
9310.000000	14.167216	24.052617	572.479034
9300.000000	12.953504	17.491219	540.573778
9290.000000	14.104599	22.449168	467.178716
9280.000000	17.181487	27.181771	619.568201
9270.000000	17.671154	30.810244	612.634980
9260.000000	15.792146	19.899160	513.403500
9250.000000	16.030076	38.350794	550.190062
9240.000000	14.168721	24.376089	514.497118
9230.000000	15.766078	28.430711	606.099525
9220.000000	14.868614	24.722060	441.164831
9210.000000	15.988082	21.629373	503.432997
9200.000000	15.320854	27.399156	535.159232
9190.000000	16.209529	25.417663	492.917857
9180.000000	14.780199	24.260926	544.649954
9170.000000	16.062569	32.107688	491.513985
9160.000000	14.997568	34.033746	778.018685
9150.000000	14.549727	19.784971	517.786250
9140.000000	14.606437	25.002973	444.194506
9130.000000	14.432249	25.569968	537.948283
9120.000000	14.799053	24.222810	455.332006
9110.000000	15.792376	31.396477	625.522389
9100.000000	14.478640	18.540361	353.429510
9090.000000	13.210291	24.495597	560.913915
9080.000000	12.279873	16.464355	390.994922
9070.000000	14.276496	22.090701	424.733676
9060.000000	14.179233	19.585080	452.303457
9050.000000	15.118940	26.802943	710.602573
9040.000000	15.072821	25.766705	510.485854
9030.000000	14.155006	21.564716	377.088415
9020.000000	13.678190	21.681318	540.890423
9010.000000	15.508556	27.749178	343.412170
9000.000000	15.622392	19.317408	602.787955
