

# Hittite as LO, HP as RF (-100dBm), no preamp, full postamp
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
10000.000000	426.355860	1255.795132	20115.410583
9990.000000	471.519932	1368.165098	18195.074364
9980.000000	405.267841	1105.403513	19905.593084
9970.000000	447.007878	1029.352496	16767.166411
9960.000000	374.398234	1026.256533	17131.197649
9950.000000	435.863338	1382.508147	13626.996114
9940.000000	427.233112	917.745757	17030.728978
9930.000000	386.043352	1128.373320	15176.345503
9920.000000	348.052651	1011.756589	18205.996395
9910.000000	380.325642	1563.595283	19048.286648
9900.000000	352.351189	896.482736	17446.276904
9890.000000	340.600047	807.520501	21439.758457
9880.000000	406.279782	1199.389468	19795.832480
9870.000000	337.573613	983.537151	18780.047437
9860.000000	362.582812	1209.102149	16937.017384
9850.000000	356.782106	967.664830	21734.778399
9840.000000	351.507656	1066.957185	16631.151259
9830.000000	341.757440	1344.018734	17985.654531
9820.000000	328.606446	1156.493237	18523.631573
9810.000000	383.153782	1294.192518	22820.242452
9800.000000	342.858917	1196.261310	19705.039533
9790.000000	349.616671	1174.328108	19938.399839
9780.000000	343.137308	1159.364385	20859.918882
9770.000000	368.411405	1299.267056	20499.365800
9760.000000	267.151285	759.795115	19113.249959
9750.000000	367.552569	1256.696514	21651.861948
9740.000000	430.642492	1972.992803	21907.033966
9730.000000	368.516120	1402.533687	21670.561788
9720.000000	325.781021	892.696139	19746.810083
9710.000000	377.705922	1138.892664	25970.285832
9700.000000	370.160081	947.235646	21217.442274
9690.000000	344.015666	818.545432	19877.777985
9680.000000	341.032302	1099.913935	22703.404815
9670.000000	369.297911	1643.695603	21787.452075
9660.000000	351.020020	1322.903598	22883.619043
9650.000000	432.941762	1526.559893	23727.461164
9640.000000	417.480588	1593.318151	25099.420150
9630.000000	342.221116	1104.714627	23360.944893
9620.000000	389.411008	1520.797228	21254.252728
9610.000000	356.255723	1480.891676	24408.633177
9600.000000	341.156971	1544.535035	23498.050671
9590.000000	393.222549	1198.707294	24708.832853
9580.000000	395.289089	1657.741887	21729.931510
9570.000000	367.282211	1016.141970	21232.738963
9560.000000	380.324709	1221.522370	24856.992094
9550.000000	402.637377	1595.477518	26285.292419
9540.000000	472.556371	1603.961970	23225.247311
9530.000000	419.255045	1403.391296	27634.676915
9520.000000	500.712200	1881.235366	24561.825808
9510.000000	372.733476	1717.165702	24718.700864
9500.000000	449.814818	1829.467153	26233.596437
