

# 20dB att inserted
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
10000.000000	465.085997	1265.038122	25379.098651
9990.000000	471.235564	1510.852817	24036.888705
9980.000000	423.410435	1326.349974	23132.530083
9970.000000	414.284811	1870.017557	22827.539123
9960.000000	398.840815	1346.960413	23146.448237
9950.000000	398.433146	1933.555667	22981.606737
9940.000000	441.486832	2566.340808	22114.926832
9930.000000	396.093240	1449.755758	20426.562735
9920.000000	387.477765	1881.017048	23548.051147
9910.000000	396.187461	1644.069859	25002.440730
9900.000000	495.560487	2327.909331	28925.731145
9890.000000	458.086622	1635.118937	23343.913001
9880.000000	380.105828	1421.827107	28235.532315
9870.000000	333.048607	927.615925	28410.627457
9860.000000	461.305050	2023.677043	22921.550973
9850.000000	348.516176	1185.834468	22266.553812
9840.000000	435.190145	1491.000200	20754.093944
9830.000000	396.623477	1590.465149	19549.707576
9820.000000	401.176565	1552.057632	23603.306907
9810.000000	351.050953	1254.921632	20930.048689
9800.000000	314.969231	1287.791174	23513.869824
9790.000000	381.009895	1489.481761	25375.349823
9780.000000	369.243228	1264.345253	27022.726527
9770.000000	514.158215	2356.983498	31544.492770
9760.000000	511.575638	1731.112148	30168.950109
9750.000000	394.194399	1269.248118	27944.717161
9740.000000	378.530936	1697.194982	24452.904879
9730.000000	410.545120	1926.508747	22090.914316
9720.000000	425.958403	1718.765037	25847.015286
9710.000000	375.429511	1502.896715	26113.780817
9700.000000	454.156937	1760.663373	28028.231586
9690.000000	569.317455	2673.534008	32639.206531
9680.000000	454.478280	1099.454437	32090.254909
9670.000000	543.802262	1883.191415	30352.728454
9660.000000	426.284056	973.031631	35471.683945
9650.000000	456.809018	1449.226778	36071.209136
9640.000000	442.308599	1168.168207	27059.175276
9630.000000	512.561831	1817.289975	29681.701026
9620.000000	457.996197	2480.738578	30012.863293
9610.000000	458.057979	2008.664321	30624.392843
9600.000000	468.587439	1870.411340	28725.700833
9590.000000	493.939156	1765.860376	27300.972284
9580.000000	453.326695	1583.794759	32322.694250
9570.000000	538.469220	2210.850053	32442.567769
9560.000000	517.230224	2466.694153	33964.487733
9550.000000	546.743686	2057.125723	37299.672666
9540.000000	478.134361	2272.156436	34892.316765
9530.000000	613.110846	2721.103441	31588.950059
9520.000000	473.646204	1658.092351	29659.386327
9510.000000	531.626465	1980.133216	32020.177696
9500.000000	443.688137	1729.621338	33698.752983
