

# Full monty
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
10000.000000	727.038680	2411.204439	33203.363215
9990.000000	691.171238	1711.547651	24968.426249
9980.000000	653.729159	1745.496149	34340.197123
9970.000000	731.186008	1728.347152	32255.950055
9960.000000	783.908412	1852.811389	23412.988758
9950.000000	743.676849	2505.823819	35744.441958
9940.000000	622.266363	1706.486549	28484.640648
9930.000000	699.180393	1775.868358	25856.949029
9920.000000	574.141397	1361.862270	23454.056336
9910.000000	665.108772	1822.790821	27286.187505
9900.000000	533.517366	1181.774101	22389.659498
9890.000000	536.635470	1235.239018	29311.889212
9880.000000	529.895828	1019.059839	30118.486711
9870.000000	621.895398	1898.856652	25846.503546
9860.000000	622.298795	1355.269481	25394.673064
9850.000000	603.077753	1967.160269	23349.845486
9840.000000	559.662987	1510.452531	21515.085829
9830.000000	542.587941	1540.043186	21120.385250
9820.000000	560.547317	1211.211851	25748.683402
9810.000000	558.302883	1219.173116	20217.768996
9800.000000	529.962294	1056.430588	21462.307256
9790.000000	651.543472	1658.554249	21467.034114
9780.000000	522.728216	1272.354686	20353.885774
9770.000000	569.178528	1329.888908	16438.646508
9760.000000	579.503868	1297.529002	20281.941547
9750.000000	496.355788	1125.562116	17394.840979
9740.000000	483.443084	676.829614	22109.138349
9730.000000	448.113636	937.280630	22423.026707
9720.000000	516.987468	1213.936858	16447.486945
9710.000000	511.016146	911.313642	15120.963458
9700.000000	551.358650	1076.782454	19238.689390
9690.000000	500.287823	836.742155	16510.214640
9680.000000	527.788612	1055.662944	16854.506471
9670.000000	475.997141	790.164359	18445.229772
9660.000000	470.738373	733.681239	14042.406435
9650.000000	434.025364	758.017363	17161.627886
9640.000000	534.918637	1088.502091	17271.912466
9630.000000	499.982943	986.203830	14958.904003
9620.000000	578.974196	974.519033	19944.276422
9610.000000	541.070481	786.771327	10193.744720
9600.000000	549.422962	1104.099111	22464.580232
9590.000000	585.720974	1192.970036	13373.988424
9580.000000	591.606509	1274.427464	18431.256066
9570.000000	613.515014	1301.367816	31912.306717
9560.000000	924.344072	2203.995224	26988.251775
9550.000000	808.730037	1508.516137	35785.834407
9540.000000	706.432980	1470.538511	25110.125109
9530.000000	943.971741	2076.733861	29145.260984
9520.000000	859.070754	2477.342466	23398.923925
9510.000000	678.139722	1398.519185	26419.680062
9500.000000	804.541077	1720.985419	19627.755297
