

# Extended sweep
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
9490.000000	714.188236	1636.328901	26237.621557
9480.000000	908.059352	3008.053723	26383.120193
9470.000000	816.345588	1673.569379	39560.593488
9460.000000	806.014151	2106.337042	34791.552675
9450.000000	881.221939	2663.215142	30539.932944
9440.000000	1022.389449	2798.884056	30089.368120
9430.000000	895.920240	2451.438972	31215.179981
9420.000000	798.156192	2666.277009	36065.574397
9410.000000	898.122107	2155.215359	37219.573570
9400.000000	943.106506	2023.479950	34207.081814
9390.000000	964.558456	3267.574989	26632.457798
9380.000000	814.521000	1639.551754	30702.041490
9370.000000	1009.810070	3328.236884	38209.512103
9360.000000	748.278181	1674.468556	33426.134759
9350.000000	851.268062	3021.876304	43041.911282
9340.000000	951.732333	2645.117592	50878.010149
9330.000000	924.681378	1462.505556	47500.604759
9320.000000	995.748788	3158.847372	41645.355562
9310.000000	1104.502867	2368.968982	43753.695069
9300.000000	912.821200	1861.702039	33107.114054
9290.000000	1042.004783	2737.552253	39903.356290
9280.000000	892.416879	1739.551415	37755.400925
9270.000000	1061.655389	2945.426617	46453.763008
9260.000000	943.187238	1381.114020	45700.905241
9250.000000	973.336705	2352.391776	36891.706562
9240.000000	1226.104585	2821.617840	50891.050939
9230.000000	1352.307443	4709.381542	47877.472236
9220.000000	1377.448775	4168.011778	51621.423798
9210.000000	1179.313469	3312.680567	46643.664000
9200.000000	1387.400568	4150.913270	54496.918716
9190.000000	1248.609665	3520.325129	48022.700188
9180.000000	1521.502930	5471.449482	50643.110067
9170.000000	1355.189719	3956.923380	40453.253157
9160.000000	1366.080898	4800.724046	51014.004929
9150.000000	1202.802867	3856.546673	46109.602577
9140.000000	1615.900476	3933.875322	48096.293517
9130.000000	1234.650303	3664.200347	59782.584924
9120.000000	1267.304965	3632.975234	43477.218177
9110.000000	1395.758346	2603.020567	44805.539858
9100.000000	1194.816236	3086.392668	54858.907877
9090.000000	1251.365871	4050.720358	51404.451743
9080.000000	1535.225701	5086.496762	44317.458140
9070.000000	1556.819804	6434.510382	48740.325463
9060.000000	1343.130731	4882.945864	43688.056714
9050.000000	1675.335226	7198.131214	68707.192256
9040.000000	1419.041634	4496.517471	57067.051944
9030.000000	1281.339234	3541.862796	47810.515763
9020.000000	1295.980007	4475.930064	50254.129181
9010.000000	1643.061431	6835.803648	48869.998282
9000.000000	1386.971931	4182.893096	51788.542358
8990.000000	1374.822420	5202.285478	51648.571794
8980.000000	1675.446677	7360.209894	50130.717653
8970.000000	1398.834376	5149.864090	50104.769665
8960.000000	1746.589267	9231.145432	46496.221258
8950.000000	1414.178008	5102.322368	56331.185780
8940.000000	1547.218592	6978.177756	50159.761186
8930.000000	1508.737988	3731.030399	37857.657037
8920.000000	1530.019828	6200.252612	49321.592614
8910.000000	1564.448456	5177.841632	47122.757578
