

# Peakfind is corrected
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
10000.000000	1394.447237	3555.569779	2308606.463151
9990.000000	1166.678214	4476.810687	1810401.078762
9980.000000	1316.247987	4214.477828	1015675.929840
9970.000000	1436.065173	4974.621445	1823353.043567
9960.000000	1224.914460	4224.852689	704071.024160
9950.000000	1198.322294	4313.883268	192639.924827
9940.000000	1344.003260	3472.681202	1047986.744330
9930.000000	1330.966609	4082.091403	3071560.623822
9920.000000	1262.737797	4613.544853	5621763.816922
9910.000000	1108.564786	3436.271991	1273243.245003
9900.000000	1209.444111	4363.455956	2104639.661078
9890.000000	1145.354938	4272.615490	1280258.221875
9880.000000	1206.111008	5052.648111	735308.130639
9870.000000	1149.577436	3704.461980	1051069.530631
9860.000000	1309.641597	4639.092529	476213.645784
9850.000000	1276.214376	5052.626684	1630491.971854
9840.000000	1251.136545	3452.912016	1539933.383277
9830.000000	1172.753030	5202.103905	2463066.144230
9820.000000	1061.612369	2973.249198	2771668.512603
9810.000000	1201.971236	4448.913611	677447.187780
9800.000000	1115.366003	4136.423097	1426917.644209
9790.000000	932.301991	2732.066698	434675.642258
9780.000000	1129.013062	4652.992533	1080309.813948
9770.000000	1084.632181	3856.139722	2363612.379987
9760.000000	1166.144279	3797.626111	1185983.360720
9750.000000	1029.617069	3528.428623	3625438.169200
9740.000000	1002.193935	2765.624440	2514826.327509
9730.000000	970.229117	3190.824566	2173759.973848
9720.000000	1027.179444	3139.939466	3244036.044775
9710.000000	925.587904	4328.769242	1253419.193001
9700.000000	938.696438	2882.949836	1469801.966185
9690.000000	940.887753	3054.662272	1776121.283225
9680.000000	988.957824	3977.571745	1861134.544380
9670.000000	987.144631	2970.598006	4479964.601386
9660.000000	894.110694	2618.578234	1944714.074992
9650.000000	970.535361	3008.476232	3610768.538858
9640.000000	1017.735528	2441.100095	1632492.748405
9630.000000	1119.030871	3550.665305	1424897.919349
9620.000000	1002.037458	3176.206789	2514628.107014
9610.000000	983.421627	3176.974404	870586.953865
9600.000000	1092.788561	3121.592915	563567.118499
9590.000000	1045.344783	3226.467845	205346.207639
9580.000000	855.945709	2547.475433	99731.387650
9570.000000	1002.951293	2316.589340	259292.213528
9560.000000	1053.030619	4606.543009	282477.333237
9550.000000	938.505113	2602.062501	887548.682957
9540.000000	950.078331	3401.347202	338879.388335
9530.000000	978.089795	2718.266614	284197.342960
9520.000000	945.527730	2792.773073	511680.913715
9510.000000	1072.655498	2690.392467	402772.409256
9500.000000	990.778684	2983.678003	2001979.298502
9490.000000	951.749497	3185.280010	1782359.456986
9480.000000	1073.553536	3628.316085	1631952.541453
9470.000000	1028.645970	4120.416956	1308590.201432
9460.000000	1132.380260	4483.871168	296415.230551
9450.000000	1132.214932	4742.443612	956107.902480
9440.000000	1202.095246	4883.584828	1098770.815671
9430.000000	1026.274808	3397.985122	1730316.425076
9420.000000	1014.478361	3122.694631	1270700.989384
9410.000000	1019.770918	2953.968801	833845.151565
9400.000000	1208.908856	2649.228461	1978336.555169
