# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
10000.000000	1127.282210	2888.587639	2753592.511129
9990.000000	1144.911803	4856.040739	2573658.403331
9980.000000	1228.670967	4750.439922	1487480.816377
9970.000000	1076.973546	3369.890343	2297113.504162
9960.000000	1157.352710	4083.974836	695432.169477
9950.000000	1140.836288	4784.456587	536237.832148
9940.000000	1116.414912	3887.636015	1524387.308945
9930.000000	1156.018948	3829.647704	3867441.018660
9920.000000	1060.278535	3756.541314	6793821.197921
9910.000000	1214.190398	5704.489474	2431587.891548
9900.000000	1068.807421	3973.629848	2650275.295266
9890.000000	1042.083871	4031.557376	1860869.320653
9880.000000	1185.881112	4154.668516	986185.662323
9870.000000	1003.099111	4723.766845	1778459.596037
9860.000000	940.295952	3178.982907	649552.974728
9850.000000	960.671523	2971.918031	2431574.176756
9840.000000	1029.719915	3095.565390	2354248.450562
9830.000000	1003.471496	2870.599470	2717077.456452
9820.000000	1010.501816	3406.142769	2690328.305365
9810.000000	849.547231	2929.556217	857809.040493
9800.000000	815.973752	2288.062963	1308131.687638
9790.000000	809.024707	1800.456359	398782.852647
9780.000000	915.792421	2521.785283	1335720.915721
9770.000000	871.871370	2530.927575	3214166.579995
9760.000000	1012.412459	3157.907339	1141662.474302
9750.000000	930.314376	3028.437755	3218706.986782
9740.000000	901.128494	2695.167637	3759590.612676
9730.000000	871.671527	2470.131535	3174130.561070
9720.000000	809.733107	2310.910303	4580950.762805
9710.000000	821.407328	2670.793887	1384040.838894
9700.000000	796.536059	2033.750570	1493741.655506
9690.000000	826.401430	2010.354792	2091112.102755
9680.000000	777.382540	2028.011045	1669622.731906
9670.000000	865.477873	2498.999544	4088587.285786
9660.000000	848.445497	2151.233536	1729531.852405
9650.000000	950.171577	2745.057565	3041740.409636
9640.000000	816.163457	2042.079055	1661043.119319
9630.000000	912.671082	2497.487009	1070514.354455
9620.000000	800.673338	2683.659672	2010881.737153
9610.000000	869.589757	2208.034941	659738.947640
9600.000000	815.790670	2236.767425	487148.665222
9590.000000	782.620641	1911.468326	314357.724940
9580.000000	800.120282	2014.657561	141278.864927
9570.000000	853.345022	2172.809216	308705.357141
9560.000000	818.868801	2421.847785	222359.873396
9550.000000	874.348581	2533.637467	902432.414523
9540.000000	908.144467	3283.368369	386864.717211
9530.000000	721.347031	1603.304590	293142.708938
9520.000000	868.864849	2396.974240	478535.404611
9510.000000	932.416229	3177.655642	387323.148179
9500.000000	954.676441	2776.500353	1885719.834213
9490.000000	921.353348	2408.352467	1734071.954937
9480.000000	791.377251	1634.619543	1707329.314182
9470.000000	785.941966	1364.680008	1589178.376533
9460.000000	968.758393	2897.123050	405531.488780
9450.000000	918.510506	2058.677704	1454577.839619
9440.000000	1030.074216	3224.287830	1117194.854897
9430.000000	993.359637	3809.175352	1752732.963241
9420.000000	975.301641	2814.500669	1361734.656164
9410.000000	950.695731	3062.371339	828768.006691
9400.000000	1208.525309	3945.524168	1636831.925393
9390.000000	1065.308211	3240.683520	1791669.488573
9380.000000	1083.713346	3149.142186	1781596.748182
9370.000000	905.333703	2042.376088	4844991.497917
9360.000000	1139.774464	3282.984290	2762995.808019
9350.000000	977.086671	2915.285995	4850180.340437
9340.000000	1016.645097	2611.574599	3507626.120345
9330.000000	973.406175	2007.561463	1720962.024625
9320.000000	1150.230584	3436.496085	1980490.493400
9310.000000	995.003101	3447.169401	978463.452108
9300.000000	1021.326732	2591.468046	3139010.434064
9290.000000	1082.357397	3259.216430	3020508.220564
9280.000000	958.450083	1871.387357	2972900.859243
9270.000000	1159.697904	3649.098869	2971919.547716
9260.000000	1060.463410	2721.920704	1400108.967640
9250.000000	909.111151	1890.777761	1862012.487894
9240.000000	1087.330934	3259.708012	356532.476731
9230.000000	1240.048221	4533.092057	154321.825267
9220.000000	1041.522591	3309.511876	1129603.656787
9210.000000	1211.773702	5099.075913	469792.082234
9200.000000	1095.945020	3729.250482	436096.061500
9190.000000	1075.396770	2896.298120	76632.556258
9180.000000	1001.424255	2754.118193	570614.304164
9170.000000	1104.457194	3432.702447	868247.599479
9160.000000	989.982994	2414.697346	678055.978670
9150.000000	1041.481019	2878.940866	928725.807601
9140.000000	1402.699419	6675.115603	1015115.032815
9130.000000	891.537275	2531.230882	645732.558741
9120.000000	1028.673384	2453.781965	1329127.650271
9110.000000	1161.915610	3469.234193	676980.319356
9100.000000	1425.430879	3866.039096	1460172.634563
9090.000000	1005.553503	2763.318039	1111928.649027
9080.000000	1397.893174	6378.770596	960956.020398
9070.000000	1248.235615	5265.650932	930156.037302
9060.000000	1093.673837	3770.844376	211187.018972
9050.000000	1186.758565	3055.926706	520061.515305
9040.000000	1101.378197	4043.246614	9182.368449
9030.000000	1227.572556	3363.103451	170763.683391
9020.000000	1122.976316	3891.704941	727733.213543
9010.000000	1018.101287	3077.501301	290813.073500
9000.000000	1123.935281	2953.518235	378310.172398
8990.000000	1151.634371	3517.709492	204940.152453
8980.000000	1111.665420	3138.531132	152964.177924
8970.000000	1260.089717	4631.234802	229874.586486
8960.000000	1089.205304	3287.926164	75315.049345
8950.000000	1330.372956	5162.762449	286264.545510
8940.000000	1083.043302	3974.241659	132319.592943
8930.000000	1215.777092	4312.881055	396738.177710
8920.000000	1030.393659	3723.916322	862715.528557
8910.000000	1218.888125	3783.770001	236737.395863
8900.000000	1051.194399	3045.946118	249742.416430
8890.000000	1136.460765	4032.741902	576174.947712
8880.000000	1148.281150	3050.400494	397819.315220
8870.000000	1117.796815	4112.349672	774279.430228
8860.000000	1201.345361	3252.071046	312425.752853
8850.000000	1158.447294	4741.044600	432678.022093
8840.000000	1063.048631	3984.800595	408244.116254
8830.000000	994.797879	2065.280837	503910.525566
8820.000000	1057.459755	3271.726611	1208214.956890
8810.000000	1157.686856	4076.214178	252718.840181
8800.000000	1256.973033	4757.126083	715927.431534
8790.000000	1045.282430	3058.792617	1240522.454761
8780.000000	947.290328	2983.247278	764829.255176
8770.000000	1123.478648	3033.936878	138835.884398
8760.000000	1195.762419	3703.892762	9525.048392
8750.000000	1241.002680	4762.398344	14983.381419
8740.000000	1244.344760	4727.765121	225531.409916
8730.000000	1066.585877	3388.409702	377180.153395
8720.000000	1115.197828	4503.820059	831465.222270
8710.000000	1079.318798	3737.327795	216115.534503
8700.000000	1074.350760	2721.638217	141226.860689
8690.000000	1067.770419	2660.460798	203717.898052
8680.000000	978.911950	3003.652156	157708.731555
8670.000000	1022.919235	2489.746471	842958.324751
8660.000000	1099.779045	2891.193608	131467.089627
8650.000000	1113.512054	3360.817887	401723.544995
8640.000000	1090.254157	3772.388554	636121.405440
8630.000000	1073.314866	3418.787566	428489.723468
8620.000000	977.525078	3444.452737	344353.775239
8610.000000	962.609318	3173.831115	39015.159996
8600.000000	1007.225405	3904.833961	138466.175945
8590.000000	1010.239723	3004.576936	80830.638302
8580.000000	899.530543	2265.217296	200762.648245
8570.000000	934.892511	2344.775674	791072.105115
8560.000000	917.367589	2389.533962	325913.330413
8550.000000	979.689005	3121.777789	174212.212105
8540.000000	948.980434	2628.315811	103289.660824
8530.000000	955.186300	2371.377092	13974.752311
8520.000000	929.253553	2336.875713	95381.705171
8510.000000	971.153160	2724.926940	25370.632416
8500.000000	916.443041	2387.989669	103293.241407
8490.000000	747.883421	1863.732313	199733.334328
8480.000000	1030.527385	3143.446368	307441.460175
8470.000000	1051.033068	3039.708208	936224.701674
8460.000000	1041.492469	3520.779985	303786.805467
