

# -100dBm from HP, with preamp
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
10000.000000	0.034110	0.047172	1315.207133
9950.000000	0.071374	0.093476	7974.385992
9900.000000	0.053022	0.057842	3863.296751
9850.000000	0.059795	0.081282	1630.820276
9800.000000	0.067378	0.068122	8319.775688
9750.000000	0.071289	0.078780	6446.182578
9700.000000	0.068405	0.065982	5343.000993
9650.000000	0.089538	0.091679	11273.594170
9600.000000	0.067167	0.066049	4942.452623
9550.000000	0.099231	0.105920	11021.406356
9500.000000	0.097514	0.118071	9004.080205
9450.000000	0.082080	0.090259	10022.637795
9400.000000	0.107703	0.102689	10280.129690
9350.000000	0.147311	0.136244	18616.872219
9300.000000	0.111197	0.138887	9675.706174
9250.000000	0.099709	0.113998	10627.725757
9200.000000	0.083397	0.095778	4646.470730
9150.000000	0.135884	0.149757	19052.457522
9100.000000	0.112117	0.113484	13413.485537
9050.000000	0.105339	0.109347	8862.202571
9000.000000	0.091299	0.098573	9437.228624
8950.000000	0.119186	0.124581	13805.629084
8900.000000	0.108725	0.102997	10859.257025
8850.000000	0.106972	0.124180	10431.316483
8800.000000	0.130746	0.125318	20616.018310
8750.000000	0.093358	0.089955	9135.021620
8700.000000	0.124380	0.115434	16764.016665
8650.000000	0.144214	0.137840	13857.724777
8600.000000	0.102022	0.096955	10069.444766
8550.000000	0.201384	0.224265	20846.819573
8500.000000	0.143044	0.136812	20452.035123
8450.000000	0.133214	0.144036	19431.753198
8400.000000	0.151830	0.143105	20552.208324
8350.000000	0.148758	0.145557	14579.044370
8300.000000	0.131964	0.115261	16335.015582
8250.000000	0.131624	0.143236	15676.138910
8200.000000	0.222462	0.217878	19598.501837
8150.000000	0.221990	0.209324	24058.947302
8100.000000	0.255482	0.241831	25301.192226
8050.000000	0.207916	0.211780	20733.321107
8000.000000	0.197032	0.203031	27273.430885
7950.000000	0.196224	0.192136	21170.537034
7900.000000	0.179225	0.170187	24387.923990
7850.000000	0.212244	0.228100	23097.109932
7800.000000	0.159079	0.179540	20066.205448
7750.000000	0.262362	0.248222	28743.248858
7700.000000	0.188021	0.174898	21681.115513
7650.000000	0.220116	0.212165	27016.539724
7600.000000	0.185282	0.171142	27961.717960
7550.000000	0.202860	0.194606	26496.457772
7500.000000	0.197297	0.188980	24511.338958
7450.000000	0.208979	0.241549	23106.285168
7400.000000	0.179951	0.167164	21030.186624
7350.000000	0.202973	0.217977	30258.986379
7300.000000	0.175474	0.175416	19717.257740
7250.000000	0.134591	0.167684	15188.428483
