

# Much less bandwidth
# Scan parameters: power 16.000000 dBm, bandwidth 0.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
10000.000000	0.138314	0.299056	26467.973291
9950.000000	0.191385	0.324811	151557.509134
9900.000000	0.184149	0.280328	78433.675073
9850.000000	0.247989	0.354405	34715.323022
9800.000000	0.229769	0.375932	162274.638324
9750.000000	0.307532	0.375851	133130.396221
9700.000000	0.272933	0.375919	110355.496253
9650.000000	0.279845	0.354939	215813.124398
9600.000000	0.234746	0.309696	92661.687746
9550.000000	0.238986	0.364367	221933.379021
9500.000000	0.262788	0.336206	180054.302081
9450.000000	0.236935	0.385683	191881.820579
9400.000000	0.299197	0.410497	199333.199290
9350.000000	0.354317	0.392714	356503.603571
9300.000000	0.273133	0.406982	194981.015478
9250.000000	0.278984	0.390666	203928.153604
9200.000000	0.278932	0.392961	96566.892963
9150.000000	0.353930	0.471448	377838.768172
9100.000000	0.264383	0.442557	266651.569609
9050.000000	0.299312	0.378844	177381.088489
9000.000000	0.325931	0.481787	180155.920105
8950.000000	0.361460	0.471638	258198.364028
8900.000000	0.460358	0.576253	203965.480532
8850.000000	0.365493	0.475301	212442.928749
8800.000000	0.301155	0.540296	406199.158530
8750.000000	0.261917	0.461034	174468.656362
8700.000000	0.756049	0.806341	327935.789071
8650.000000	0.550465	0.610585	269417.178986
8600.000000	0.450533	0.533007	203460.106558
8550.000000	0.859070	0.981344	454122.807594
8500.000000	0.687623	0.733235	395588.114951
8450.000000	1.032924	1.023655	393551.433232
8400.000000	0.487507	0.499706	401580.707244
8350.000000	0.452502	0.556367	289094.150517
8300.000000	3.805981	3.964768	323844.605263
8250.000000	2.238444	2.120135	308515.374785
8200.000000	6.037776	5.936639	390466.580337
8150.000000	0.500398	0.534051	485478.613354
8100.000000	0.511002	0.586211	506239.080666
8050.000000	2.866123	2.716754	402679.247770
8000.000000	0.731285	0.739995	537282.173636
7950.000000	0.468834	0.553629	419180.745261
7900.000000	0.515261	0.670934	495946.548000
7850.000000	0.436382	0.619205	482960.964784
7800.000000	0.417992	0.522406	399155.683713
7750.000000	0.652435	0.871100	576929.434372
7700.000000	0.554761	0.732345	423010.002003
7650.000000	0.483196	0.584809	550487.291149
7600.000000	0.522558	0.592178	563262.994575
7550.000000	0.541549	0.571670	534089.523430
7500.000000	0.656366	0.713588	500544.532692
7450.000000	0.454003	0.636082	453264.876914
7400.000000	0.492259	0.677703	422414.878567
7350.000000	0.500162	0.520624	624755.858271
7300.000000	0.371335	0.425870	391610.788748
7250.000000	0.509861	0.595664	309389.185291
7200.000000	0.412487	0.695015	629875.855907
7150.000000	0.342146	0.589554	435162.785615
7100.000000	0.572783	0.730954	235340.338591
7050.000000	0.313297	0.612307	295133.421513
7000.000000	0.494910	0.824846	228410.209444
6950.000000	0.284801	0.622331	205402.689176
6900.000000	0.465823	0.763468	243484.741962
6850.000000	0.382904	0.621623	307517.220077
6800.000000	0.255070	0.485029	363698.374020
6750.000000	0.414500	0.621579	269467.053317
6700.000000	0.777519	0.840659	216418.544264
6650.000000	0.352238	0.623824	222008.541494
6600.000000	0.278097	0.447318	283055.910092
6550.000000	0.335033	0.523188	160591.602225
6500.000000	0.630471	0.759191	383693.443080
6450.000000	0.353678	0.510594	276182.412301
6400.000000	0.965259	1.049197	183110.664136
6350.000000	0.392814	0.547929	321121.910105
6300.000000	0.308740	0.530187	260914.717800
6250.000000	0.464987	0.585414	308763.722689
6200.000000	0.331548	0.408547	364076.519583
6150.000000	0.418177	0.914911	200548.800149
6100.000000	0.746045	0.976530	177717.095072
6050.000000	1.214171	1.406811	641247.457988
6000.000000	1.205703	2.351678	166433.910195
5950.000000	1.207267	1.254494	639034.057437
5900.000000	1.260200	1.497055	655330.362560
5850.000000	0.712564	0.876419	196797.386439
5800.000000	0.778814	0.956054	1211071.632623
5750.000000	2.102130	2.083124	1007874.884887
5700.000000	1.097695	1.309300	504087.989854
5650.000000	0.546211	0.640916	618837.030184
5600.000000	0.580715	0.815819	481949.845670
5550.000000	0.474382	0.860362	294455.104155
5500.000000	0.343827	0.617502	795786.994651
5450.000000	0.312792	0.522869	234120.752162
5400.000000	0.361971	0.797207	1482592.552885
5350.000000	0.347106	0.508699	521983.946914
5300.000000	0.617511	1.045267	1197280.661716
5250.000000	0.413474	0.949694	542703.801784
5200.000000	0.670086	0.823338	1075728.650407
5150.000000	1.348923	3.797758	469026.136123
5100.000000	1.222588	6.397054	2362308.389414
5050.000000	1.248781	6.531176	1984050.441084
5000.000000	0.601522	1.143587	645153.618714
4950.000000	0.521810	0.713614	402017.132614
4900.000000	2.259099	3.877605	1345209.719386
4850.000000	2.267419	11.511685	2092168.578540
4800.000000	0.560725	0.875484	491651.034035
4750.000000	0.606179	1.412362	1510618.179696
4700.000000	1.110618	3.828737	336761.238136
4650.000000	1.548272	2.439009	90624.176974
4600.000000	1.585483	6.958586	265139.233373
4550.000000	1.619270	2.052441	752521.741399
4500.000000	0.622103	0.850942	1326248.031631
4450.000000	1.058604	2.025190	448214.362352
4400.000000	0.636866	1.220052	721038.764456
4350.000000	2.154284	2.405498	502043.073660
4300.000000	1.032128	1.124938	2231203.861588
4250.000000	0.810024	0.929211	453298.348893
4200.000000	0.487711	0.587220	1007864.960909
4150.000000	0.556502	0.814019	326863.129465
4100.000000	0.741567	1.363848	822883.209422
4050.000000	0.543893	0.798383	723847.579097
4000.000000	0.600089	1.551177	539830.072888
3950.000000	0.960538	2.410806	1352635.952376
3900.000000	0.465731	0.622283	288103.825420
3850.000000	0.652942	0.722375	387945.213815
3800.000000	0.832802	2.584016	850020.883752
3750.000000	0.485664	0.550212	653119.254011
3700.000000	0.767115	0.917123	640384.523141
3650.000000	0.403272	0.485204	587543.306688
3600.000000	0.388158	0.459607	656802.747492
3550.000000	0.376338	0.403587	640417.362199
3500.000000	0.333750	0.349793	357506.126085
3450.000000	0.319320	0.332036	570451.644291
3400.000000	0.367192	0.407704	765353.311846
3350.000000	0.295904	0.376569	307798.034224
3300.000000	0.305288	0.332615	217510.028964
3250.000000	0.222248	0.263703	372478.037760
3200.000000	0.345970	0.715734	314047.713418
3150.000000	0.297701	1.285410	510737.039381
3100.000000	0.211975	0.688006	663754.370323
3050.000000	0.087722	0.111591	161718.716037
3000.000000	0.194074	0.214476	441302.745381
2950.000000	0.148087	0.158907	162504.183580
2900.000000	0.065768	0.086760	68604.736183
2850.000000	0.057651	0.062359	31842.583493
2800.000000	0.086464	0.110077	111982.425716
2750.000000	0.052818	0.078884	26386.518578
2700.000000	0.015968	0.032965	7037.646184
2650.000000	0.057089	0.069553	26550.360854
2600.000000	0.018296	0.027538	8554.624030
2550.000000	0.026375	0.042603	7236.425746
2500.000000	0.010725	0.045350	3110.658590
2450.000000	0.025638	0.042286	9153.136491
2400.000000	0.013210	0.036697	973.365034
2350.000000	0.010439	0.029987	752.952788
2300.000000	0.018760	0.037494	3015.319574
2250.000000	0.010211	0.031921	730.276909
2200.000000	0.009415	0.024108	380.935185
2150.000000	0.009211	0.039543	197.691855
2100.000000	0.015867	0.041776	1809.207688
2050.000000	0.008547	0.031331	41.479924
2000.000000	0.008909	0.028248	88.375161
