

# Smaller steps this time
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
10000.000000	0.030250	0.037013	1335.811841
9980.000000	0.029050	0.048471	4924.532701
9960.000000	0.049916	0.075121	7690.192573
9940.000000	0.102543	0.116492	5840.779934
9920.000000	0.091106	0.092449	4098.988318
9900.000000	0.050748	0.052006	4014.581216
9880.000000	0.043882	0.059906	1653.166239
9860.000000	0.067099	0.128150	1290.148729
9840.000000	0.079191	0.083222	2057.880632
9820.000000	0.106841	0.168014	3986.291965
9800.000000	0.075255	0.083366	8466.437666
9780.000000	0.044962	0.053799	11279.576395
9760.000000	0.075735	0.116683	8521.306431
9740.000000	0.086401	0.085329	3944.466033
9720.000000	0.078048	0.087757	2393.497755
9700.000000	0.078362	0.085573	5629.933730
9680.000000	0.052544	0.060899	11040.773425
9660.000000	0.086550	0.092725	12881.678679
9640.000000	0.128133	0.141929	7147.072651
9620.000000	0.083688	0.075889	3852.644094
9600.000000	0.066884	0.069239	4536.188220
9580.000000	0.048802	0.056576	7719.836835
9560.000000	0.075268	0.074386	10703.720706
9540.000000	0.122531	0.114224	9684.494993
9520.000000	0.147496	0.142073	7520.713216
9500.000000	0.089650	0.083230	9181.392380
9480.000000	0.053561	0.052724	10480.457525
9460.000000	0.077556	0.083802	11059.205589
9440.000000	0.108687	0.107466	6957.227153
9420.000000	0.118644	0.108507	4818.390612
9400.000000	0.129252	0.115991	10057.345669
9380.000000	0.087603	0.095577	16856.903148
9360.000000	0.107158	0.126512	20292.685581
9340.000000	0.176420	0.176678	12217.137344
9320.000000	0.126439	0.122771	6731.856961
9300.000000	0.106036	0.116995	9700.386122
9280.000000	0.061000	0.066190	13175.262181
9260.000000	0.107151	0.099627	12239.201381
9240.000000	0.121102	0.134966	6949.088880
9220.000000	0.098979	0.103320	3629.432244
9200.000000	0.085499	0.086311	4837.718354
9180.000000	0.071404	0.079365	11015.003419
9160.000000	0.102537	0.105221	17310.193701
9140.000000	0.187987	0.196705	15427.613023
9120.000000	0.206361	0.219482	12197.433026
9100.000000	0.123201	0.117233	13099.780139
9080.000000	0.067698	0.076358	11690.106583
9060.000000	0.092254	0.112663	8649.759652
9040.000000	0.120763	0.123366	7080.201961
9020.000000	0.125275	0.117057	5979.482736
9000.000000	0.098579	0.101360	9182.274580
8980.000000	0.063210	0.061682	13026.755466
8960.000000	0.096905	0.096476	13752.780004
8940.000000	0.138885	0.151711	10412.699925
8920.000000	0.154298	0.139268	8387.438627
8900.000000	0.093451	0.110323	10718.470749
8880.000000	0.071941	0.092221	11355.457026
8860.000000	0.102720	0.107413	10950.937538
8840.000000	0.147801	0.160403	9514.061425
8820.000000	0.185394	0.185820	11500.583587
8800.000000	0.136427	0.142891	20798.059095
8780.000000	0.075227	0.105967	21297.864679
8760.000000	0.080955	0.087058	10487.241850
8740.000000	0.114931	0.113766	6604.589121
8720.000000	0.143305	0.148386	6950.230350
8700.000000	0.124698	0.129974	16022.672786
8680.000000	0.067422	0.071108	20773.702654
8660.000000	0.108743	0.112552	16883.735868
8640.000000	0.144508	0.141572	8853.095031
8620.000000	0.129117	0.115403	5197.131900
8600.000000	0.092580	0.140257	11036.416373
8580.000000	0.066443	0.083784	18308.698879
8560.000000	0.124809	0.134966	21499.237172
8540.000000	0.240724	0.241944	19258.885963
8520.000000	0.204016	0.193680	14809.415935
8500.000000	0.145935	0.159123	19816.124713
8480.000000	0.062855	0.066251	20153.336725
8460.000000	0.114896	0.112812	20290.707136
8440.000000	0.226278	0.215518	15496.223472
8420.000000	0.212261	0.209351	14065.118955
8400.000000	0.133139	0.126133	19569.274479
8380.000000	0.072005	0.071380	21338.093484
8360.000000	0.109480	0.107822	16358.198276
8340.000000	0.176685	0.188287	11607.974898
8320.000000	0.194670	0.171031	10767.208626
8300.000000	0.131856	0.133068	16139.824349
8280.000000	0.111727	0.113661	21265.517396
8260.000000	0.117803	0.118844	17926.520166
8240.000000	0.554864	0.573265	12468.810675
8220.000000	0.217202	0.205672	10683.894778
8200.000000	0.527472	0.540597	19935.245461
8180.000000	0.146434	0.146496	27210.002904
8160.000000	0.140274	0.162081	24354.156587
8140.000000	0.249386	0.251857	18942.918672
8120.000000	0.275346	0.291412	16857.616250
8100.000000	0.214852	0.210085	24946.887737
8080.000000	0.099917	0.107114	28510.209084
8060.000000	0.216745	0.240825	21434.565233
8040.000000	0.247852	0.231503	16716.322760
8020.000000	0.294921	0.333667	16122.459624
8000.000000	0.204180	0.191257	26601.377959
7980.000000	0.114616	0.105498	30520.436914
7960.000000	0.176385	0.185260	25097.807410
7940.000000	0.265345	0.267491	14901.414324
7920.000000	0.268026	0.271255	13268.177910
7900.000000	0.194822	0.177588	25135.572511
7880.000000	0.100351	0.099384	34128.101061
7860.000000	0.169123	0.227778	27950.317279
7840.000000	0.223069	0.200187	17653.067001
7820.000000	0.244996	0.268128	12670.761284
7800.000000	0.176774	0.189438	20159.604713
7780.000000	0.104842	0.134154	29522.906450
7760.000000	0.182981	0.168339	32095.279137
7740.000000	0.289920	0.273919	22511.077980
7720.000000	0.296998	0.275368	16866.021318
7700.000000	0.186951	0.159587	21930.008401
7680.000000	0.112834	0.122529	27463.856845
7660.000000	0.181494	0.195245	29242.200842
7640.000000	0.301504	0.278311	22271.504790
7620.000000	0.313479	0.307606	18618.071510
7600.000000	0.204856	0.195674	28765.060275
7580.000000	0.119236	0.138570	34269.173209
7560.000000	0.165674	0.177420	28645.228601
7540.000000	0.287804	0.274804	21379.572495
7520.000000	0.272299	0.269596	16238.066251
7500.000000	0.190644	0.228861	26201.101204
7480.000000	0.126620	0.146072	27947.499863
7460.000000	0.160716	0.159922	25985.497816
7440.000000	0.253376	0.266516	16718.676735
7420.000000	0.242436	0.258744	13151.121576
7400.000000	0.205378	0.188232	21530.893576
7380.000000	0.097170	0.094019	30608.367083
7360.000000	0.161180	0.129390	33360.737017
7340.000000	0.285682	0.254898	24101.112475
7320.000000	0.249994	0.238811	16613.801238
7300.000000	0.187906	0.208937	19505.963592
7280.000000	0.098894	0.132991	17107.204367
7260.000000	0.110657	0.110793	15146.307651
7240.000000	0.234523	0.262835	14203.074502
7220.000000	0.272828	0.258172	17078.036731
7200.000000	0.218529	0.275873	31210.226916
7180.000000	0.081118	0.084971	38962.407505
7160.000000	0.141798	0.165749	29055.399156
7140.000000	0.196698	0.191551	13848.751395
7120.000000	0.167857	0.177124	9253.975927
7100.000000	0.135993	0.157376	11445.828868
7080.000000	0.080939	0.100533	16787.216279
7060.000000	0.114229	0.121678	15580.383520
7040.000000	0.164792	0.187861	11739.965203
7020.000000	0.157286	0.163485	8610.063271
7000.000000	0.119919	0.135467	11346.922619
6980.000000	0.070781	0.144786	13027.692436
6960.000000	0.098013	0.145110	11716.966498
6940.000000	0.132724	0.136080	7804.295072
6920.000000	0.146919	0.171886	6343.443775
6900.000000	0.105508	0.128138	11903.240060
6880.000000	0.071453	0.103333	17859.228192
6860.000000	0.109575	0.119896	16979.509423
6840.000000	0.169664	0.172451	11323.593220
6820.000000	0.162157	0.169475	9829.147405
6800.000000	0.125482	0.144721	18349.334267
6780.000000	0.063491	0.098322	20952.116498
6760.000000	0.109452	0.178230	16471.532115
6740.000000	0.135590	0.152291	9100.727130
6720.000000	0.156938	0.162389	6606.562819
6700.000000	0.097752	0.109770	11268.074665
6680.000000	0.073337	0.115899	13468.046400
6660.000000	0.099717	0.146935	12295.899366
6640.000000	0.145126	0.155067	8370.861132
6620.000000	0.166880	0.203713	8648.261734
6600.000000	0.126805	0.141517	14474.865094
6580.000000	0.075374	0.123834	15185.917059
6560.000000	0.094237	0.119055	9670.634033
6540.000000	0.113431	0.105795	6453.619999
6520.000000	0.160982	0.154217	8214.589883
6500.000000	0.133696	0.164560	19019.405617
6480.000000	0.073038	0.108703	25149.113538
6460.000000	0.107082	0.125761	18988.663257
6440.000000	0.137163	0.143566	8610.501546
6420.000000	0.121872	0.144493	5320.213701
6400.000000	0.088585	0.099269	8922.831371
6380.000000	0.073586	0.123744	14812.805158
6360.000000	0.107518	0.117773	16916.265312
6340.000000	0.167177	0.145611	11802.773015
6320.000000	0.162807	0.152446	8194.037384
6300.000000	0.105829	0.117700	13170.128663
6280.000000	0.075113	0.102172	17541.988999
6260.000000	0.108826	0.107534	16268.402248
6240.000000	0.181806	0.182314	12534.232934
6220.000000	0.193260	0.164936	11781.353041
6200.000000	0.135498	0.161590	18804.132326
6180.000000	0.105439	0.139773	10483.344219
6160.000000	0.099695	0.165767	8076.126880
6140.000000	0.185441	0.247523	9595.272449
6120.000000	0.169028	0.204953	8093.915391
6100.000000	0.128824	0.191671	8869.619760
6080.000000	0.088662	0.123822	21748.649683
6060.000000	0.177420	0.232729	33936.091302
6040.000000	0.304839	0.379027	25302.569837
6020.000000	0.226675	0.381927	12027.386582
6000.000000	0.158965	0.394957	9389.396786
5980.000000	0.147564	0.206488	14687.005884
5960.000000	0.164218	0.172333	31269.723622
5940.000000	0.322274	0.335548	27637.439348
5920.000000	0.308462	0.276944	22013.925779
5900.000000	0.191526	0.197561	31544.061912
5880.000000	0.086438	0.095559	32023.838222
5860.000000	0.119579	0.137850	16162.197523
5840.000000	0.124732	0.124079	4516.696623
5820.000000	0.244217	0.225747	13667.370938
5800.000000	0.344027	0.332754	69134.971283
5780.000000	0.104583	0.161543	120134.530427
5760.000000	0.299265	0.306391	86253.995715
5740.000000	0.225560	0.251623	18288.645314
5720.000000	0.143859	0.167611	5804.946531
5700.000000	0.186553	0.193836	28617.515474
5680.000000	0.082368	0.088755	65122.310098
5660.000000	0.175768	0.179650	59282.739184
5640.000000	0.195010	0.207543	13130.606360
5620.000000	0.120346	0.140801	3825.762551
5600.000000	0.188632	0.220723	30673.794851
