

# -140dBm input on preamp, all amps on
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
10000.000000	282.974167	461.595286	133380.203585
9980.000000	303.238453	472.328505	76776.935441
9960.000000	338.956630	427.545842	143338.957691
9940.000000	419.440135	526.683178	275549.994177
9920.000000	381.401458	455.081502	260192.853055
9900.000000	344.958804	477.870882	482541.820799
9880.000000	376.847789	525.596375	803711.064643
9860.000000	403.608596	463.163326	611611.521175
9840.000000	596.478931	649.654007	158379.158384
9820.000000	475.636003	532.570405	86257.198218
9800.000000	524.527510	957.701375	120662.540175
9780.000000	441.186958	466.137192	46409.444587
9760.000000	515.099480	619.595851	20175.091939
9740.000000	575.495113	564.867848	23831.630344
9720.000000	635.939495	678.548435	86399.352724
9700.000000	565.695731	929.005523	180040.275719
9680.000000	489.029181	592.342397	142322.632143
9660.000000	477.237194	503.618492	37546.692364
9640.000000	587.415561	549.310490	12371.844068
9620.000000	636.481547	597.506209	17508.857289
9600.000000	495.827216	469.720631	107705.249528
9580.000000	502.977493	496.087778	111152.970244
9560.000000	513.328850	552.930164	100674.179535
9540.000000	572.902725	655.975898	212964.950959
9520.000000	650.901956	705.505853	259138.291885
9500.000000	694.394818	716.486172	430181.423876
9480.000000	632.771370	776.123563	364910.333319
9460.000000	584.224607	582.455632	94560.666303
9440.000000	637.229615	621.060216	41333.515211
9420.000000	725.287349	832.419274	184949.600230
9400.000000	713.815386	701.383147	297344.349565
9380.000000	661.347553	690.908216	363916.361129
9360.000000	655.461836	712.832193	375713.604693
9340.000000	627.987758	726.525102	375234.068835
9320.000000	641.077389	564.371877	245994.809645
9300.000000	627.643664	668.536325	284603.793335
9280.000000	626.331348	608.062359	118835.017428
9260.000000	681.970605	732.685234	18352.996488
9240.000000	679.870864	740.401305	78478.616204
9220.000000	684.645160	802.642380	183723.358769
9200.000000	694.234479	1172.545146	509497.253402
9180.000000	738.016201	667.368688	643149.074643
9160.000000	690.114267	753.744525	283693.489040
9140.000000	647.329009	671.268960	80526.748987
9120.000000	659.716664	755.286158	49141.457653
9100.000000	656.771764	642.717782	220392.707259
9080.000000	662.066770	833.929129	618110.405565
9060.000000	685.813135	859.348418	554942.490467
9040.000000	679.073595	661.381317	193912.913260
9020.000000	693.704119	877.632853	40271.822870
9000.000000	629.875390	673.842043	68928.733962
8980.000000	873.680921	1031.565506	208788.709125
