

# Same as before, do these peaks exist?
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
10000.000000	270.583198	348.699092	146250.190172
9980.000000	274.683031	367.814282	86807.311840
9960.000000	331.232271	399.917837	132193.830132
9940.000000	347.350043	391.064391	177747.666554
9920.000000	406.770452	523.400346	278385.067743
9900.000000	361.172400	439.582439	506996.113928
9880.000000	374.358439	399.881724	801638.229104
9860.000000	390.100541	463.227648	558883.449040
9840.000000	513.648865	514.552226	164796.950794
9820.000000	571.653424	572.226076	92173.544106
9800.000000	438.575647	621.507062	104499.737248
9780.000000	438.330111	423.094182	25645.381140
9760.000000	514.583106	541.384926	12956.473400
9740.000000	565.764712	616.315910	58266.223087
9720.000000	571.802128	587.324325	68067.796261
9700.000000	558.591416	669.133404	168802.821592
9680.000000	509.545260	561.929403	134771.167274
9660.000000	545.923232	566.004102	31896.741899
9640.000000	631.593365	677.341611	21164.154682
9620.000000	622.653196	682.834566	22741.709891
9600.000000	599.423609	644.213201	168518.853123
9580.000000	493.181417	592.659139	107723.724470
9560.000000	557.179871	634.818085	110271.073825
9540.000000	584.808448	642.523802	152294.072871
9520.000000	644.573659	618.064579	253967.133332
9500.000000	650.220586	720.758046	291859.500845
9480.000000	714.139022	742.036556	340896.885080
9460.000000	579.947460	677.518702	56036.147716
9440.000000	615.225837	585.622182	49746.202276
9420.000000	665.906199	897.551674	126707.032418
9400.000000	681.487418	776.638896	347776.372016
9380.000000	630.458462	682.736924	358439.133560
9360.000000	610.688288	683.046520	347760.715228
9340.000000	629.207481	590.005653	216821.334880
9320.000000	721.910867	682.699748	244237.013764
9300.000000	763.394346	845.706301	245858.115583
9280.000000	748.127205	828.104897	121572.619370
9260.000000	572.521012	751.697360	19386.491949
9240.000000	582.418811	564.571301	44607.326436
9220.000000	710.970817	810.017738	107016.489038
9200.000000	632.411658	626.595909	453370.951578
9180.000000	677.077399	729.367586	562951.258639
9160.000000	679.940576	732.821082	271341.269243
9140.000000	661.084515	668.341680	85133.716066
9120.000000	722.020300	660.010638	51145.156434
9100.000000	703.163390	707.000904	298570.502566
9080.000000	700.424218	743.551393	665050.131599
