

# Fine mazed sweep
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
10000.000000	389.432810	554.552138	180832.915969
9999.000000	319.898422	467.443001	218964.865761
9998.000000	381.913793	510.879067	111618.713323
9997.000000	328.280992	393.167825	180438.810437
9996.000000	268.097247	354.450320	223953.081149
9995.000000	271.645348	357.485843	107144.814213
9994.000000	283.117566	395.943245	202885.998172
9993.000000	296.092480	397.806157	162334.847483
9992.000000	277.794297	292.541272	136221.486142
9991.000000	330.694685	427.199690	189971.626398
9990.000000	257.982872	301.089797	79708.672081
9989.000000	289.663893	340.631959	176224.302188
9988.000000	285.293170	413.011089	163482.532629
9987.000000	300.626279	371.007051	83841.577516
9986.000000	311.947071	400.536865	135127.061917
9985.000000	259.573363	343.521860	128098.491254
9984.000000	313.911176	406.252217	55881.816428
9983.000000	327.947493	362.929542	158564.078491
9982.000000	296.417646	414.680228	92134.766740
9981.000000	275.617272	410.900994	73274.445855
9980.000000	269.013684	369.050423	97808.859811
9979.000000	310.980525	426.383392	59992.403788
9978.000000	258.668439	341.595403	52266.966309
9977.000000	272.975335	367.773266	61703.313828
9976.000000	306.138004	337.481426	61567.424779
9975.000000	270.745112	334.045539	51753.344898
9974.000000	298.256014	338.591441	55601.301167
9973.000000	379.527859	698.754112	31720.584789
9972.000000	352.024808	461.938686	62345.945982
9971.000000	355.841912	366.601453	69757.453649
9970.000000	425.363068	555.132889	23660.292866
9969.000000	407.785776	520.705038	63943.564896
9968.000000	409.098147	595.503655	57100.765074
9967.000000	349.959872	476.321967	45395.551708
9966.000000	356.753462	517.481066	88391.424559
9965.000000	396.942231	489.008612	94680.581520
9964.000000	382.932698	606.928199	72357.483318
9963.000000	393.430063	489.015762	127267.756859
9962.000000	396.687455	560.022168	49306.396048
9961.000000	473.738158	589.172744	132997.905004
9960.000000	401.578822	622.768641	121615.742932
9959.000000	400.662195	503.069369	80591.802202
9958.000000	402.342224	499.731205	143347.091414
9957.000000	455.225645	532.682467	134343.465801
9956.000000	399.931571	494.953200	101486.979371
9955.000000	401.730000	488.769448	162879.984581
9954.000000	420.645798	489.969226	107402.947697
9953.000000	367.503822	480.047109	115168.890269
9952.000000	356.335544	508.976872	143402.002574
9951.000000	417.266942	476.604100	90244.577226
9950.000000	383.253295	475.240868	133074.206291
9949.000000	327.889005	382.879683	203956.903893
9948.000000	397.218178	509.318456	106312.561172
9947.000000	367.168619	389.355083	173198.035113
9946.000000	398.277070	484.674274	254366.128122
9945.000000	313.983924	435.838248	84414.843452
9944.000000	379.902427	429.075827	265733.101300
9943.000000	332.488102	489.776171	187057.635091
9942.000000	392.584296	468.980487	194780.624378
9941.000000	368.627321	423.064617	299951.273152
9940.000000	373.562569	444.310611	183694.305770
9939.000000	393.286157	482.593005	274734.302441
9938.000000	356.008677	470.881187	262903.196356
9937.000000	335.758697	337.021392	148127.059524
9936.000000	397.672067	573.422410	326172.279082
9935.000000	398.112571	421.045937	361376.090747
9934.000000	490.539874	596.898327	210038.346825
9933.000000	417.638682	574.541414	358447.865637
9932.000000	391.441675	410.637907	378698.923853
9931.000000	403.033389	431.920165	276413.394515
9930.000000	429.156098	433.395649	451565.380167
9929.000000	490.807566	561.760941	346232.952330
9928.000000	383.062682	362.190067	333028.961793
9927.000000	417.887486	701.089768	520781.603266
9926.000000	442.273699	498.304994	236006.659057
9925.000000	456.204999	500.236487	364696.386410
9924.000000	434.633687	608.061030	522179.108480
9923.000000	501.385284	657.801813	237398.408700
9922.000000	486.773603	498.706500	499791.382994
9921.000000	425.242010	669.811899	457788.798987
9920.000000	490.939360	600.712085	348157.846126
9919.000000	457.076391	626.555521	585102.677939
9918.000000	403.997319	449.891926	369527.358507
9917.000000	467.629537	542.236794	353142.067963
9916.000000	435.555422	600.597947	485183.402038
9915.000000	450.182647	646.091912	344822.213270
9914.000000	419.145709	435.239149	361406.965715
9913.000000	376.372391	354.206467	508375.844474
9912.000000	390.217613	441.445928	203125.799308
9911.000000	400.158527	445.327015	416637.971418
9910.000000	372.258935	495.126933	399634.145381
9909.000000	302.945655	326.102884	209168.488343
9908.000000	315.783939	340.537424	404588.503537
9907.000000	345.077510	426.792732	467252.907709
9906.000000	346.877081	353.014218	322881.287864
9905.000000	362.179251	424.598337	514446.095150
9904.000000	372.808485	447.183760	309093.719258
9903.000000	356.643127	452.143472	419118.697588
9902.000000	356.965826	538.692001	486442.605925
9901.000000	319.761898	392.581397	299625.048962
9900.000000	330.536206	408.400093	545515.864655
9899.000000	329.921959	406.007901	551889.800577
9898.000000	335.362024	435.534243	267905.063143
9897.000000	342.366656	486.789830	621859.476269
9896.000000	356.682054	417.745252	653014.387319
9895.000000	357.849317	389.762469	382312.193000
9894.000000	332.810568	372.150995	612549.310627
9893.000000	365.720064	388.505104	478525.002133
9892.000000	389.275028	412.705144	521476.989872
9891.000000	356.337209	342.207516	724602.641553
9890.000000	441.961295	553.027348	499880.803218
9889.000000	393.101732	419.660105	627452.586806
9888.000000	439.536568	635.267762	873294.800919
9887.000000	404.348882	627.240989	319301.617094
9886.000000	442.014714	578.031599	683859.122536
9885.000000	371.288435	372.453114	689001.780430
9884.000000	419.125460	492.723608	328131.316423
9883.000000	423.133475	526.539245	850198.678129
9882.000000	447.155992	572.928791	532046.585768
9881.000000	485.469845	716.095796	527540.951587
9880.000000	493.255329	970.827812	773297.256047
9879.000000	449.586911	548.097714	536809.199153
9878.000000	526.477257	646.644948	537150.127392
9877.000000	426.386198	559.292356	833012.014428
9876.000000	475.294495	651.399739	332529.573917
9875.000000	472.781189	616.658747	607381.018109
9874.000000	489.002818	545.159057	676334.743923
9873.000000	452.170829	677.582365	358910.536389
9872.000000	380.884172	664.595213	623810.334823
9871.000000	411.569381	495.297361	568262.642823
9870.000000	448.145584	611.588859	294981.473569
9869.000000	414.455019	481.949676	662210.700426
9868.000000	370.662092	390.377908	523532.316308
9867.000000	428.431858	504.963322	533710.525149
9866.000000	377.480126	424.146660	692492.936898
9865.000000	429.977670	484.352647	403002.215539
9864.000000	451.781916	489.198283	458328.053556
9863.000000	458.143730	545.497245	610516.207551
9862.000000	415.610524	544.685287	284138.240616
9861.000000	453.134082	464.642189	609642.903715
9860.000000	420.972968	526.098220	592109.571924
9859.000000	457.211197	455.972267	323724.232241
