

# 7kHz offset, not 10kHz, Hittite driving the mixer, -70dBm from HP
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
2000.000000	0.083404	0.349676	6.107059
2001.000000	0.080965	0.373315	6.801337
2002.000000	0.084073	0.370140	5.739487
2003.000000	0.089067	0.416113	6.071394
2004.000000	0.083953	0.402644	5.538835
2005.000000	0.090272	0.410150	6.208819
2006.000000	0.088276	0.409701	6.103773
2007.000000	0.075981	0.346953	5.475720
2008.000000	0.083224	0.395087	5.990750
2009.000000	0.077934	0.366979	5.504843
2010.000000	0.080430	0.384538	5.962315
2011.000000	0.080981	0.364725	5.404912
2012.000000	0.084670	0.367565	6.185249
2013.000000	0.086247	0.410690	6.006767
2014.000000	0.082668	0.377660	5.788312
2015.000000	0.084104	0.378907	6.341967
2016.000000	0.085153	0.388758	6.460289
2017.000000	0.084186	0.388973	6.289629
2018.000000	0.083453	0.387866	5.969446
2019.000000	0.085897	0.390644	5.885298
2020.000000	0.093673	0.449838	5.733556
2021.000000	0.087707	0.388666	5.768270
2022.000000	0.082215	0.366203	6.416260
2023.000000	0.090865	0.401227	6.250776
2024.000000	0.149588	0.369585	4.207133
2025.000000	0.089428	0.415107	5.783406
2026.000000	0.092149	0.354961	4.336472
2027.000000	0.085101	0.378430	5.432899
2028.000000	0.086921	0.428547	6.208541
2029.000000	0.086590	0.381516	5.022629
2030.000000	0.078968	0.344597	5.573824
2031.000000	0.084736	0.389386	6.271437
2032.000000	0.084492	0.382300	6.663044
2033.000000	0.085967	0.392504	6.394563
2034.000000	0.078360	0.377258	6.205172
2035.000000	0.077596	0.339239	6.040849
2036.000000	0.084966	0.405984	6.210756
2037.000000	0.079132	0.362720	5.979763
2038.000000	0.080706	0.403924	6.535377
2039.000000	0.085260	0.406260	6.276823
2040.000000	0.090176	0.422655	5.569702
2041.000000	0.086193	0.380370	6.416461
