

# Fd
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
3851.000000	287.456734	299.508406	57959.622022
3853.000000	268.956696	243.135123	28451.383374
3855.000000	290.035195	303.731264	27496.023022
3857.000000	278.740531	303.305735	49564.510760
3859.000000	298.144114	311.863159	12034.181446
3861.000000	306.533591	309.458970	6328.381868
3863.000000	297.687731	299.066424	3002.097669
3865.000000	288.766030	310.494415	11458.668559
3867.000000	330.324861	328.958024	11284.971957
3869.000000	283.169335	274.813027	55092.661902
3871.000000	342.502460	355.905560	47756.671741
3873.000000	336.363344	321.332759	39011.880478
3875.000000	310.574571	292.638699	119616.992704
3877.000000	338.822432	336.578006	185861.877821
3879.000000	327.044105	293.989941	145729.306264
3881.000000	297.316041	300.392255	155957.677669
3883.000000	325.921226	337.717512	242827.653841
3885.000000	298.028797	288.944496	156086.508426
3887.000000	336.228402	327.940565	81708.539374
3889.000000	308.687730	294.610049	150511.894031
3891.000000	325.910406	342.390854	196276.097385
3893.000000	277.825815	251.678145	335739.593882
3895.000000	285.605064	303.510322	245792.413236
3897.000000	280.628154	309.969975	385101.558526
3899.000000	306.326025	347.496039	493485.709652
3901.000000	287.563732	334.474289	148091.665274
3903.000000	300.028802	301.300874	285487.695822
3905.000000	288.650180	291.175688	513601.255751
3907.000000	291.327229	286.226045	303735.270270
3909.000000	290.991703	273.771459	132436.637103
3911.000000	302.414792	288.028733	356547.965992
3913.000000	315.524371	336.142891	417031.650808
3915.000000	311.795274	349.828552	169780.074641
3917.000000	320.030682	287.976941	192527.688537
3919.000000	297.843671	318.552823	180967.956447
3921.000000	301.773722	323.092761	241087.794418
3923.000000	348.332055	360.393467	128864.052331
3925.000000	299.568415	260.961723	381010.156847
3927.000000	299.259895	299.742285	428940.893892
3929.000000	313.461691	271.261131	410623.883637
3931.000000	324.476930	351.988089	437889.668531
3933.000000	322.979060	307.200562	877640.924576
3935.000000	326.279733	326.682652	986941.893741
3937.000000	364.943920	373.622818	565100.523364
3939.000000	370.120573	355.723977	833987.574917
3941.000000	323.681367	342.348827	925058.204082
3943.000000	316.756524	296.477632	529526.868106
3945.000000	324.509168	338.271209	265041.384954
3947.000000	306.742283	318.630277	429572.702666
3949.000000	389.185150	391.163018	479301.480175
