

# 
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
3600.000000	0.001557	0.001820	0.700172
3600.050000	0.001606	0.001580	0.609090
3600.100000	0.001761	0.001941	0.374962
3600.150000	0.001775	0.001767	0.320936
3600.200000	0.001718	0.002031	0.372156
3600.250000	0.002014	0.002104	0.755829
3600.300000	0.001530	0.001573	0.629226
3600.350000	0.001754	0.001885	0.328879
3600.400000	0.001820	0.001911	0.407499
3600.450000	0.001723	0.001708	0.412034
3600.500000	0.001645	0.001655	0.320128
3600.550000	0.001860	0.001820	0.308997
3600.600000	0.001555	0.001370	0.352665
3600.650000	0.001596	0.001706	0.307406
3600.700000	0.001563	0.001619	0.787606
3600.750000	0.001607	0.001610	0.654442
3600.800000	0.001481	0.001380	0.434701
3600.850000	0.001636	0.001678	0.288577
3600.900000	0.001617	0.001584	0.292534
3600.950000	0.001788	0.001978	0.787448
3601.000000	0.001886	0.002046	0.211109
3601.050000	0.001549	0.001994	0.352965
3601.100000	0.001769	0.001890	0.335796
3601.150000	0.001500	0.001687	0.294536
3601.200000	0.001543	0.001627	0.170712
3601.250000	0.001652	0.001769	0.258880
3601.300000	0.001714	0.001636	0.362055
3601.350000	0.001728	0.001613	0.217399
3601.400000	0.001760	0.001606	0.260295
3601.450000	0.001728	0.001771	0.564497
3601.500000	0.001885	0.002117	0.416659
3601.550000	0.001793	0.001949	0.354307
3601.600000	0.001601	0.001724	0.360064
3601.650000	0.001436	0.001410	0.311751
3601.700000	0.001692	0.001699	0.630132
3601.750000	0.001600	0.001991	0.328791
3601.800000	0.001675	0.001655	0.380908
3601.850000	0.001650	0.001544	0.332546
3601.900000	0.001426	0.001332	0.165562
3601.950000	0.001579	0.001746	0.475716
3602.000000	0.001572	0.001556	0.333189
3602.050000	0.001723	0.001914	0.272566
3602.100000	0.001590	0.001563	0.372886
3602.150000	0.001427	0.001332	0.396214
3602.200000	0.001651	0.001834	0.248258
3602.250000	0.001619	0.001655	0.385574
3602.300000	0.001554	0.001595	0.428623
3602.350000	0.001721	0.001770	0.124749
3602.400000	0.001853	0.002036	0.498224
3602.450000	0.001806	0.002239	0.372715
3602.500000	0.001613	0.001690	0.254112
3602.550000	0.001868	0.001908	0.214634
3602.600000	0.001580	0.001655	0.146288
3602.650000	0.001584	0.001658	0.457893
3602.700000	0.001606	0.001691	0.337776
3602.750000	0.001701	0.001915	0.313068
3602.800000	0.001788	0.001795	0.206622
3602.850000	0.001488	0.001577	0.392565
3602.900000	0.001743	0.001764	0.344809
3602.950000	0.001686	0.001570	0.377001
3603.000000	0.001879	0.002139	0.385068
3603.050000	0.001795	0.001698	0.632500
3603.100000	0.001890	0.001896	0.214214
3603.150000	0.001696	0.001667	0.352722
3603.200000	0.001464	0.001547	0.412151
3603.250000	0.001592	0.001615	0.357677
3603.300000	0.001625	0.001580	0.150161
3603.350000	0.001791	0.001747	0.446320
3603.400000	0.001891	0.001990	0.310075
3603.450000	0.001676	0.001761	0.322627
3603.500000	0.001764	0.002100	0.172928
3603.550000	0.002048	0.002086	0.178750
3603.600000	0.001516	0.001520	0.391673
3603.650000	0.001746	0.001935	0.389638
3603.700000	0.001937	0.002039	0.378377
3603.750000	0.001791	0.001875	0.509895
3603.800000	0.001678	0.001631	0.274769
3603.850000	0.001600	0.001713	0.342798
3603.900000	0.001685	0.001836	0.307100
3603.950000	0.001738	0.001644	0.196176
3604.000000	0.001556	0.001425	0.431648
3604.050000	0.001597	0.001560	0.383827
3604.100000	0.001638	0.001715	0.310975
3604.150000	0.001741	0.001910	0.227812
3604.200000	0.001524	0.001568	0.535662
3604.250000	0.001678	0.001523	0.564531
3604.300000	0.001655	0.001690	0.278186
3604.350000	0.001772	0.002086	0.295977
3604.400000	0.001569	0.001648	0.377208
3604.450000	0.001706	0.001629	0.116284
3604.500000	0.001868	0.001896	0.244925
3604.550000	0.001747	0.002005	0.350333
3604.600000	0.001519	0.001447	0.303350
3604.650000	0.001699	0.001666	0.154965
3604.700000	0.001934	0.001890	0.557052
3604.750000	0.001827	0.001764	0.343960
3604.800000	0.001704	0.001673	0.375661
3604.850000	0.001708	0.001581	0.259348
3604.900000	0.001747	0.001741	0.412890
3604.950000	0.001820	0.002032	0.248049
3605.000000	0.001546	0.001429	0.374137
3605.050000	0.001660	0.001599	0.358773
3605.100000	0.001737	0.002675	0.300902
3605.150000	0.002064	0.002603	0.480535
3605.200000	0.001747	0.001766	0.407471
3605.250000	0.001723	0.001649	0.386704
3605.300000	0.001402	0.001426	0.386499
3605.350000	0.001574	0.001577	0.173687
3605.400000	0.001672	0.001682	0.487955
3605.450000	0.001816	0.001780	0.334232
3605.500000	0.001504	0.001603	0.288997
3605.550000	0.001697	0.001541	0.376432
3605.600000	0.001794	0.001541	0.390819
3605.650000	0.001597	0.001537	0.338355
3605.700000	0.001531	0.001520	0.384291
3605.750000	0.001793	0.002001	0.372985
