

# HP for excitation
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
3000.000000	211.758280	201.508578	9199.218306
3010.000000	200.388139	191.237388	5548.420391
3020.000000	217.581318	225.258414	5059.169192
3030.000000	214.248371	212.995339	5790.076501
3040.000000	201.220213	191.825685	4735.946830
3050.000000	219.580376	247.201915	7999.204766
3060.000000	218.966236	227.088207	5537.806487
3070.000000	231.779199	221.146930	4787.696711
3080.000000	235.770326	259.081385	2996.892895
3090.000000	239.385278	237.884213	5487.005804
3100.000000	210.634012	233.351120	8140.882211
3110.000000	218.950883	212.218113	7085.626533
3120.000000	227.580997	240.415315	7365.562622
3130.000000	200.773815	201.350169	8040.493945
3140.000000	202.076582	185.010283	6416.645399
3150.000000	188.505640	191.356456	6441.841962
3160.000000	222.149641	247.428843	5245.264936
3170.000000	207.620102	207.645225	4943.951139
3180.000000	189.106586	189.263997	9761.507305
3190.000000	216.332343	232.166829	5272.294242
3200.000000	213.229300	228.814534	5464.878750
3210.000000	213.660028	216.601211	6321.009872
3220.000000	210.374310	200.140403	5377.026641
3230.000000	224.301250	226.471974	5392.332927
3240.000000	200.912848	205.968053	4840.410688
3250.000000	203.649592	205.439303	8525.077807
3260.000000	201.955521	190.240740	7401.723417
3270.000000	187.905797	190.099220	5817.137089
3280.000000	214.652989	197.518119	7558.690657
3290.000000	209.109440	226.925289	8132.990892
3300.000000	214.488143	211.996065	6635.291065
3310.000000	217.346416	204.188992	5357.925726
3320.000000	246.365476	239.828132	6310.897621
3330.000000	223.481588	221.121385	3389.082489
3340.000000	217.466875	227.460830	7057.248189
3350.000000	237.215118	233.663059	3308.349016
3360.000000	241.401803	284.726890	5232.109770
3370.000000	229.703450	236.134351	4634.305386
3380.000000	256.209951	268.318518	4761.631210
3390.000000	284.945379	295.719779	5192.452906
3400.000000	279.832570	273.189582	3340.416381
3410.000000	297.747432	324.977388	2747.558192
3420.000000	266.491795	247.534925	4080.674301
3430.000000	293.859803	305.242640	7221.857364
3440.000000	272.876511	271.320360	4651.800345
3450.000000	306.770042	277.477049	4847.450981
3460.000000	347.166488	343.680210	7109.160198
3470.000000	353.786474	363.608211	4407.184495
3480.000000	362.946986	342.546953	7975.193767
3490.000000	378.546573	387.385615	4335.148649
3500.000000	379.495964	355.770624	3191.246579
3510.000000	446.898899	471.515763	3855.449092
3520.000000	388.893865	369.391952	8586.975014
3530.000000	396.850086	407.553903	3833.498510
3540.000000	415.331680	405.265588	13706.885972
3550.000000	439.472394	433.771329	4093.856884
3560.000000	449.899560	458.404257	4220.735274
3570.000000	474.921587	454.161588	5465.159302
3580.000000	504.131122	481.606082	6474.968369
