

# Realligned optics
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
3000.000000	9020.226687	8560.899492	47359.196053
3010.000000	10541.931874	10094.099893	62371.266201
3020.000000	10994.035840	10356.598133	49844.325302
3030.000000	13986.380629	13032.251423	83028.125819
3040.000000	13326.144280	13127.949075	64199.480153
3050.000000	13375.351552	13289.909662	52045.119863
3060.000000	11678.023731	11292.464692	45536.553980
3070.000000	11844.753290	11486.645285	58632.049509
3080.000000	9654.475697	9770.278127	51028.733885
3090.000000	8353.133843	7859.358484	37368.570646
3100.000000	6776.419302	6075.055721	28236.315053
3110.000000	5653.812306	6032.619287	51305.620798
3120.000000	5813.096210	5227.685414	24976.829920
3130.000000	5157.809129	5734.823239	18174.414916
3140.000000	4379.257633	4649.289865	23633.633211
3150.000000	4978.928151	5329.262516	15148.053268
3160.000000	4800.155697	4529.254127	21270.113647
3170.000000	4391.822355	4185.858579	15972.656833
3180.000000	4435.607077	4319.430421	24366.045514
3190.000000	4892.291408	5468.144948	13476.166984
3200.000000	4655.621095	4443.556704	24073.247381
3210.000000	4701.673298	4884.725151	20594.308496
3220.000000	4904.015936	4766.387618	23122.021229
3230.000000	4747.228544	4481.568293	23874.634151
3240.000000	4755.264408	4960.262919	21153.813518
3250.000000	4564.420651	4551.974139	19760.929138
3260.000000	5102.665745	4887.499719	18752.659504
3270.000000	4663.978542	4663.230806	17839.542139
3280.000000	5003.512317	5550.076947	23485.097503
3290.000000	5554.807210	5951.512751	43815.842828
3300.000000	5279.630507	5336.317703	16242.627573
3310.000000	5837.449495	5909.764686	22139.525876
3320.000000	5508.955562	5557.572291	28056.247875
3330.000000	6607.439319	7223.285035	29327.743155
3340.000000	6389.189727	6398.293371	36786.951673
3350.000000	6593.435136	6312.637606	24267.068914
3360.000000	8634.896571	8797.186704	28821.439956
3370.000000	8446.655824	8139.169000	45387.887142
3380.000000	10341.723416	11375.528762	38241.130776
3390.000000	13332.767882	13250.094248	59289.550291
3400.000000	14328.398019	13457.860948	67023.558001
3410.000000	16153.106464	16655.969694	81292.107028
3420.000000	18813.229394	19956.856453	65498.281337
3430.000000	19607.382467	19310.226943	102559.247473
3440.000000	16101.597843	16809.512601	103054.318599
3450.000000	17498.310165	17380.468530	73565.568868
3460.000000	14249.846269	14313.776109	70579.595504
3470.000000	14738.854470	14632.281572	54746.841888
3480.000000	14148.941151	13994.738841	52798.935250
3490.000000	12630.276932	12206.849549	56650.023171
3500.000000	13049.611623	12796.472576	63030.583884
3510.000000	13359.583723	11813.044017	60276.686957
3520.000000	12192.524281	11502.237101	97862.819952
3530.000000	13045.333793	13012.753951	55269.994828
3540.000000	13320.673954	13252.657595	57477.192291
3550.000000	12585.456242	11975.454628	64711.775674
3560.000000	13946.463907	13838.310307	66389.395008
3570.000000	14004.387347	15641.163758	50626.440252
3580.000000	14353.054958	13194.915486	67835.064767
3590.000000	12609.787424	13401.799885	51880.146047
3600.000000	13707.181828	13873.533425	51177.385833
3610.000000	12209.082858	12586.063267	78705.478311
3620.000000	12701.049992	13098.387105	91554.895698
