

# Disabled second audio amp
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
3000.000000	0.073832	0.070121	0.652600
3010.000000	0.179346	0.191816	1.194272
3020.000000	0.618967	0.619300	4.388544
3030.000000	0.505453	0.504319	1.834206
3040.000000	0.099293	0.100943	1.107963
3050.000000	0.051219	0.049592	0.657617
3060.000000	0.039395	0.044739	1.019967
3070.000000	0.037263	0.035917	0.932527
3080.000000	0.039232	0.044829	0.691422
3090.000000	0.032527	0.034231	0.670683
3100.000000	0.031039	0.030149	0.883756
3110.000000	0.031302	0.030808	0.473815
3120.000000	0.031168	0.035251	0.907224
3130.000000	0.028602	0.031359	1.026597
3140.000000	0.029512	0.032084	1.170043
3150.000000	0.027263	0.027250	0.811340
3160.000000	0.029796	0.036612	0.510698
3170.000000	0.029844	0.031311	0.927708
3180.000000	0.028256	0.028831	1.004048
3190.000000	0.028088	0.027043	0.613832
3200.000000	0.029329	0.028283	0.764305
3210.000000	0.039761	0.042076	1.550860
3220.000000	0.037577	0.037093	0.763396
3230.000000	0.031063	0.032270	0.684892
3240.000000	0.029711	0.031054	0.952707
3250.000000	0.028005	0.027687	0.809212
3260.000000	0.027049	0.027154	0.932148
3270.000000	0.028460	0.031397	0.716489
3280.000000	0.029492	0.030316	0.791882
3290.000000	0.028869	0.033920	0.605987
3300.000000	0.030738	0.029868	1.019999
3310.000000	0.028293	0.030593	0.815147
3320.000000	0.034330	0.036592	0.797737
3330.000000	0.032207	0.032624	0.713548
3340.000000	0.033660	0.033399	0.559712
3350.000000	0.042795	0.044167	0.506185
3360.000000	0.049291	0.051410	0.588445
3370.000000	0.072065	0.067843	0.543713
3380.000000	0.137930	0.128904	0.682219
3390.000000	0.319008	0.318014	1.240420
3400.000000	0.307599	0.303200	2.761328
3410.000000	0.266670	0.267381	1.605889
3420.000000	0.074263	0.071099	0.415672
3430.000000	0.051483	0.052567	0.825483
3440.000000	0.047671	0.046703	0.911780
3450.000000	0.040024	0.041758	0.515669
3460.000000	0.040939	0.042016	0.511508
3470.000000	0.044471	0.044883	0.640256
3480.000000	0.042607	0.047806	0.791266
3490.000000	0.046375	0.047384	0.739171
3500.000000	0.043767	0.045065	0.731941
3510.000000	0.046570	0.047593	1.128319
3520.000000	0.046209	0.044212	0.825260
3530.000000	0.047338	0.042212	1.008531
3540.000000	0.044762	0.044572	0.588174
3550.000000	0.047197	0.046415	0.732129
3560.000000	0.049279	0.050595	1.382867
3570.000000	0.047411	0.048523	0.377226
3580.000000	0.066888	0.069150	0.499421
3590.000000	0.056438	0.054615	0.417869
3600.000000	0.097530	0.098209	1.696550
3610.000000	0.068670	0.066158	0.834284
3620.000000	0.053127	0.054604	0.752766
3630.000000	0.047425	0.041156	0.503386
3640.000000	0.043122	0.039203	0.912840
3650.000000	0.046748	0.043240	0.372296
3660.000000	0.047349	0.050856	0.964531
3670.000000	0.046276	0.043139	1.032261
3680.000000	0.042948	0.040334	0.264232
3690.000000	0.043364	0.041163	0.619324
3700.000000	0.049190	0.050553	0.826360
3710.000000	0.047691	0.048533	0.925141
3720.000000	0.055954	0.060668	0.929445
3730.000000	0.059891	0.057129	0.785345
3740.000000	0.079188	0.080099	0.310902
3750.000000	0.104003	0.103202	0.497877
3760.000000	0.229744	0.230421	1.415577
3770.000000	0.441729	0.408397	2.178521
3780.000000	0.533590	0.575119	3.704597
3790.000000	1.588184	1.727011	11.623123
3800.000000	0.101439	0.097422	0.512125
3810.000000	0.069836	0.070069	0.336584
3820.000000	0.057908	0.058129	0.788703
3830.000000	0.052142	0.049871	0.700123
3840.000000	0.054825	0.058011	0.569811
3850.000000	0.052292	0.051054	0.494537
3860.000000	0.050808	0.050271	0.612214
3870.000000	0.057346	0.058082	0.171783
3880.000000	0.048249	0.045989	0.388588
3890.000000	0.049446	0.048380	0.324924
3900.000000	0.057466	0.057772	0.224595
3910.000000	0.064319	0.070120	0.885117
3920.000000	0.060150	0.060176	0.275889
3930.000000	0.063949	0.062237	0.552560
3940.000000	0.065774	0.068933	0.966287
3950.000000	0.069835	0.071564	1.239817
3960.000000	0.061973	0.057712	0.465170
3970.000000	0.075875	0.079298	0.530617
3980.000000	0.074839	0.074057	0.486945
3990.000000	0.067875	0.066021	0.426890
4000.000000	0.062082	0.069483	0.445483
4010.000000	0.066610	0.072363	0.376186
4020.000000	0.065132	0.064748	0.218229
4030.000000	0.057897	0.062246	0.567540
4040.000000	0.063383	0.067594	0.415784
4050.000000	0.064052	0.062692	0.684107
4060.000000	0.064597	0.059564	0.628222
4070.000000	0.065115	0.069102	0.513159
4080.000000	0.068187	0.071906	0.384853
4090.000000	0.063083	0.064936	0.344397
4100.000000	0.063462	0.068261	0.361563
4110.000000	0.076390	0.075360	0.348919
4120.000000	0.092615	0.095650	0.412889
4130.000000	0.124468	0.122826	0.601275
4140.000000	0.280996	0.299144	1.061377
4150.000000	0.564421	0.529118	2.108580
4160.000000	1.432702	1.457202	5.380535
4170.000000	3.757946	3.632729	22.248848
4180.000000	0.118523	0.113742	0.679235
4190.000000	0.067153	0.064520	0.311504
4200.000000	0.052348	0.051008	0.301475
4210.000000	0.048271	0.046833	0.229178
4220.000000	0.048325	0.046546	0.379120
4230.000000	0.046953	0.051902	0.249019
4240.000000	0.051711	0.050556	0.204779
4250.000000	0.052202	0.046768	0.183597
4260.000000	0.051443	0.047573	0.208192
4270.000000	0.049610	0.049294	0.277280
4280.000000	0.046982	0.040480	0.226650
4290.000000	0.051282	0.049523	0.245601
4300.000000	0.049833	0.050699	0.192721
4310.000000	0.057807	0.057480	0.294784
4320.000000	0.046106	0.048183	0.215508
4330.000000	0.052002	0.049261	0.254954
4340.000000	0.054940	0.054444	0.278449
4350.000000	0.057866	0.055551	0.208588
4360.000000	0.056062	0.062421	0.267292
4370.000000	0.060707	0.065944	0.308835
4380.000000	0.063781	0.059708	0.260641
4390.000000	0.059287	0.059537	0.199620
4400.000000	0.057777	0.061599	0.225566
4410.000000	0.065713	0.066245	0.327380
4420.000000	0.066798	0.065910	0.378452
4430.000000	0.064314	0.066980	0.369550
4440.000000	0.074924	0.073071	0.386242
4450.000000	0.067091	0.068938	0.286362
4460.000000	0.068032	0.062307	0.343659
4470.000000	0.079678	0.079447	0.483506
4480.000000	0.078674	0.077329	0.279877
4490.000000	0.075047	0.075561	0.391026
4500.000000	0.086014	0.087311	0.589879
4510.000000	0.090284	0.085517	0.625393
4520.000000	0.131271	0.133411	0.518555
4530.000000	0.218275	0.207350	0.881290
4540.000000	0.292901	0.288437	1.475086
4550.000000	0.192801	0.190516	1.015789
4560.000000	0.085846	0.089650	0.599506
4570.000000	0.084967	0.095605	0.490451
4580.000000	0.083851	0.080942	0.524970
4590.000000	0.068473	0.069482	0.414809
4600.000000	0.075501	0.073031	0.308235
4610.000000	0.076242	0.075391	0.491255
4620.000000	0.077991	0.082677	0.319085
4630.000000	0.074170	0.073264	0.286466
4640.000000	0.078312	0.083120	0.385359
4650.000000	0.080620	0.076997	0.366494
4660.000000	0.066610	0.064398	0.426249
4670.000000	0.075644	0.082723	0.381788
4680.000000	0.075386	0.071638	0.473468
4690.000000	0.075541	0.077086	0.571451
4700.000000	0.075230	0.065581	0.327082
4710.000000	0.076025	0.077870	0.265275
4720.000000	0.068859	0.070873	0.580890
4730.000000	0.071687	0.073606	0.544414
4740.000000	0.076914	0.074098	0.335484
4750.000000	0.071324	0.075456	0.296923
4760.000000	0.081145	0.079796	0.359107
4770.000000	0.078112	0.073084	0.445950
4780.000000	0.075715	0.072072	0.627890
4790.000000	0.083477	0.084396	0.529798
4800.000000	0.074444	0.074004	0.375315
4810.000000	0.075919	0.078287	0.392718
4820.000000	0.085559	0.090356	0.674225
4830.000000	0.083800	0.075641	0.552621
4840.000000	0.093871	0.095436	0.676305
4850.000000	0.090641	0.081973	0.411716
4860.000000	0.085804	0.084506	0.497863
4870.000000	0.105091	0.106996	0.547996
4880.000000	0.113363	0.108714	0.501715
4890.000000	0.140198	0.138019	0.636576
4900.000000	0.252938	0.277988	1.198736
4910.000000	0.641669	0.602908	2.881778
4920.000000	0.734888	0.738926	3.210376
4930.000000	0.179264	0.168988	0.961397
4940.000000	0.115609	0.108432	0.969194
4950.000000	0.104396	0.097615	0.490512
4960.000000	0.105362	0.097739	0.613443
4970.000000	0.111742	0.106395	0.749178
4980.000000	0.113493	0.117845	0.355822
4990.000000	0.096781	0.095440	0.330888
5000.000000	0.111911	0.118065	0.498569
5010.000000	0.092244	0.086888	0.704736
5020.000000	0.107496	0.108394	0.680831
5030.000000	0.105702	0.104671	0.510050
5040.000000	0.103740	0.103391	0.509136
5050.000000	0.107409	0.103056	0.505425
5060.000000	0.113412	0.116923	0.745901
5070.000000	0.122625	0.126209	0.525245
5080.000000	0.120677	0.121035	1.029769
5090.000000	0.120879	0.119148	0.774589
5100.000000	0.136248	0.138435	0.484511
5110.000000	0.125680	0.133740	0.917519
5120.000000	0.141297	0.145961	0.403398
5130.000000	0.143613	0.129967	0.514850
