

# Now second HP is listening again, not in the two previous meas
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
3000.000000	0.026786	0.026233	2.761530
3010.000000	0.029934	0.028733	8.704796
3020.000000	0.027895	0.028420	1.218033
3030.000000	0.029904	0.031216	3.335009
3040.000000	0.034078	0.033026	2.751944
3050.000000	0.032284	0.032822	3.250727
3060.000000	0.029491	0.027773	4.343025
3070.000000	0.030282	0.029371	4.005647
3080.000000	0.031416	0.032333	12.631479
3090.000000	0.030641	0.031823	4.296238
3100.000000	0.026441	0.025683	8.184020
3110.000000	0.028906	0.029397	2.587245
3120.000000	0.029957	0.029570	0.446594
3130.000000	0.027512	0.026396	4.258256
3140.000000	0.027611	0.032047	2.535976
3150.000000	0.026482	0.027775	0.289398
3160.000000	0.027280	0.028354	5.166854
3170.000000	0.027861	0.031035	4.873725
3180.000000	0.031286	0.030171	0.300446
3190.000000	0.025644	0.025976	9.617768
3200.000000	0.026455	0.027164	3.803800
3210.000000	0.026576	0.025497	10.398162
3220.000000	0.027552	0.025316	3.727074
3230.000000	0.028750	0.027649	6.034372
3240.000000	0.026389	0.027667	2.295715
3250.000000	0.027493	0.026784	11.084441
3260.000000	0.030567	0.030144	7.912182
3270.000000	0.028662	0.030330	18.838638
3280.000000	0.026791	0.026334	3.177067
3290.000000	0.027548	0.028398	1.212743
3300.000000	0.028737	0.027984	0.529040
3310.000000	0.029721	0.027830	9.213269
3320.000000	0.029561	0.028234	0.461653
3330.000000	0.031916	0.031688	0.265067
3340.000000	0.030544	0.032427	2.709783
3350.000000	0.029852	0.031497	6.639578
3360.000000	0.030684	0.036626	9.019248
3370.000000	0.034912	0.035547	5.964830
3380.000000	0.030816	0.032578	1.377123
3390.000000	0.033369	0.037467	1.059365
3400.000000	0.034635	0.037316	8.948394
3410.000000	0.039971	0.044092	0.992213
3420.000000	0.035789	0.037739	1.419960
3430.000000	0.037282	0.039295	7.054785
3440.000000	0.036831	0.037647	1.405653
3450.000000	0.037834	0.042343	16.326646
3460.000000	0.037089	0.037131	19.406387
3470.000000	0.039796	0.041071	3.906437
3480.000000	0.043233	0.043872	10.065219
3490.000000	0.042208	0.038998	15.143686
3500.000000	0.047324	0.053278	12.304203
3510.000000	0.043716	0.038217	3.081635
3520.000000	0.046065	0.038776	1.046932
3530.000000	0.047004	0.046763	0.241800
3540.000000	0.045266	0.044151	3.391481
3550.000000	0.045936	0.042208	2.522777
3560.000000	0.053976	0.058858	0.296377
3570.000000	0.047560	0.048245	0.387630
3580.000000	0.055545	0.058503	1.949169
3590.000000	0.048891	0.048779	3.221816
3600.000000	0.046987	0.044177	2.767019
3610.000000	0.052247	0.052413	2.559446
3620.000000	0.051184	0.046788	3.489893
3630.000000	0.046903	0.046588	4.495012
3640.000000	0.049234	0.049588	4.544093
3650.000000	0.048034	0.048958	7.636471
3660.000000	0.047542	0.049014	20.011637
3670.000000	0.050210	0.046551	18.921679
3680.000000	0.045372	0.046217	7.656790
3690.000000	0.042210	0.043386	13.623466
3700.000000	0.043693	0.044798	17.745671
3710.000000	0.049566	0.045513	10.494137
3720.000000	0.047119	0.047236	11.355491
3730.000000	0.047186	0.043050	8.370621
3740.000000	0.049948	0.047739	2.879316
3750.000000	0.048025	0.051004	1.745322
3760.000000	0.045766	0.049532	3.512585
3770.000000	0.046373	0.041555	1.449597
3780.000000	0.045148	0.050889	1.595991
3790.000000	0.043239	0.040084	4.022334
3800.000000	0.045109	0.046018	7.277967
3810.000000	0.051116	0.055550	7.194361
3820.000000	0.047282	0.047789	3.081473
3830.000000	0.051406	0.048852	5.980934
3840.000000	0.060514	0.057633	4.490070
3850.000000	0.050358	0.047512	1.865166
3860.000000	0.058070	0.051771	5.708738
3870.000000	0.056488	0.051969	2.515027
3880.000000	0.052041	0.050772	0.624598
3890.000000	0.055096	0.053836	2.418534
3900.000000	0.060855	0.060230	13.420822
3910.000000	0.065481	0.063818	11.482036
3920.000000	0.062970	0.064839	1.070346
3930.000000	0.064574	0.064441	2.196369
3940.000000	0.069834	0.066993	2.231911
3950.000000	0.063424	0.053389	1.656908
3960.000000	0.071554	0.072326	4.823880
3970.000000	0.068147	0.071536	0.252093
3980.000000	0.061969	0.059391	2.227812
