

# FMR peak?
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
5000.000000	0.111343	0.109708	36.490367
5010.000000	0.115802	0.119768	24.092102
5020.000000	0.116670	0.125627	36.084417
5030.000000	0.120458	0.118342	35.525133
5040.000000	0.121366	0.122093	25.715522
5050.000000	0.112223	0.117386	26.894014
5060.000000	0.112565	0.107917	17.783081
5070.000000	0.140075	0.145548	16.501448
5080.000000	0.137258	0.125023	9.673289
5090.000000	0.126428	0.130217	6.745754
5100.000000	0.138271	0.137696	4.545140
5110.000000	0.146555	0.150645	6.984015
5120.000000	0.137967	0.144142	19.165324
5130.000000	0.135566	0.145857	12.255017
5140.000000	0.134946	0.129114	20.926569
5150.000000	0.157819	0.166876	42.519282
5160.000000	0.141689	0.138555	45.976714
5170.000000	0.134021	0.150826	35.135155
5180.000000	0.119910	0.116047	48.432540
5190.000000	0.130298	0.126740	46.560560
5200.000000	0.131506	0.125365	47.425546
5210.000000	0.134895	0.134147	41.016885
5220.000000	0.117897	0.121378	35.376013
5230.000000	0.123817	0.122238	33.130836
5240.000000	0.134371	0.123574	26.677957
5250.000000	0.129375	0.126544	29.459057
5260.000000	0.118920	0.116379	26.843294
5270.000000	0.118999	0.120336	29.370544
5280.000000	0.098456	0.097776	19.587934
5290.000000	0.113861	0.108201	21.434980
5300.000000	0.116951	0.121440	14.913327
5310.000000	0.102866	0.097796	22.696579
5320.000000	0.100609	0.092254	20.174701
5330.000000	0.104748	0.096409	32.149284
5340.000000	0.089904	0.087203	36.310999
5350.000000	0.098373	0.103059	37.958861
5360.000000	0.097371	0.099300	33.929429
5370.000000	0.097850	0.093054	25.286434
5380.000000	0.091250	0.096628	19.632369
5390.000000	0.093308	0.094669	27.356682
5400.000000	0.091580	0.090900	35.987818
5410.000000	0.090368	0.081189	21.875942
5420.000000	0.088941	0.094511	22.558789
5430.000000	0.085255	0.091081	23.948356
5440.000000	0.087059	0.090379	23.251488
5450.000000	0.082891	0.090626	17.627227
5460.000000	0.072643	0.072906	20.855018
5470.000000	0.081113	0.079578	20.572206
5480.000000	0.075259	0.075163	35.941817
5490.000000	0.080026	0.080919	27.635295
5500.000000	0.078846	0.079080	28.419114
5510.000000	0.076399	0.081439	30.155546
5520.000000	0.098369	0.101564	26.062469
5530.000000	0.076485	0.077812	25.261987
5540.000000	0.074876	0.077756	15.948929
5550.000000	0.072282	0.065632	22.203335
5560.000000	0.070157	0.073387	31.632776
5570.000000	0.069073	0.066156	25.548890
5580.000000	0.067324	0.069186	30.792400
5590.000000	0.063137	0.062528	22.788782
5600.000000	0.070045	0.068633	32.210117
5610.000000	0.073147	0.074478	18.121245
5620.000000	0.064992	0.064300	30.870678
5630.000000	0.070569	0.064755	22.307571
5640.000000	0.067595	0.068011	19.855191
5650.000000	0.065408	0.069798	21.641544
5660.000000	0.064771	0.062800	40.395048
5670.000000	0.065804	0.061429	29.265104
5680.000000	0.060282	0.063217	38.763277
5690.000000	0.064546	0.059564	36.628673
5700.000000	0.061617	0.057543	43.652840
5710.000000	0.060103	0.056840	39.916736
5720.000000	0.057450	0.055096	41.971463
5730.000000	0.060716	0.067070	50.450747
5740.000000	0.064288	0.070029	43.350006
5750.000000	0.068322	0.068902	42.828050
5760.000000	0.062030	0.060261	59.102863
5770.000000	0.058198	0.053586	59.998283
5780.000000	0.060601	0.058518	44.074224
5790.000000	0.058965	0.057198	51.497016
5800.000000	0.056408	0.052873	41.651586
5810.000000	0.058878	0.059457	36.687863
5820.000000	0.063712	0.058812	55.931450
5830.000000	0.059274	0.057591	56.817838
5840.000000	0.066423	0.064053	78.167968
5850.000000	0.068382	0.066958	79.901480
5860.000000	0.075810	0.081190	76.144452
5870.000000	0.069619	0.061990	98.732458
5880.000000	0.077497	0.071927	80.610499
5890.000000	0.081261	0.075627	93.386245
5900.000000	0.084867	0.079333	132.962381
5910.000000	0.074881	0.079174	134.472399
5920.000000	0.081622	0.093888	173.501947
5930.000000	0.082778	0.083850	196.183986
5940.000000	0.090166	0.088342	211.291638
5950.000000	0.087411	0.083882	190.953777
5960.000000	0.081413	0.078202	215.743717
5970.000000	0.103410	0.098677	169.946880
5980.000000	0.095739	0.092583	179.190109
5990.000000	0.115723	0.112351	230.434077
6000.000000	0.100311	0.104172	237.679681
6010.000000	0.112861	0.107774	222.924004
6020.000000	0.109644	0.114742	217.920905
6030.000000	0.123064	0.117480	160.249727
6040.000000	0.114155	0.113439	164.480636
6050.000000	0.119584	0.110485	152.946067
6060.000000	0.128437	0.134719	132.859739
6070.000000	0.115428	0.107963	171.607600
6080.000000	0.117771	0.112248	216.967418
6090.000000	0.120671	0.118669	180.226910
6100.000000	0.124732	0.119627	165.751503
6110.000000	0.134806	0.126573	129.128046
6120.000000	0.115471	0.113561	101.434358
6130.000000	0.130000	0.129696	92.641544
6140.000000	0.123276	0.125597	86.279527
6150.000000	0.125578	0.129743	64.007991
6160.000000	0.120385	0.117117	44.939701
6170.000000	0.120266	0.115038	56.382738
6180.000000	0.125170	0.126239	66.351157
6190.000000	0.113224	0.110130	58.233217
6200.000000	0.107969	0.107485	44.727382
6210.000000	0.107846	0.102456	40.627744
6220.000000	0.102458	0.111667	31.512481
6230.000000	0.091550	0.094204	44.864976
6240.000000	0.080634	0.078949	39.421433
6250.000000	0.085388	0.088406	37.801057
6260.000000	0.091266	0.093220	38.258260
6270.000000	0.080805	0.073168	30.641285
6280.000000	0.068499	0.066836	39.875356
6290.000000	0.070441	0.072099	23.093133
6300.000000	0.070624	0.068636	23.146990
6310.000000	0.068050	0.068013	15.257791
6320.000000	0.060395	0.061188	16.911462
6330.000000	0.060581	0.056994	19.991222
6340.000000	0.056461	0.058102	15.744621
6350.000000	0.054938	0.058946	20.737788
6360.000000	0.049031	0.045558	11.807436
6370.000000	0.047718	0.049771	15.977229
6380.000000	0.053523	0.055917	12.579320
6390.000000	0.049336	0.047448	5.554532
6400.000000	0.053073	0.056008	8.074737
6410.000000	0.048390	0.053409	10.019716
6420.000000	0.040887	0.037639	8.878047
6430.000000	0.041912	0.036473	8.423141
6440.000000	0.039107	0.036582	8.642041
6450.000000	0.040961	0.046562	3.796594
6460.000000	0.032741	0.030114	1.400977
6470.000000	0.040084	0.037295	2.464151
6480.000000	0.037480	0.036786	3.157759
6490.000000	0.038536	0.038202	5.556453
6500.000000	0.034208	0.031902	2.830281
6510.000000	0.034908	0.031048	6.733384
6520.000000	0.033549	0.033488	4.074434
6530.000000	0.034080	0.034971	1.025609
6540.000000	0.035597	0.034163	2.682387
6550.000000	0.030108	0.030593	4.514612
6560.000000	0.031790	0.032881	5.996936
6570.000000	0.031187	0.028321	2.847011
6580.000000	0.035388	0.034769	1.738747
6590.000000	0.033487	0.035285	2.588407
6600.000000	0.036045	0.037415	1.878908
6610.000000	0.032304	0.032221	2.098211
6620.000000	0.032134	0.029844	3.143383
6630.000000	0.029989	0.030044	1.576516
6640.000000	0.033589	0.034221	0.687365
6650.000000	0.036945	0.036825	2.114920
6660.000000	0.033370	0.032656	2.683833
6670.000000	0.032125	0.033046	0.418762
6680.000000	0.033960	0.035092	1.411071
6690.000000	0.032471	0.032342	1.032260
6700.000000	0.035764	0.031300	1.442040
6710.000000	0.035901	0.035108	1.047175
6720.000000	0.041625	0.037747	2.444798
6730.000000	0.036823	0.037188	0.630243
6740.000000	0.038018	0.037196	0.409657
6750.000000	0.039759	0.037193	2.193384
6760.000000	0.038507	0.037200	0.370290
6770.000000	0.037132	0.036922	1.512777
6780.000000	0.040935	0.039751	0.812504
6790.000000	0.035656	0.036423	2.038293
6800.000000	0.042034	0.050434	0.783187
6810.000000	0.044012	0.042391	1.828215
6820.000000	0.040483	0.042350	0.762213
6830.000000	0.040589	0.038385	1.502456
6840.000000	0.043849	0.040565	0.203413
6850.000000	0.038846	0.038737	1.625949
6860.000000	0.044227	0.043160	0.268058
6870.000000	0.039721	0.038730	2.108037
6880.000000	0.043919	0.045929	0.271229
6890.000000	0.044185	0.043547	2.117770
6900.000000	0.046202	0.043179	0.316194
6910.000000	0.042117	0.044820	2.327764
6920.000000	0.048404	0.050371	0.308569
6930.000000	0.047603	0.049339	2.802823
6940.000000	0.052446	0.049074	1.168573
6950.000000	0.048541	0.047277	1.732884
6960.000000	0.052918	0.058506	0.548363
6970.000000	0.050218	0.054146	0.903422
6980.000000	0.054133	0.057877	0.849638
6990.000000	0.049230	0.050624	1.029128
7000.000000	0.054906	0.055668	0.672725
