

# Magnets removed
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
5000.000000	0.098405	0.099564	0.865892
5010.000000	0.102706	0.108330	7.802189
5020.000000	0.107406	0.109881	11.333270
5030.000000	0.120634	0.130424	4.846429
5040.000000	0.119996	0.118078	7.090600
5050.000000	0.120016	0.117194	1.218337
5060.000000	0.105722	0.106838	3.093785
5070.000000	0.125021	0.129125	12.548171
5080.000000	0.135051	0.142784	0.767623
5090.000000	0.136317	0.135811	4.213191
5100.000000	0.146990	0.141561	0.831075
5110.000000	0.138948	0.131490	0.544981
5120.000000	0.131433	0.127139	1.145734
5130.000000	0.142277	0.139466	2.056303
5140.000000	0.140605	0.131163	1.296080
5150.000000	0.143029	0.142839	7.878705
5160.000000	0.123905	0.128507	3.731548
5170.000000	0.144812	0.147536	4.754196
5180.000000	0.144407	0.132280	9.184530
5190.000000	0.135401	0.130389	3.536201
5200.000000	0.143930	0.132456	2.384124
5210.000000	0.135134	0.134740	3.638943
5220.000000	0.117380	0.112508	3.788292
5230.000000	0.121692	0.124474	7.976153
5240.000000	0.130531	0.122286	4.391128
5250.000000	0.121112	0.116750	4.759320
5260.000000	0.108436	0.106578	3.691120
5270.000000	0.116024	0.109743	1.994070
5280.000000	0.107379	0.104076	1.290199
5290.000000	0.118828	0.120435	2.140387
5300.000000	0.106033	0.105938	3.016048
5310.000000	0.099814	0.097953	3.791970
5320.000000	0.092521	0.090963	4.724199
5330.000000	0.095618	0.091455	5.799231
5340.000000	0.105905	0.100859	10.902235
5350.000000	0.097986	0.098111	4.334499
5360.000000	0.101851	0.098906	3.023741
5370.000000	0.098081	0.093923	3.350109
5380.000000	0.086023	0.074915	2.670781
5390.000000	0.083286	0.086995	3.056792
5400.000000	0.091931	0.094839	2.606409
5410.000000	0.090219	0.087224	0.903606
5420.000000	0.087307	0.088947	0.312856
5430.000000	0.086338	0.090078	0.358656
5440.000000	0.080775	0.085315	1.273048
5450.000000	0.079071	0.074945	0.468618
5460.000000	0.086890	0.079073	0.854244
5470.000000	0.078923	0.076917	0.549000
5480.000000	0.082832	0.082781	0.314280
5490.000000	0.075740	0.074758	0.436869
5500.000000	0.081020	0.089530	3.222004
5510.000000	0.080426	0.074918	3.317007
5520.000000	0.086298	0.080540	1.682540
5530.000000	0.079615	0.077385	0.360461
5540.000000	0.067070	0.070048	1.998999
5550.000000	0.063924	0.061800	0.716759
5560.000000	0.065697	0.066610	1.916530
5570.000000	0.065974	0.066196	0.554857
5580.000000	0.066804	0.064780	0.631766
5590.000000	0.065705	0.063556	0.978223
5600.000000	0.066015	0.068681	0.279048
5610.000000	0.062450	0.062797	0.234367
5620.000000	0.064569	0.059663	0.264576
5630.000000	0.066758	0.061302	0.968329
5640.000000	0.065447	0.068564	0.671740
5650.000000	0.061692	0.059085	1.936664
5660.000000	0.064070	0.065227	0.335812
5670.000000	0.062258	0.058453	1.415188
5680.000000	0.060469	0.060422	1.767904
5690.000000	0.057142	0.052666	1.072894
5700.000000	0.060980	0.062801	1.120069
5710.000000	0.059494	0.057678	1.426195
5720.000000	0.064879	0.063008	0.247873
5730.000000	0.062215	0.064295	3.065861
5740.000000	0.062054	0.062914	0.273958
5750.000000	0.058853	0.057099	1.270344
5760.000000	0.057600	0.060811	0.542728
5770.000000	0.054531	0.054034	0.330996
5780.000000	0.057410	0.060890	0.566418
5790.000000	0.066077	0.065655	0.619235
5800.000000	0.061090	0.058494	1.353007
5810.000000	0.063062	0.061220	0.976252
5820.000000	0.066824	0.070818	0.232926
5830.000000	0.061486	0.058901	0.897476
5840.000000	0.067020	0.060907	0.441500
5850.000000	0.063154	0.065350	1.460039
5860.000000	0.076042	0.070124	3.086613
5870.000000	0.067961	0.068544	1.312151
5880.000000	0.070291	0.069473	0.370353
5890.000000	0.071971	0.067177	0.829992
5900.000000	0.075325	0.076517	0.790079
5910.000000	0.080216	0.084292	0.470306
5920.000000	0.079194	0.074601	0.409618
5930.000000	0.074947	0.075330	0.302800
5940.000000	0.078680	0.081866	0.455938
5950.000000	0.087728	0.097734	0.491258
5960.000000	0.085208	0.083084	1.101705
5970.000000	0.086284	0.088802	2.435240
5980.000000	0.094501	0.098104	2.401611
5990.000000	0.096401	0.095826	2.363804
6000.000000	0.110530	0.107179	0.987908
6010.000000	0.103467	0.103217	1.034961
6020.000000	0.112516	0.118685	1.903259
6030.000000	0.103381	0.106156	1.587481
6040.000000	0.101986	0.100146	1.418377
6050.000000	0.118064	0.126139	3.677644
6060.000000	0.124392	0.130280	0.431125
6070.000000	0.123238	0.129832	0.515762
6080.000000	0.113728	0.119457	1.187670
6090.000000	0.121027	0.114768	0.997624
6100.000000	0.133860	0.126560	0.770886
6110.000000	0.121806	0.115910	1.782772
6120.000000	0.126894	0.116555	3.500253
6130.000000	0.115171	0.112706	6.382145
6140.000000	0.118732	0.118683	5.297369
6150.000000	0.123448	0.130375	10.387880
6160.000000	0.118823	0.125191	13.017852
6170.000000	0.123551	0.128878	10.254811
6180.000000	0.125095	0.111518	3.129305
6190.000000	0.110484	0.119114	7.843421
6200.000000	0.107720	0.095646	9.968680
6210.000000	0.108236	0.100114	4.605713
6220.000000	0.099220	0.100039	12.359259
6230.000000	0.099049	0.088470	5.871642
6240.000000	0.081132	0.077930	1.398669
6250.000000	0.083106	0.090510	7.257542
6260.000000	0.076844	0.070443	2.229300
6270.000000	0.085578	0.093177	5.259628
6280.000000	0.080092	0.083890	0.485598
6290.000000	0.078022	0.079077	1.716729
