

# Magnets are placed back, 2MHz steps
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
5000.000000	0.112373	0.112805	22.800057
5002.000000	0.108409	0.113892	18.236085
5004.000000	0.110151	0.121589	22.803168
5006.000000	0.110400	0.108947	19.507895
5008.000000	0.104444	0.105289	24.188247
5010.000000	0.109663	0.116641	19.458020
5012.000000	0.096719	0.095716	29.154192
5014.000000	0.104185	0.100115	35.874728
5016.000000	0.110224	0.115398	27.705768
5018.000000	0.112939	0.120272	29.953477
5020.000000	0.120604	0.119397	34.936003
5022.000000	0.122434	0.125592	25.838064
5024.000000	0.112195	0.121469	25.771732
5026.000000	0.119446	0.131295	29.636228
5028.000000	0.116943	0.107666	29.666981
5030.000000	0.117857	0.133657	22.293420
5032.000000	0.133604	0.129137	19.723834
5034.000000	0.113236	0.100980	22.929993
5036.000000	0.122911	0.125161	26.303020
5038.000000	0.114879	0.114652	27.894154
5040.000000	0.118239	0.114457	18.141586
5042.000000	0.120707	0.124630	20.290856
5044.000000	0.122745	0.113241	24.462696
5046.000000	0.117971	0.111825	18.337229
5048.000000	0.112044	0.110919	15.147240
5050.000000	0.120085	0.111817	19.220929
5052.000000	0.111331	0.106486	12.407371
5054.000000	0.108073	0.117992	8.385602
5056.000000	0.135415	0.129934	8.627542
5058.000000	0.111607	0.107240	12.525970
5060.000000	0.102704	0.092516	9.819199
5062.000000	0.127846	0.125936	17.978652
5064.000000	0.122365	0.114115	26.390766
5066.000000	0.118655	0.125096	26.168838
5068.000000	0.130761	0.140019	27.907728
5070.000000	0.131442	0.134349	12.702857
5072.000000	0.125299	0.118457	10.077776
5074.000000	0.138468	0.121605	12.897707
5076.000000	0.119479	0.117342	12.516859
5078.000000	0.127148	0.139093	9.318865
5080.000000	0.128811	0.123789	8.079435
5082.000000	0.133098	0.120956	10.203908
5084.000000	0.125533	0.130209	10.717165
5086.000000	0.131876	0.115431	9.484783
5088.000000	0.133502	0.142918	9.881612
5090.000000	0.131761	0.135483	11.708127
5092.000000	0.129510	0.132273	17.194597
5094.000000	0.138578	0.139607	13.955077
5096.000000	0.129533	0.125270	9.675546
5098.000000	0.138621	0.135297	9.242611
5100.000000	0.124309	0.136731	6.142139
5102.000000	0.146944	0.152786	4.545412
5104.000000	0.150846	0.155122	4.884781
5106.000000	0.140603	0.130112	2.134794
5108.000000	0.144479	0.131383	3.390689
5110.000000	0.139044	0.127237	4.013638
5112.000000	0.142567	0.133255	7.862783
5114.000000	0.136044	0.129735	7.369516
5116.000000	0.136044	0.132190	8.132768
5118.000000	0.143853	0.151377	9.565026
5120.000000	0.131097	0.122750	11.727307
5122.000000	0.147580	0.157036	19.588123
5124.000000	0.148851	0.140747	16.220810
5126.000000	0.137662	0.138895	9.391911


# 
