

# Analyzer rotated over 45deg
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
3400.000000	12.078975	11.696319	3680.756095
3402.000000	11.581903	11.148754	3670.527450
3404.000000	11.628666	11.067526	1939.833541
3406.000000	12.018616	11.278916	2266.644468
3408.000000	12.145768	11.556417	5036.273680
3410.000000	11.931614	14.000591	7088.495480
3412.000000	11.527367	11.798094	3295.980528
3414.000000	11.601437	11.653213	4430.641468
3416.000000	10.807856	11.122656	6577.737855
3418.000000	11.618974	11.652786	5283.515469
3420.000000	12.390172	12.074685	3292.631827
3422.000000	11.956315	12.829070	2711.599164
3424.000000	12.647835	11.036336	4103.406133
3426.000000	12.310182	12.802486	601.731435
3428.000000	15.112430	15.543185	1108.020233
3430.000000	13.716418	16.440097	3296.814331
3432.000000	12.719557	12.663191	2709.365324
3434.000000	14.158841	14.936686	10761.013457
3436.000000	16.831371	15.423290	15000.235296
3438.000000	13.529670	13.454674	13560.556172
3440.000000	12.726015	14.187889	27283.662595
3442.000000	12.923513	16.292700	40997.734375
3444.000000	15.260315	15.152404	34244.196193
3446.000000	19.914523	21.401563	19271.412468
3448.000000	12.994002	13.694623	11410.283195
3450.000000	12.910005	11.628221	21062.510598
3452.000000	25.722443	27.793297	9562.698197
3454.000000	18.263025	17.265760	7280.531899
3456.000000	42.225227	40.194742	4333.450216
3458.000000	115.950201	129.890912	14660.047474
3460.000000	28.053147	24.697179	22527.885598
3462.000000	19.596915	19.264676	22081.885618
3464.000000	15.364449	14.703260	58931.612364
3466.000000	13.769259	14.836113	105304.282236
3468.000000	13.413623	12.354141	114927.677874
3470.000000	14.655012	13.803890	91265.737311
3472.000000	16.111046	15.866849	189387.442540
3474.000000	14.024513	14.053779	167271.960289
3476.000000	14.296331	15.208540	65648.776596
3478.000000	22.277645	21.931736	65127.065071
3480.000000	15.623423	17.835865	53245.838326
3482.000000	20.068584	20.343026	37901.039804
3484.000000	15.932206	16.340746	16075.028027
3486.000000	14.203452	13.930623	28197.900017
3488.000000	15.596915	19.308679	28150.639592
3490.000000	14.204358	14.724562	16751.554985
3492.000000	14.675605	14.670616	12228.719766
3494.000000	16.165669	15.309777	13185.988326
3496.000000	16.010690	15.397826	4839.171892
3498.000000	14.608369	13.176243	3466.796176
3500.000000	13.849357	13.718549	2656.140638
3502.000000	12.453995	12.230680	909.541132
3504.000000	13.888520	13.097848	182.559337
3506.000000	39.853348	37.317474	1096.984064
3508.000000	12.433793	13.543450	3790.921756
3510.000000	71.659119	63.555768	4647.998994
3512.000000	12.246251	13.592246	4448.779835
3514.000000	13.879540	14.821922	8325.583475
3516.000000	14.992101	15.983251	7483.515761
3518.000000	14.756834	15.679329	8414.439572
3520.000000	14.025179	15.950623	5167.437706
3522.000000	15.225942	16.014079	6663.781927
3524.000000	26.964018	26.999274	11022.170008
3526.000000	30.286760	27.205525	5745.552119
3528.000000	12.872853	13.598278	12177.043242
3530.000000	13.850404	12.555938	23158.127877
3532.000000	14.678003	16.049399	18690.189510
3534.000000	14.661061	14.945262	12159.754776
3536.000000	11.642394	11.885735	22289.704952
3538.000000	11.967985	11.960777	22900.824572
3540.000000	15.454259	16.810636	17254.724221
3542.000000	15.387500	14.525919	16538.360415
3544.000000	16.162142	16.163988	21643.232907
3546.000000	11.966149	12.169449	19877.807453
3548.000000	16.488205	18.034369	7223.023193
3550.000000	19.301355	18.040389	19281.630139
3552.000000	20.948150	19.029819	24066.036458
3554.000000	16.967799	17.600730	14949.551097
3556.000000	89.628167	98.441868	23593.227872
3558.000000	449.238587	445.434229	34940.357905
3560.000000	15.013932	14.121600	21545.083066
3562.000000	33.836101	29.491234	12964.916033
3564.000000	33.625757	34.634554	20057.554467
3566.000000	46.550087	49.209557	30264.941864
3568.000000	24.555733	23.642993	21614.307858
3570.000000	23.733870	24.557734	15338.904195
3572.000000	23.721023	22.376163	23268.477006
3574.000000	19.035096	17.219376	30175.519088
3576.000000	25.750006	26.813525	14257.174857
3578.000000	25.312463	23.294225	30335.078444
3580.000000	21.402949	23.425069	43794.133619
3582.000000	21.216382	20.222969	31153.828411
3584.000000	17.897938	17.863677	17090.674029
3586.000000	21.017446	20.914250	29883.215376
3588.000000	16.130598	15.845209	35369.164143
3590.000000	22.469777	24.403418	15271.593589
3592.000000	17.004762	14.582920	11516.110529
3594.000000	17.844346	19.823767	10650.130954
3596.000000	16.361238	18.370688	6790.153045
3598.000000	18.447316	17.989342	4484.148289
3600.000000	17.776049	18.416667	3316.126556
3602.000000	22.592970	25.147459	2180.165563
3604.000000	21.787735	23.713716	739.738176
3606.000000	32.952614	31.250286	1994.797825
3608.000000	20.987168	20.407686	3510.116833
3610.000000	35.177343	32.471281	1523.364200
3612.000000	26.618070	29.870519	2747.529810
3614.000000	22.149205	20.462155	6277.762429
3616.000000	15.911991	16.648610	13247.205480
3618.000000	18.016911	18.478586	8045.102381
3620.000000	16.544831	15.833528	6665.580397
3622.000000	19.668438	18.163978	16869.186951
3624.000000	18.278815	16.667441	12338.435883
3626.000000	17.319374	16.341407	11570.495193
3628.000000	18.804493	20.028546	11788.363045
3630.000000	20.988431	19.770915	20240.590730
3632.000000	21.300334	20.680604	22031.796947
3634.000000	19.592918	19.516377	9586.423007
3636.000000	21.450986	20.774765	10862.532403
3638.000000	22.872892	21.107265	8731.514693
3640.000000	56.570932	53.728688	5355.218102
3642.000000	79.470180	79.941056	17889.482587
3644.000000	94.414622	86.492113	55772.913195
3646.000000	49.662709	60.168843	78472.222842
3648.000000	162.817049	150.694830	61120.852640
3650.000000	368.150733	350.281086	113321.180533
3652.000000	308.776931	311.577015	116875.380454
3654.000000	381.451283	353.859767	32054.526639
3656.000000	761.492601	699.267098	15007.182265
3658.000000	655.761749	695.479820	18938.583776
3660.000000	528.607341	533.329297	20407.013831
3662.000000	901.618958	952.129546	19673.199005
3664.000000	675.614512	636.207632	59972.441991
3666.000000	231.044993	235.706051	140328.170482
3668.000000	47.415224	56.518104	202264.113933
3670.000000	55.304426	55.026027	180727.005826
3672.000000	53.061803	51.094989	385928.605666
3674.000000	53.300567	49.785446	331905.211465
3676.000000	59.066399	63.603096	167920.193065
3678.000000	62.743467	57.617898	204289.219974
3680.000000	118.331452	106.723665	283866.560334
3682.000000	156.227175	143.573751	197490.030486
3684.000000	780.082490	720.832657	85666.831381
3686.000000	2035.651601	2190.780214	121170.363163
3688.000000	1565.142966	1548.481710	327880.360000
3690.000000	869.236038	808.579142	262009.884973
3692.000000	578.843029	598.388507	461844.088023
3694.000000	277.738523	260.285162	720290.800607
3696.000000	343.782650	364.514297	545307.835841
3698.000000	452.874744	434.666606	271802.385021
3700.000000	392.817604	388.817514	636611.224721
3702.000000	338.213530	357.783231	1062945.013875
3704.000000	407.013996	396.726603	792713.835443
3706.000000	253.762371	273.793821	800690.877531
3708.000000	413.333559	431.070190	1446783.721835
3710.000000	289.043161	275.095247	1652346.168427
3712.000000	238.395527	244.245178	985216.054698
3714.000000	169.817630	182.400970	1862474.021677
3716.000000	101.964149	112.891936	2620920.627468
3718.000000	100.202910	100.120895	2127290.488495
3720.000000	141.126948	131.623246	1438310.942492
3722.000000	179.264085	175.148638	2546135.101753
3724.000000	102.979580	97.457034	2572713.037342
